,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,description
0,0,0,0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4087/9781408708989.jpg,Fantastic Beasts and Where to Find Them,J. K. Rowling,Hardback,4.5,11.05,$,21.5,9781408708989,Art-Photography,dataset/Art-Photography/0000001.jpg,The essential film companion for Newt Scamander! Relive the magic of Newt's world with this hardback guidebook featuring your favourite scenes and quotes from Fantastic Beasts and Where to Find Them.
1,1,1,1,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7522/9780752265629.jpg,The Mindfulness Colouring Book,Emma Farrarons,Paperback,4.0,6.80,$,10.5,9780752265629,Art-Photography,dataset/Art-Photography/0000002.jpg,"The bestselling adult colouring book!Working with your hands is one of the best ways to soothe anxiety and eliminate stress. This stunning, pocket-sized colouring book offers a practical exercise in mindfulness that draws on your creativity and hones your focus.Beautifully illustrated, The Mindfulness Colouring Book is filled with templates for exquisite scenes and intricate, sophisticated patterns, prompting you to meditate on your artwork as you mindfully and creatively fill these pages with colour. Take a few minutes out of your day, wherever you are, and colour your way to peace and calm."
2,2,2,2,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4087/9781408711705.jpg,Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,J.K. Rowling,Hardback,4.0,15.14,$,18.0,9781408711705,Art-Photography,dataset/Art-Photography/0000003.jpg,"The Wizarding World journey continues . . . The powerful Dark wizard Gellert Grindelwald was captured in New York with the help of Newt Scamander. But, making good on his threat, Grindelwald escapes custody and sets about gathering followers, most of whom are unsuspecting of his true agenda: to raise pure-blood wizards up to rule over all non-magical beings. In an effort to thwart Grindelwald's plans, Albus Dumbledore enlists Newt, his former Hogwarts student, who agrees to help once again, unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided wizarding world. Fantastic Beasts: The Crimes of Grindelwald is the second screenplay in a five-film series to be written by J.K. Rowling, author of the internationally bestselling Harry Potter books. Set in 1927, a few months after the events of Fantastic Beasts and Where To Find Them, and moving from New York to London, Paris and even back to Hogwarts, this story of mystery and magic reveals an extraordinary new chapter in the wizarding world. Illustrated with stunning line art from MinaLima with some surprising nods to the Harry Potter stories that will delight fans of both the books and films."
3,3,3,3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9788/8837/9788883705625.jpg,Moleskine Large Watercolour Album And Notebook,Moleskine,Notebook / blank book,0.0,11.86,$,19.9,9788883705625,Art-Photography,dataset/Art-Photography/0000004.jpg,
4,4,4,4,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141014081.jpg,The Complete MAUS,Art Spiegelman,Paperback,4.5,17.61,$,21.1,9780141014081,Art-Photography,dataset/Art-Photography/0000005.jpg,"Maus I: A Survivor's Tale and Maus II - the complete story of Vladek Spiegelman and his wife, living and surviving in Hitler's Europe. By addressing the horror of the Holocaust through cartoons, the author captures the everyday reality of fear and is able to explore the guilt, relief and extraordinary sensation of survival - and how the children of survivors are in their own way affected by the trials of their parents. A contemporary classic of immeasurable significance."
5,5,5,5,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/2500/9781250038821.jpg,Humans of New York,Brandon Stanton,Hardback,4.5,21.46,$,30.4,9781250038821,Art-Photography,dataset/Art-Photography/0000006.jpg,"The #1 New York Times Bestseller! With over 500 vibrant, full-color photos, Humans of New York: Stories is an insightful and inspiring collection of portraits of the lives of New Yorkers. Humans of New York: Stories is the culmination of five years of innovative storytelling on the streets of New York City. During this time, photographer Brandon Stanton stopped, photographed, and interviewed more than ten thousand strangers, eventually sharing their stories on his blog, Humans of New York. In Humans of New York: Stories, the interviews accompanying the photographs go deeper, exhibiting the intimate storytelling that the blog has become famous for today. Ranging from whimsical to heartbreaking, these stories have attracted a global following of more than 30 million people across several social media platforms."
6,6,6,6,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141035796.jpg,Ways of Seeing,John Berger,Paperback,4.0,8.36,$,10.3,9780141035796,Art-Photography,dataset/Art-Photography/0000007.jpg,"Ways of Seeing is a key art-historical work that continues to provoke widespread debate. It is comprised of seven different essays, three of which are pictorial and the other containing texts and images. Berger first examines the relationship between seeing and knowing, discussing how our assumptions affect how we see a painting. He moves on to consider the role of women in artwork, particularly regarding the female nude. The third essay deals with oil painting looking at the relationship between subjects and ownership. Finally, Berger addresses the idea of ownership in a consumerist society, discussing the power of imagery in advertising, with particular regards to photography."
7,7,7,7,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8499/9781849941679.jpg,Millie Marotta's Animal Kingdom,Millie Marotta,Paperback,4.5,11.60,$,12.9,9781849941679,Art-Photography,dataset/Art-Photography/0000008.jpg,"From Millie Marotta's Animal Kingdom--a New York Times bestseller that sold more than three million copies worldwide--comes 18 beautiful prints, personally chosen by Millie, to color and display! Millie Marotta's Animal Kingdom coloring book captivated millions of fans everywhere. Now, this stunning collection offers them 18 of Millie's favorite, handpicked illustrations from that book, all featuring one print per page on high-quality paper. As you finish each one, tear out the perforated sheet and frame the gorgeous result!"
8,8,8,8,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099539551.jpg,The Hare with Amber Eyes,Edmund de Waal,Paperback,4.0,12.75,$,13.9,9780099539551,Art-Photography,dataset/Art-Photography/0000009.jpg,"The classic hardback edition, completely reimagined with gorgeous new photography of the now-famous netsuke collection, and sumptuous full-colour images hand-picked by Edmund de Waal from his family archive 264 Japanese wood and ivory carvings, none of them bigger than a matchbox- Edmund de Waal was entranced when he first encountered the collection in his great uncle Iggie's Tokyo apartment. When he later inherited the 'netsuke', they unlocked a story far larger and more dramatic than he could ever have imagined. From a burgeoning empire in Odessa to fin de si cle Paris, from occupied Vienna to Tokyo, Edmund de Waal traces the netsuke's journey through generations of his remarkable family against the backdrop of a tumultuous century."
9,9,9,9,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9788/8837/9788883701153.jpg,Moleskine Large Sketchbook Black,,Notebook / blank book,4.5,12.18,$,19.9,9788883701153,Art-Photography,dataset/Art-Photography/0000010.jpg,
