,Unnamed: 0,image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,description
0,0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4169/9781416947370.jpg,Dear Zoo,Rod Campbell,Board book,4.5,6.76,$,,9781416947370,Childrens-Books,dataset/Childrens-Books/0000001.jpg,"""I wrote to the zoo to send me a pet . . .""Rod Campbell's classic lift-the-flap book Dear Zoo is a firm favourite with toddlers and parents alike. This interactive pop-up edition retains all the charm of the original story and is packed full of exciting surprises. Young children will love lifting the flaps to discover the animals the zoo has sent - a very tall giraffe, a fierce lion and even a very jumpy frog. Will the zoo ever manage to send the perfect pet?With bright, bold artwork, a catchy refrain and a whole host of favourite animals, The Pop-Up Dear Zoo is a must for every child's bookshelf."
1,1,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2410/9780241003008.jpg,The Very Hungry Caterpillar,Eric Carle,Board book,4.5,7.23,$,8.8,9780241003008,Childrens-Books,dataset/Childrens-Books/0000002.jpg,"The all-time classic picture book, from generation to generation, sold somewhere in the world every 30 seconds! Have you shared it with a child or grandchild in your life? For the first time, Eric Carle’s The Very Hungry Caterpillar is now available in e-book format, perfect for storytime anywhere. As an added bonus, it includes read-aloud audio of Eric Carle reading his classic story. This fine audio production pairs perfectly with the classic story, and it makes for a fantastic new way to encounter this famous, famished caterpillar."
2,2,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1520/9780152067045.jpg,Where Is the Green Sheep?,Judy Horacek,Board book,4.0,7.98,$,,9780152067045,Childrens-Books,dataset/Childrens-Books/0000003.jpg,"A story about many different sheep, and one that seems to be missing."
3,3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8412/9781841215655.jpg,Giraffes Can't Dance,Giles Andreae,Paperback,4.5,7.30,$,8.8,9781841215655,Childrens-Books,dataset/Childrens-Books/0000004.jpg,"The bestselling Giraffes Can't Dance is now a padded board book! Giraffes Can't Dance is a touching tale of Gerald the giraffe, who wants nothing more than to dance. With crooked knees and thin legs, it's harder for a giraffe than you would think. Gerald is finally able to dance to his own tune when he gets some encouraging words from an unlikely friend. With light-footed rhymes and high-stepping illustrations, this tale is gentle inspiration for every child with dreams of greatness. Discover this classic story, now in a padded board book format perfect for babies and toddlers!"
4,4,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7806/9781780671062.jpg,Secret Garden,Johanna Basford,Paperback,4.5,11.24,$,12.4,9781780671062,Childrens-Books,dataset/Childrens-Books/0000005.jpg,"«Таинственный сад» – любимая классика для читателей всех возрастов, жемчужина творчества Фрэнсис Ходжсон Бернетт, роман о заново открытой радости жизни и магии силы. Мэри Леннокс, жестокое и испорченное дитя высшего света, потеряв родителей в Индии, возвращается в Англию, на воспитание к дяде-затворнику в его поместье. Однако дядя находится в постоянных отъездах, и Мэри начинает исследовать округу, в ходе чего делает много открытий, в том числе находит удивительный маленький сад, огороженный стеной, вход в который почему-то запрещен. Отыскав ключ и потайную дверцу, девочка попадает внутрь. Но чьи тайны хранит этот загадочный садик? И нужно ли знать то, что находится под запретом?.. Впрочем, это не единственный секрет в поместье..."
5,5,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8532/9781853261589.jpg,The Little Prince,Antoine de Saint-Exupery,Paperback,4.5,3.19,$,,9781853261589,Childrens-Books,dataset/Childrens-Books/0000006.jpg,
6,6,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9960/9780996099936.jpg,Have You Filled A Bucket Today?,Carol McCloud,Paperback,4.5,8.66,$,11.4,9780996099936,Childrens-Books,dataset/Childrens-Books/0000007.jpg,"This heartwarming book encourages positive behavior by using the concept of an invisible bucket to show children how easy and rewarding it is to express kindness, appreciation and love by ""filling buckets."" Updated and revised, this 10th anniversary edition will help readers better understand that ""bucket dipping"" is a negative behavior, not a permanent label. It also explains that it's possible to fill or dip into our own buckets."
7,7,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751565355.jpg,Harry Potter and the Cursed Child - Parts I & II,J. K. Rowling,Hardback,3.5,15.43,$,26.3,9780751565355,Childrens-Books,dataset/Childrens-Books/0000008.jpg,"The Eighth Story. Nineteen Years Later. Based on an original story by J.K. Rowling, John Tiffany, and Jack Thorne, a play by Jack Thorne. It was always difficult being Harry Potter and it isn't much easier now that he is an overworked employee of the Ministry of Magic, a husband, and father of three school-age children. While Harry grapples with a past that refuses to stay where it belongs, his youngest son, Albus, must struggle with the weight of a family legacy he never wanted. As past and present fuse ominously, both father and son learn the uncomfortable truth: Sometimes, darkness comes from unexpected places. The playscript for Harry Potter and the Cursed Child was originally released as a ""special rehearsal edition"" alongside the opening of Jack Thorne's play in London's West End in summer 2016. Based on an original story by J.K. Rowling, John Tiffany, and Jack Thorne, the play opened to rapturous reviews from theatergoers and critics alike, while the official playscript became an immediate global bestseller. This revised paperback edition updates the ""special rehearsal edition"" with the conclusive and final dialogue from the play, which has subtly changed since its rehearsals, as well as a conversation piece between director John Tiffany and writer Jack Thorne, who share stories and insights about reading playscripts. This edition also includes useful background information including the Potter family tree and a timeline of events from the wizarding world prior to the beginning of Harry Potter and the Cursed Child."
8,8,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8595/9780859537278.jpg,There Was an Old Lady Who Swallowed a Fly,Pam Adams,Board book,4.0,5.89,$,6.2,9780859537278,Childrens-Books,dataset/Childrens-Books/0000009.jpg,Presents the traditional song with illustrations on die-cut pages that reveal all that the old lady swallows.
9,9,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5525/9780552565974.jpg,Wonder,R. J. Palacio,Paperback,4.5,8.32,$,8.8,9780552565974,Childrens-Books,dataset/Childrens-Books/0000010.jpg,"""Now a major motion picture! Includes full-color movie photos and exclusive content!""--Dust jacket."
