,Unnamed: 0,image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,description
0,0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7806/9781780674872.jpg,Enchanted Forest,Johanna Basford,Paperback,4.5,12.23,$,12.4,9781780674872,Crafts-Hobbies,dataset/Crafts-Hobbies/0000001.jpg,"From the author of the global bestseller Secret Garden (over 12 million copies sold!) Discover a whole new way to color with this small-scale, pocket-sized edition of Johanna Basford's bestseller Enchanted Forest. Sharpen your pencils for this mini inky adventure created in beautifully detailed, intricate pen-and-ink illustration, all ready for you to bring to life with color. Printed on ivory paper with lay-flat binding allowing for a smooth and seamless colouring experience. It also features two brand-new illustrations."
1,1,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7837/9781783705481.jpg,Harry Potter Colouring Book,J. K. Rowling,Paperback,4.5,9.52,$,12.4,9781783705481,Crafts-Hobbies,dataset/Crafts-Hobbies/0000002.jpg,Harry Potter Coloring BookBy Scholastic
2,2,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7869/9780786965601.jpg,Dungeons & Dragons Player's Handbook (Dungeons & Dragons Core Rulebooks),Wizards of the Coast,Hardback,4.5,31.94,$,48.4,9780786965601,Crafts-Hobbies,dataset/Crafts-Hobbies/0000003.jpg,"Dungeons and Dragons and Philosophy presents twenty-one chapters by different writers, all D&D aficionados but with starkly different insights and points of view. The book is divided into three parts. The first, ""Heroic Tier: The Ethical Dungeon-Crawler,"" explores what D&D has to teach us about ethics. Part II, ""Paragon Tier: Planes of Existence,"" arouses a new sense of wonder about both the real world and the collaborative world game players create. The third part, ""Epic Tier: Leveling Up,"" is at the crossroads of philosophy and the exciting new field of Game Studies."
3,3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7522/9780752265629.jpg,The Mindfulness Colouring Book,Emma Farrarons,Paperback,4.0,6.8,$,10.5,9780752265629,Crafts-Hobbies,dataset/Crafts-Hobbies/0000004.jpg,"The bestselling adult colouring book!Working with your hands is one of the best ways to soothe anxiety and eliminate stress. This stunning, pocket-sized colouring book offers a practical exercise in mindfulness that draws on your creativity and hones your focus.Beautifully illustrated, The Mindfulness Colouring Book is filled with templates for exquisite scenes and intricate, sophisticated patterns, prompting you to meditate on your artwork as you mindfully and creatively fill these pages with colour. Take a few minutes out of your day, wherever you are, and colour your way to peace and calm."
4,4,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8118/9780811870191.jpg,One Line a Day,Chronicle Books,Calendar,4.5,9.65,$,13.5,9780811870191,Crafts-Hobbies,dataset/Crafts-Hobbies/0000005.jpg,"This tactile new version of our bestselling One Line a Day memory book features a rich oatmeal-colored, canvas cloth case, striking metallic page edges, and a ribbon page marker. Each page features space to jot down an idea or daily highlight on the same date over five years, allowing journalers to look back on years past as they capture the present. A handsome way to record and reflect, this five-year diary makes an excellent gift for graduates, adventurers, dreamers, and anyone embarking on a new phase of life."
5,5,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8499/9781849941679.jpg,Millie Marotta's Animal Kingdom,Millie Marotta,Paperback,4.5,11.6,$,12.9,9781849941679,Crafts-Hobbies,dataset/Crafts-Hobbies/0000006.jpg,"From Millie Marotta's Animal Kingdom--a New York Times bestseller that sold more than three million copies worldwide--comes 18 beautiful prints, personally chosen by Millie, to color and display! Millie Marotta's Animal Kingdom coloring book captivated millions of fans everywhere. Now, this stunning collection offers them 18 of Millie's favorite, handpicked illustrations from that book, all featuring one print per page on high-quality paper. As you finish each one, tear out the perforated sheet and frame the gorgeous result!"
6,6,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7869/9780786965625.jpg,Dungeon Master's Guide (Dungeons & Dragons Core Rulebooks),Wizards of the Coast,Hardback,4.5,32.9,$,48.4,9780786965625,Crafts-Hobbies,dataset/Crafts-Hobbies/0000007.jpg,Shows the reader how to be a Dungeon Master.
7,7,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8495/9781849534970.jpg,52 Things to Do While You Poo,Hugh Jassburn,Hardback,3.5,7.93,$,8.8,9781849534970,Crafts-Hobbies,dataset/Crafts-Hobbies/0000008.jpg,"Perching on the porcelain can be very boring when you have nothing to do but poo. But fear no more, as excretion expert Hugh Jassburn has put together a compendium of entertaining activities and informative fun that will make you want to stay put, even if you don't need to go. Doing a number two will never be the same again. Filled with clever mazes, trivia, searches, and puzzles all focused on the act, history, and science of pooing, 52 Things to do While You Poo will keep you entertained for as long as you need."
8,8,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7869/9780786965618.jpg,Monster Manual: A Dungeons & Dragons Core Rulebook,Wizards of the Coast,Hardback,4.5,32.44,$,48.4,9780786965618,Crafts-Hobbies,dataset/Crafts-Hobbies/0000009.jpg,"Describes the characteristics and attributes of a variety of monsters, zombies, demons, giants, werewolves, animals, and aliens for use in the Dungeons and Dragons game."
9,9,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7160/9780716022237.jpg,How to Draw Anything,Mark Linley,Paperback,3.5,5.26,$,10.3,9780716022237,Crafts-Hobbies,dataset/Crafts-Hobbies/0000010.jpg,"Learn to draw charming characters! Filled with colorful illustrations and step-by-step explanations, How to Draw a Character is the perfect introduction to the art of sketching people. From babies to grandmothers, cyclists to shoppers, How to Draw a Character gives readers the skills to draw any kind of character in any setting. The easy tutorials break down seemingly complicated drawings into simple components, so even beginners will soon be drawing confidently. The book begins with a handful of simple anatomical rules that lend life and realism to the drawings. It goes on to explore all the essential aspects of figure drawing, from capturing emotions to drawing your characters in motion. Equal parts inspiration and tutorial, the charming drawings are sure to spark the imagination. Soizic Mouton's How to Draw a Character will give anyone who’s ever wanted to learn to draw the confidence to pick up a pencil and begin!"
