,Unnamed: 0,image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,description
0,0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141036144.jpg,1984,George Orwell,Paperback,4.0,7.88,$,8.8,9780141036144,Crime-Thriller,dataset/Crime-Thriller/0000001.jpg,"""Nineteen Eighty-Four: A Novel"", often published as ""1984"", is a dystopian social science fiction novel by English novelist George Orwell. It was published on 8 June 1949 by Secker & Warburg as Orwell's ninth and final book completed in his lifetime. Thematically, ""Nineteen Eighty-Four"" centres on the consequences of totalitarianism, mass surveillance, and repressive regimentation of persons and behaviours within society. Orwell, himself a democratic socialist, modelled the authoritarian government in the novel after Stalinist Russia. More broadly, the novel examines the role of truth and facts within politics and the ways in which they are manipulated. The story takes place in an imagined future, the year 1984, when much of the world has fallen victim to perpetual war, omnipresent government surveillance, historical negationism, and propaganda. Great Britain, known as Airstrip One, has become a province of a totalitarian superstate named Oceania that is ruled by the Party who employ the Thought Police to persecute individuality and independent thinking. Big Brother, the leader of the Party, enjoys an intense cult of personality despite the fact that he may not even exist. The protagonist, Winston Smith, is a diligent and skillful rank-and-file worker and Outer Party member who secretly hates the Party and dreams of rebellion. He enters into a forbidden relationship with a colleague, Julia, and starts to remember what life was like before the Party came to power."
1,1,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041242.jpg,Man's Search For Meaning,Viktor E. Frankl,Paperback,4.5,9.66,$,,9781846041242,Crime-Thriller,dataset/Crime-Thriller/0000002.jpg,"Over 16 million copies sold worldwide 'Every human being should read this book' Simon Sinek One of the outstanding classics to emerge from the Holocaust, Man's Search for Meaning is Viktor Frankl's story of his struggle for survival in Auschwitz and other Nazi concentration camps. Today, this remarkable tribute to hope offers us an avenue to finding greater meaning and purpose in our own lives."
2,2,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141036137.jpg,Animal Farm,George Orwell,Paperback,4.0,7.98,$,10.3,9780141036137,Crime-Thriller,dataset/Crime-Thriller/0000003.jpg,"All animals are equal but some animals are more equal than others. It's just an ordinary farm - until the animals revolt. They get rid of the irresponsible farmer. The other animals are sure that life is improving, but as systems are replaced and half-truths are retold, a new hierarchy emerges . . . Orwell's tale of propaganda, power and greed has never felt more pertinent. With an exciting new cover and inside illustrations by superstar Chris Mould."
3,3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405911665.jpg,The Husband's Secret,Liane Moriarty,Paperback,4.0,9.33,$,9.99,9781405911665,Crime-Thriller,dataset/Crime-Thriller/0000004.jpg,"She finds an envelope: 'To be opened in the event of my death'. It's her husband's handwriting. But he's still alive . . . THE ENTHRALLING MULTI-MILLION COPY BESTSELLER ABOUT SECRETS, FAMILY AND THE DANGER OF THE TRUTH 'STAGGERINGLY BRILLIANT' Sophie Hannah 'ANOTHER MASTERCLASS' Grazia _________ Cecilia Fitzpatrick thought she knew her husband. That is until she finds an envelope with his writing on: 'to be opened in the event of my death'. She opens it, and learns a shocking truth he has never dared reveal. Now Cecilia faces a terrible choice. Because revealing her husband's secret will hurt those she loves the most . . . But could the consequences of staying silent be worse? _________ 'Finely wrought tension holds up until the final page' TELEGRAPH 'A tense, page-turning story which gradually draws everyone together in a devastating climax' MAIL ON SUNDAY 'Dark and compelling . . . a must read' SUN"
4,4,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7802/9781780221359.jpg,Gone Girl,Gillian Flynn,Paperback,4.0,9.55,$,10.5,9781780221359,Crime-Thriller,dataset/Crime-Thriller/0000005.jpg,"On a warm summer morning in North Carthage, Missouri, it is Nick and Amy Dunne's fifth wedding anniversary. Presents are being wrapped and plans are being made when Nick's clever and beautiful wife disappears. As the pólice begin to investigate, the town golden boy parades a series of lies, deceits, and inappropriate behavior. Nick is oddly evasive, and he's definitely bitter - but is he really a killer?"
5,5,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099560432.jpg,Ready Player One,Ernest Cline,Paperback,4.5,8.82,$,10.5,9780099560432,Crime-Thriller,dataset/Crime-Thriller/0000006.jpg,"#1 NEW YORK TIMES BESTSELLER • Now a major motion picture directed by Steven Spielberg. “Enchanting . . . Willy Wonka meets The Matrix.”—USA Today • “As one adventure leads expertly to the next, time simply evaporates.”—Entertainment Weekly A world at stake. A quest for the ultimate prize. Are you ready? In the year 2045, reality is an ugly place. The only time Wade Watts really feels alive is when he’s jacked into the OASIS, a vast virtual world where most of humanity spends their days. When the eccentric creator of the OASIS dies, he leaves behind a series of fiendish puzzles, based on his obsession with the pop culture of decades past. Whoever is first to solve them will inherit his vast fortune—and control of the OASIS itself. Then Wade cracks the first clue. Suddenly he’s beset by rivals who’ll kill to take this prize. The race is on—and the only way to survive is to win. NAMED ONE OF THE BEST BOOKS OF THE YEAR BY Entertainment Weekly • San Francisco Chronicle • Village Voice • Chicago Sun-Times • iO9 • The AV Club “Delightful . . . the grown-up’s Harry Potter.”—HuffPost “An addictive read . . . part intergalactic scavenger hunt, part romance, and all heart.”—CNN “A most excellent ride . . . Cline stuffs his novel with a cornucopia of pop culture, as if to wink to the reader.”—Boston Globe “Ridiculously fun and large-hearted . . . Cline is that rare writer who can translate his own dorky enthusiasms into prose that’s both hilarious and compassionate.”—NPR “[A] fantastic page-turner . . . starts out like a simple bit of fun and winds up feeling like a rich and plausible picture of future friendships in a world not too distant from our own.”—iO9"
6,6,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3491/9780349142111.jpg,The Dry,Jane Harper,Paperback,4.0,8.64,$,8.8,9780349142111,Crime-Thriller,dataset/Crime-Thriller/0000007.jpg,"INSTANT NEW YORK TIMES BESTSELLER “A breathless page-turner, driven by the many revelations Ms. Harper dreams up...You’ll love [her] sleight of hand...A secret on every page.” —The New York Times “One of the most stunning debuts I've ever read... Every word is near perfect.” —David Baldacci A small town hides big secrets in The Dry, an atmospheric, page-turning debut mystery by award-winning author Jane Harper. After getting a note demanding his presence, Federal Agent Aaron Falk arrives in his hometown for the first time in decades to attend the funeral of his best friend, Luke. Twenty years ago when Falk was accused of murder, Luke was his alibi. Falk and his father fled under a cloud of suspicion, saved from prosecution only because of Luke’s steadfast claim that the boys had been together at the time of the crime. But now more than one person knows they didn’t tell the truth back then, and Luke is dead. Amid the worst drought in a century, Falk and the local detective question what really happened to Luke. As Falk reluctantly investigates to see if there’s more to Luke’s death than there seems to be, long-buried mysteries resurface, as do the lies that have haunted them. And Falk will find that small towns have always hidden big secrets."
7,7,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7499/9780749942014.jpg,Sister,Rosamund Lupton,Paperback,4.0,8.04,$,11.4,9780749942014,Crime-Thriller,dataset/Crime-Thriller/0000008.jpg,"Young Carrie Meeber leaves home for the first time and experiences work, love, and the pleasures and responsibilities of independence in late-nineteenth-century Chicago and New York"
8,8,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/4463/9780446310789.jpg,To Kill a Mockingbird,Harper Lee,Paperback,4.5,8.54,$,,9780446310789,Crime-Thriller,dataset/Crime-Thriller/0000009.jpg,"Voted America's Best-Loved Novel in PBS's The Great American Read Harper Lee's Pulitzer Prize-winning masterwork of honor and injustice in the deep South—and the heroism of one man in the face of blind and violent hatred One of the most cherished stories of all time, To Kill a Mockingbird has been translated into more than forty languages, sold more than forty million copies worldwide, served as the basis for an enormously popular motion picture, and was voted one of the best novels of the twentieth century by librarians across the country. A gripping, heart-wrenching, and wholly remarkable tale of coming-of-age in a South poisoned by virulent prejudice, it views a world of great beauty and savage inequities through the eyes of a young girl, as her father—a crusading local lawyer—risks everything to defend a black man unjustly accused of a terrible crime."
9,9,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3305/9780330519021.jpg,Room,Emma Donoghue,Paperback,4.0,8.05,$,13.39,9780330519021,Crime-Thriller,dataset/Crime-Thriller/0000010.jpg,"Kidnapped as a teenage girl, Ma has been locked inside a purpose built room in her captor's garden for seven years. Her five year old son, Jack, has no concept of the world outside and happily exists inside Room with the help of Ma's games and his vivid imagination where objects like Rug, Lamp and TV are his only friends. But for Ma the time has come to escape and face their biggest challenge to date: the world outside Room."
10,10,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3491/9780349117546.jpg,Shantaram,Gregory David Roberts,Paperback,4.5,11.72,$,13.9,9780349117546,Crime-Thriller,dataset/Crime-Thriller/0000011.jpg,"Based on his own extraordinary life, Gregory David Roberts’ Shantaram is a mesmerizing novel about a man on the run who becomes entangled within the underworld of contemporary Bombay—the basis for the Apple + TV series starring Charlie Hunnam. “It took me a long time and most of the world to learn what I know about love and fate and the choices we make, but the heart of it came to me in an instant, while I was chained to a wall and being tortured.” An escaped convict with a false passport, Lin flees maximum security prison in Australia for the teeming streets of Bombay, where he can disappear. Accompanied by his guide and faithful friend, Prabaker, the two enter the city’s hidden society of beggars and gangsters, prostitutes and holy men, soldiers and actors, and Indians and exiles from other countries, who seek in this remarkable place what they cannot find elsewhere. As a hunted man without a home, family, or identity, Lin searches for love and meaning while running a clinic in one of the city’s poorest slums, and serving his apprenticeship in the dark arts of the Bombay mafia. The search leads him to war, prison torture, murder, and a series of enigmatic and bloody betrayals. The keys to unlock the mysteries and intrigues that bind Lin are held by two people. The first is Khader Khan: mafia godfather, criminal-philosopher-saint, and mentor to Lin in the underworld of the Golden City. The second is Karla: elusive, dangerous, and beautiful, whose passions are driven by secrets that torment her and yet give her a terrible power. Burning slums and five-star hotels, romantic love and prison agonies, criminal wars and Bollywood films, spiritual gurus and mujaheddin guerrillas—this huge novel has the world of human experience in its reach, and a passionate love for India at its heart."
11,11,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405916363.jpg,Big Little Lies,Liane Moriarty,Paperback,4.5,9.55,$,9.8,9781405916363,Crime-Thriller,dataset/Crime-Thriller/0000012.jpg,"DON’T MISS SEASON 2 OF THE GOLDEN GLOBE AND EMMY AWARD-WINNING HBO® SERIES STARRING REESE WITHERSPOON, NICOLE KIDMAN, SHAILENE WOODLEY, LAURA DERN, ZOË KRAVITZ, AND MERYL STREEP From the author of Nine Perfect Strangers, Apples Never Fall, and The Husband’s Secret comes the #1 New York Times bestselling novel about the dangerous little lies we tell ourselves just to survive. A murder...A tragic accident...Or just parents behaving badly? What’s indisputable is that someone is dead. Madeline is a force to be reckoned with. She’s funny, biting, and passionate; she remembers everything and forgives no one. Celeste is the kind of beautiful woman who makes the world stop and stare but she is paying a price for the illusion of perfection. New to town, single mom Jane is so young that another mother mistakes her for a nanny. She comes with a mysterious past and a sadness beyond her years. These three women are at different crossroads, but they will all wind up in the same shocking place. Big Little Lies is a brilliant take on ex-husbands and second wives, mothers and daughters, schoolyard scandal, and the little lies that can turn lethal."
12,12,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4063/9781406372151.jpg,The Hate U Give,Angie Thomas,Paperback,4.5,8.0,$,10.5,9781406372151,Crime-Thriller,dataset/Crime-Thriller/0000013.jpg,"8 starred reviews · Goodreads Choice Awards Best of the Best · William C. Morris Award Winner · National Book Award Longlist · Printz Honor Book · Coretta Scott King Honor Book · #1 New York Times Bestseller! ""Absolutely riveting!"" —Jason Reynolds ""Stunning."" —John Green ""This story is necessary. This story is important."" —Kirkus (starred review) ""Heartbreakingly topical."" —Publishers Weekly (starred review) ""A marvel of verisimilitude."" —Booklist (starred review) ""A powerful, in-your-face novel."" —Horn Book (starred review) Sixteen-year-old Starr Carter moves between two worlds: the poor neighborhood where she lives and the fancy suburban prep school she attends. The uneasy balance between these worlds is shattered when Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Khalil was unarmed. Soon afterward, his death is a national headline. Some are calling him a thug, maybe even a drug dealer and a gangbanger. Protesters are taking to the streets in Khalil’s name. Some cops and the local drug lord try to intimidate Starr and her family. What everyone wants to know is: what really went down that night? And the only person alive who can answer that is Starr. But what Starr does—or does not—say could upend her community. It could also endanger her life. Want more of Garden Heights? Catch Maverick and Seven’s story in Concrete Rose, Angie Thomas's powerful prequel to The Hate U Give."
13,13,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5527/9780552779777.jpg,The Girl on the Train,Paula Hawkins,Paperback,4.0,9.65,$,11.4,9780552779777,Crime-Thriller,dataset/Crime-Thriller/0000014.jpg,"The #1 New York Times Bestseller, USA Today Book of the Year, now a major motion picture starring Emily Blunt. The debut psychological thriller that will forever change the way you look at other people's lives, from the author of Into the Water and A Slow Fire Burning. “Nothing is more addicting than The Girl on the Train.”—Vanity Fair “The Girl on the Train has more fun with unreliable narration than any chiller since Gone Girl. . . . [It] is liable to draw a large, bedazzled readership.”—The New York Times “Marries movie noir with novelistic trickery. . . hang on tight. You'll be surprised by what horrors lurk around the bend.”—USA Today “Like its train, the story blasts through the stagnation of these lives in suburban London and the reader cannot help but turn pages.”—The Boston Globe “Gone Girl fans will devour this psychological thriller.”—People EVERY DAY THE SAME Rachel takes the same commuter train every morning and night. Every day she rattles down the track, flashes past a stretch of cozy suburban homes, and stops at the signal that allows her to daily watch the same couple breakfasting on their deck. She's even started to feel like she knows them. Jess and Jason, she calls them. Their life--as she sees it--is perfect. Not unlike the life she recently lost. UNTIL TODAY And then she sees something shocking. It's only a minute until the train moves on, but it's enough. Now everything's changed. Unable to keep it to herself, Rachel goes to the police. But is she really as unreliable as they say? Soon she is deeply entangled not only in the investigation but in the lives of everyone involved. Has she done more harm than good?"
