,Unnamed: 0,image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,description
0,0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509868087.jpg,Bad Blood,John Carreyrou,Paperback,4.5,8.4,$,12.4,9781509868087,Dictionaries-Languages,dataset/Dictionaries-Languages/0000001.jpg,"NATIONAL BESTSELLER • The gripping story of Elizabeth Holmes and Theranos—one of the biggest corporate frauds in history—a tale of ambition and hubris set amid the bold promises of Silicon Valley, rigorously reported by the prize-winning journalist. With a new Afterword. “Chilling ... Reads like a thriller ... Carreyrou tells [the Theranos story] virtually to perfection.” —The New York Times Book Review In 2014, Theranos founder and CEO Elizabeth Holmes was widely seen as the next Steve Jobs: a brilliant Stanford dropout whose startup “unicorn” promised to revolutionize the medical industry with its breakthrough device, which performed the whole range of laboratory tests from a single drop of blood. Backed by investors such as Larry Ellison and Tim Draper, Theranos sold shares in a fundraising round that valued the company at more than $9 billion, putting Holmes’s worth at an estimated $4.5 billion. There was just one problem: The technology didn’t work. Erroneous results put patients in danger, leading to misdiagnoses and unnecessary treatments. All the while, Holmes and her partner, Sunny Balwani, worked to silence anyone who voiced misgivings—from journalists to their own employees."
1,1,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2053/9780205309023.jpg,The Elements of Style,William I. Strunk,Paperback,4.0,8.09,$,9.95,9780205309023,Dictionaries-Languages,dataset/Dictionaries-Languages/0000002.jpg,"This updated 2018 Classic Edition contains the original version of William Strunk's The Elements of Style, plus a variety of enhancements that make this book even more useful. It is now being used as a textbook in classes at University of Minnesota, University of Texas, UC Berkeley, and elsewhere.Generations of college students and writers have learned the basics of English grammar from this short book. It was rated ""one of the 100 most influential books written in English"" by Time in 2011, and iconic author Stephen King recommended it as a grammar primer that all aspiring writers should read.Written a century ago, Strunk's book is a nostalgic link to the Art Deco era and the Roaring Twenties. Many of the grammar rules listed in his book still apply today; but the English language has changed over the years, and some of these rules have are now obsolete. This Classic Edition addresses these changes with the following enhancements and additional content:1. This 2018 update adds two new chapters requested by college professors and students: Basic Rules of Capitalization and Style Rules for Better Writing.2. Editor's notes have been inserted throughout the book to flag grammar rules that are become obsolete and to provide up-to-date advice for students and writers.3. Emojis have been added to help readers identify correct examples from errors at a glance.4. A Study Guide is included in the last chapter, and the paperback version includes blank, lined pages in the back of the book for note taking.5. The e-book version has been restyled for improved display on the latest generations of digital book-reading devices.Elements of Style: Classic Edition 2018 gives students and writers a blueprint that they can follow to write clearly and effectively while learning the fundamental rules of English Grammar."
2,2,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6924/9780692452745.jpg,Create This Book,Moriah Elizabeth,Paperback,4.5,17.05,$,,9780692452745,Dictionaries-Languages,dataset/Dictionaries-Languages/0000003.jpg,"Create This Book is the ultimate outlet for creativity. Includes 242 pages of unique and inspiring prompts to get you in the creative zone! Whether you are trying to get past an artist's block, wanting to become more creative, or just looking to have some fun, you will love this interactive journal! Want to learn more? Check out ""Create This Book"" on Youtube! You can watch Moriah Elizabeth's ""Create This Book"" Series! Great for inspiration and guidance on your creative journey! Go to MoriahElizabeth.com for more information."
3,3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0072/9780007204496.jpg,Fear and Loathing in Las Vegas,Hunter S. Thompson,Paperback,4.0,8.3,$,11.49,9780007204496,Dictionaries-Languages,dataset/Dictionaries-Languages/0000004.jpg,"50th Anniversary Edition • With an introduction by Caity Weaver, acclaimed New York Times journalist This cult classic of gonzo journalism is the best chronicle of drug-soaked, addle-brained, rollicking good times ever committed to the printed page. It is also the tale of a long weekend road trip that has gone down in the annals of American pop culture as one of the strangest journeys ever undertaken. Also a major motion picture directed by Terry Gilliam, starring Johnny Depp and Benicio del Toro."
4,4,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4338/9781433805615.jpg,Publication Manual of the American Psychological Association,American Psychological Association,Paperback,3.5,30.49,$,,9781433805615,Dictionaries-Languages,dataset/Dictionaries-Languages/0000005.jpg,"The Publication Manual of the American Psychological Association is the style manual of choice for writers, editors, students, and educators in the social and behavioral sciences, nursing, education, business, and related disciplines."
5,5,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7857/9781785781704.jpg,The Etymologicon,Mark Forsyth,Paperback,4.0,5.71,$,11.4,9781785781704,Dictionaries-Languages,dataset/Dictionaries-Languages/0000006.jpg,"This perfect gift for readers, writers, and literature majors alike unearths the quirks of the English language. For example, do you know why a mortgage is literally a “death pledge”? Why guns have girls’ names? Why “salt” is related to “soldier”? Discover the answers to all of these etymological questions and more in this fascinating book for fans of of Eats, Shoots & Leaves. The Etymologicon is a completely unauthorized guide to the strange underpinnings of the English language. It explains how you get from “gruntled” to “disgruntled”; why you are absolutely right to believe that your meager salary barely covers “money for salt”; how the biggest chain of coffee shops in the world connects to whaling in Nantucket; and what, precisely, the Rolling Stones have to do with gardening. This witty book will awake the linguist in you and illuminate the hidden meanings behind common words and phrases, tracing their evolution through all of their surprising paths throughout history."
6,6,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509829477.jpg,The Artist's Way,Julia Cameron,Paperback,4.0,12.61,$,21.1,9781509829477,Dictionaries-Languages,dataset/Dictionaries-Languages/0000007.jpg,Presents a twelve-week program intended to increase creativity by capturing the creative energy of the universe.
7,7,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7857/9781785781728.jpg,The Elements of Eloquence,Mark Forsyth,Paperback,4.5,4.91,$,11.4,9781785781728,Dictionaries-Languages,dataset/Dictionaries-Languages/0000008.jpg,"FROM THE AUTHOR OF THE SUNDAY TIMES NUMBER ONE BESTSELLER THE ETYMOLOGICON. ‘An informative but highly entertaining journey through the figures of rhetoric ... Mark Forsyth wears his considerable knowledge lightly. He also writes beautifully.’ David Marsh, Guardian. Mark Forsyth presents the secret of writing unforgettable phrases, uncovering the techniques that have made immortal such lines as ‘To be or not to be’ and ‘Bond. James Bond.’ In his inimitably entertaining and witty style, he takes apart famous quotations and shows how you too can write like Shakespeare, Oscar Wilde or John Lennon. Crammed with tricks to make the most humdrum sentiments seem poetic or wise, The Elements of Eloquence reveals how writers through the ages have turned humble words into literary gold – and how you can do the same."
8,8,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8431/9781843176572.jpg,My Grammar and I (Or Should That Be 'Me'?),Caroline Taggart,Paperback,4.0,3.95,$,8.8,9781843176572,Dictionaries-Languages,dataset/Dictionaries-Languages/0000009.jpg,"A runaway hit and Sunday Times bestseller, My Grammar and I has continued to grow in popularity, becoming the go-to guide for grammar. My Grammar and I offers amusing examples of awful grammar, while steering you in the direction of grammatical greatness. Taking you on a tour of the English language through the minefield of rules and conditions that can catch you out, from dangling modifiers to split infinitives, it highlights the common pitfalls that every English language user faces on a day to day basis. Refreshing everything you should have learnt at school and more, My Grammar and I is informative yet entertaining - an ideal buy for any English language enthusiast."
9,9,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3854/9780385480017.jpg,Bird By Bird,Anne Lamott,Paperback,4.0,12.23,$,15.05,9780385480017,Dictionaries-Languages,dataset/Dictionaries-Languages/0000010.jpg,"From the acclaimed New York Times bestselling author: An essential volume for generations of writers young and old. The twenty-fifth anniversary edition of this modern classic will continue to spark creative minds for years to come. For a quarter century, more than a million readers—scribes and scribblers of all ages and abilities—have been inspired by Anne Lamott’s hilarious, big-hearted, homespun advice. Advice that begins with the simple words of wisdom passed down from Anne’s father—also a writer—in the iconic passage that gives the book its title: “Thirty years ago my older brother, who was ten years old at the time, was trying to get a report on birds written that he’d had three months to write. It was due the next day. We were out at our family cabin in Bolinas, and he was at the kitchen table close to tears, surrounded by binder paper and pencils and unopened books on birds, immobilized by the hugeness of the task ahead. Then my father sat down beside him, put his arm around my brother’s shoulder, and said, ‘Bird by bird, buddy. Just take it bird by bird.’”"
10,10,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0073/9780007329069.jpg,"Eats, Shoots and Leaves",Lynne Truss,Paperback,4.0,8.58,$,11.4,9780007329069,Dictionaries-Languages,dataset/Dictionaries-Languages/0000011.jpg,"We all know the basics of punctuation. Or do we? A look at most neighborhood signage tells a different story. Through sloppy usage and low standards on the internet, in email, and now text messages, we have made proper punctuation an endangered species. In Eats, Shoots & Leaves, former editor Lynne Truss dares to say, in her delightfully urbane, witty, and very English way, that it is time to look at our commas and semicolons and see them as the wonderful and necessary things they are. This is a book for people who love punctuation and get upset when it is mishandled. From the invention of the question mark in the time of Charlemagne to George Orwell shunning the semicolon, this lively history makes a powerful case for the preservation of a system of printing conventions that is much too subtle to be mucked about with."
11,11,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0608/9780060891541.jpg,On Writing Well,William Zinsser,Paperback,4.5,13.02,$,16.95,9780060891541,Dictionaries-Languages,dataset/Dictionaries-Languages/0000012.jpg,
12,12,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6712/9780671212094.jpg,How to Read a Book,Charles Van Doren,Paperback,4.0,9.49,$,17.95,9780671212094,Dictionaries-Languages,dataset/Dictionaries-Languages/0000013.jpg,"Analyzes the art of reading and suggests ways to approach literary works, offering techniques for reading in specific literary genres ranging from fiction, poetry, and plays to scientific and philosophical works."
13,13,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1996/9780199640942.jpg,Paperback Oxford English Dictionary,Oxford Dictionaries,Paperback,4.0,10.22,$,10.33,9780199640942,Dictionaries-Languages,dataset/Dictionaries-Languages/0000014.jpg,
14,14,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9329/9781932907001.jpg,Save the Cat!,Blake Snyder,Paperback,4.0,12.65,$,17.0,9781932907001,Dictionaries-Languages,dataset/Dictionaries-Languages/0000015.jpg,"This ultimate insider's guide reveals the secrets that none dare admit, told by a show biz veteran who's proven that you can sell your script if you can save the cat!"
