,Unnamed: 0,image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,description
0,0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4087/9781408708989.jpg,Fantastic Beasts and Where to Find Them,J. K. Rowling,Hardback,4.5,11.05,$,21.5,9781408708989,Entertainment,dataset/Entertainment/0000001.jpg,The essential film companion for Newt Scamander! Relive the magic of Newt's world with this hardback guidebook featuring your favourite scenes and quotes from Fantastic Beasts and Where to Find Them.
1,1,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4087/9781408711705.jpg,Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,J.K. Rowling,Hardback,4.0,15.14,$,18.0,9781408711705,Entertainment,dataset/Entertainment/0000002.jpg,"The Wizarding World journey continues . . . The powerful Dark wizard Gellert Grindelwald was captured in New York with the help of Newt Scamander. But, making good on his threat, Grindelwald escapes custody and sets about gathering followers, most of whom are unsuspecting of his true agenda: to raise pure-blood wizards up to rule over all non-magical beings. In an effort to thwart Grindelwald's plans, Albus Dumbledore enlists Newt, his former Hogwarts student, who agrees to help once again, unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided wizarding world. Fantastic Beasts: The Crimes of Grindelwald is the second screenplay in a five-film series to be written by J.K. Rowling, author of the internationally bestselling Harry Potter books. Set in 1927, a few months after the events of Fantastic Beasts and Where To Find Them, and moving from New York to London, Paris and even back to Hogwarts, this story of mystery and magic reveals an extraordinary new chapter in the wizarding world. Illustrated with stunning line art from MinaLima with some surprising nods to the Harry Potter stories that will delight fans of both the books and films."
2,2,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7475/9780747568766.jpg,Just Kids,Patti Smith,Paperback,4.0,9.43,$,12.4,9780747568766,Entertainment,dataset/Entertainment/0000003.jpg,"WINNER OF THE NATIONAL BOOK AWARD It was the summer Coltrane died, the summer of love and riots, and the summer when a chance encounter in Brooklyn led two young people on a path of art, devotion, and initiation. Patti Smith would evolve as a poet and performer, and Robert Mapplethorpe would direct his highly provocative style toward photography. Bound in innocence and enthusiasm, they traversed the city from Coney Island to Forty-Second Street, and eventually to the celebrated round table of Max’s Kansas City, where the Andy Warhol contingent held court. In 1969, the pair set up camp at the Hotel Chelsea and soon entered a community of the famous and infamous, the influential artists of the day and the colorful fringe. It was a time of heightened awareness, when the worlds of poetry, rock and roll, art, and sexual politics were colliding and exploding. In this milieu, two kids made a pact to take care of each other. Scrappy, romantic, committed to create, and fueled by their mutual dreams and drives, they would prod and provide for one another during the hungry years. Just Kids begins as a love story and ends as an elegy. It serves as a salute to New York City during the late sixties and seventies and to its rich and poor, its hustlers and hellions. A true fable, it is a portrait of two young artists’ ascent, a prelude to fame."
3,3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4711/9781471157790.jpg,Born to Run,Bruce Springsteen,Hardback,4.0,27.12,$,,9781471157790,Entertainment,dataset/Entertainment/0000004.jpg,"Recounts the author's experiences with the reclusive Tarahumara Indians, whose techniques allow them to run long distances with ease, and describes his training for a fifty-mile race with the tribe and a number of ultramarathoners."
4,4,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8609/9781860969423.jpg,"Music Theory in Practice, Grade 1",Eric Taylor,Sheet music,4.0,7.26,$,,9781860969423,Entertainment,dataset/Entertainment/0000005.jpg,"This introduction to the essential elements of music is ideal for students preparing for examinations, as well as an excellent resource for everyone learning to read music."
5,5,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751535662.jpg,Scar Tissue,Anthony Kiedis,Paperback,4.0,10.66,$,13.9,9780751535662,Entertainment,dataset/Entertainment/0000006.jpg,"In this ""vivid and inspiring"" NYT bestseller (Newsweek), the Red Hot Chili Peppers' lead singer and songwriter shares a searingly honest account of life in the rock scene's fast lane -- from the darkness into the light. In 1983, four self-described ""knuckleheads"" burst out of the mosh-pitted mosaic of the neo-punk rock scene in L.A. with their own unique brand of cosmic hardcore mayhem funk. Over twenty years later, the Red Hot Chili Peppers, against all odds, have become one of the most successful bands in the world. Though the band has gone through many incarnations, Anthony Kiedis, the group's lyricist and dynamic lead singer, has been there for the whole roller-coaster ride. In Scar Tissue, Kiedis delivers a compelling life story from a man ""in love with everything"" -- the darkness, the death, the disease. Even his descent into drug addiction was a part of that journey, another element transformed into art. Whether he's honoring the influence of the beautiful, strong women who have been his muses or remembering the roaring crowds of Woodstock and the Dalai Lama's humble compound, Kiedis shares a compelling story about the price of success and excess. Scar Tissue is a story of dedication and debauchery, of intrigue and integrity, of recklessness and redemption -- a story that could only have come out of the world of rock."
6,6,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8771/9780877180128.jpg,John Thompson's Easiest Piano Course,John Thompson,Paperback,4.0,6.71,$,8.0,9780877180128,Entertainment,dataset/Entertainment/0000007.jpg,"(Music Sales America). A fun repertoire of easy-to-play tunes for beginning pianists, specially created and graded to be used with John Thompson's Easiest Piano Course series. The pieces in this book are ideal for students reaching Part Two, Part Three or Part Four of the course. As well as reinforcing basic technique, the selection of catchy, well-known pop songs featured in First Piano Pops will help aspiring pianists to develop their musicality while increasing the enjoyment of learning. 15 songs, including: Apologize * Bridge over Troubled Water * Clocks * (They Long to Be) Close to You * Imagine * Lean on Me * Piano Man * Someone like You * Your Song * and more."
7,7,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751574951.jpg,Fantastic Beasts and Where to Find Them,J. K. Rowling,Paperback,4.5,7.10,$,10.5,9780751574951,Entertainment,dataset/Entertainment/0000008.jpg,The essential film companion for Newt Scamander! Relive the magic of Newt's world with this hardback guidebook featuring your favourite scenes and quotes from Fantastic Beasts and Where to Find Them.
8,8,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3409/9780340936177.jpg,My Booky Wook,Russell Brand,Paperback,3.5,9.34,$,13.9,9780340936177,Entertainment,dataset/Entertainment/0000009.jpg,"Russell Brand grew up in Essex . His father left when he was three months old, he was bulimic at 12 and left school at 16 to study at the Italia Conti stage school. There, he began drinking heavily and taking drugs. He regularly visited prostitutes in Soho, began cutting himself, took drugs on stage during his stand-up shows, and even set himself on fire while on crack cocaine. He has been arrested 11 times and fired from 3 different jobs ? including from XFM and MTV ? and he claims to have slept with over 2,000 women. In 2003 Russell was told that he would be in prison, in a mental hospital or dead within six months unless he went in to rehab. He has now been clean for three years. In 2006 his presenting career took off, and he hosted the NME awards as well as his own MTV show, 1 Leicester Square, plus Big Brother?s Big Mouth on Channel 4. His UK stand-up tour was sold out and his BBC Radio 6 show became a cult phenomenon, the second most popular podcast of the year after Ricky Gervais. He was awarded Time Out?s Stand Up Comedian of the Year and won Best Newcomer at the British Comedy Awards. In 2007 Russell hosted both the Brit Awards and Comic Relief, and continued to front Big Brother?s Big Mouth. His BBC2 radio podcast became the UK?s most popular. Russell writes a weekly football column in the Guardian and is the patron of Focus 12, a charity helping people with alcohol and substance misuse."
9,9,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0994/9780099457046.jpg,Moab Is My Washpot,Stephen Fry,Paperback,4.0,5.99,$,12.9,9780099457046,Entertainment,dataset/Entertainment/0000010.jpg,"______________________________ The original bestselling autobiography by comedian, novelist and national treasure Stephen Fry. Few people serve time in prison before studying at Cambridge. You might be surprised to know that Stephen Fry is one of them. Moab is My Washpot, the remarkable story of Stephen Fry's tumultuous early life, is by turns funny, shocking, tender, delicious, sad, lyrical, bruisingly frank and addictively readable. It's the story of a boy sent to a boarding school 200 miles from home at the age of seven, who survives beatings, misery, love, ecstasy, carnal violation, expulsion, imprisonment, criminal conviction, probation and catastrophe to emerge, at eighteen, ready to try and face the world in which he had always felt a stranger. Fry writes with the wit and warmth which have become his hallmark, but with shocking candour too. For anyone seeking to understand one of Britain's greatest cultural treasures, this book is utterly essential reading."
10,10,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4521/9781452106557.jpg,Darth Vader and Son,Jeffrey Brown,Hardback,4.0,9.61,$,12.9,9781452106557,Entertainment,dataset/Entertainment/0000011.jpg,"What if Darth Vader took an active role in raising his son? What if ""Luke, I am your father"" was just a stern admonishment from an annoyed dad? In this hilarious and sweet comic reimagining, Darth Vader is a dad like any other—except with all the baggage of being the Dark Lord of the Sith. Celebrated artist Jeffrey Brown's delightful illustrations give classic Star Wars® moments a fresh twist, presenting the trials and joys of parenting through the lens of a galaxy far, far away. Life lessons include lightsaber batting practice, using the Force to raid the cookie jar, Take Your Child to Work Day on the Death Star (""Er, he looks just like you, Lord Vader!""), and the special bond shared between any father and son. Plus, this is the fixed-format version, which looks almost identical to the print edition."
11,11,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8609/9781860969430.jpg,"Music Theory in Practice, Grade 2",Eric Taylor,Sheet music,4.5,6.99,$,7.0,9781860969430,Entertainment,dataset/Entertainment/0000012.jpg,"Fully revised, this workbook remains the best way to prepare for ABRSM's Grade 5 Theory of Music Exam. Features a clear explanation of music notation, many worked examples and practice exercises, definitions of important words and concepts, specimen exam questions and helpful tips for students."
12,12,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7624/9780762459452.jpg,Harry Potter: Collectible Quidditch Set,Running Press,Paperback,5.0,18.32,$,22.99,9780762459452,Entertainment,dataset/Entertainment/0000013.jpg,
13,13,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8609/9781860969447.jpg,"Music Theory in Practice, Grade 3",Eric Taylor,Sheet music,4.0,7.57,$,7.8,9781860969447,Entertainment,dataset/Entertainment/0000014.jpg,"Fully revised, this workbook remains the best way to prepare for ABRSM's Grade 5 Theory of Music Exam. Features a clear explanation of music notation, many worked examples and practice exercises, definitions of important words and concepts, specimen exam questions and helpful tips for students."
14,14,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8609/9781860969461.jpg,"Music Theory in Practice, Grade 5",Eric Taylor,Sheet music,4.5,8.80,$,,9781860969461,Entertainment,dataset/Entertainment/0000015.jpg,"This introduction to the essential elements of music is ideal for students preparing for examinations, as well as an excellent resource for everyone learning to read music."
15,15,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6167/9781616770785.jpg,Piano Adventures,Nancy Faber,Paperback,4.0,7.43,$,9.0,9781616770785,Entertainment,dataset/Entertainment/0000016.jpg,"(Faber Piano Adventures ). The appeal of popular music spans generations and genres. In this collection of 27 hits, enjoy folk tunes like ""Ashokan Farewell"" and ""Bridge Over Troubled Water,"" movie themes from James Bond and Batman , Broadway numbers from Evita and A Little Night Music , and chart-toppers performed by Michael Jackson, Adele, Billy Joel, and more. Adult Piano Adventures Popular Book 2 provides this variety, yet with accessible arrangements for the progressing pianist. Students may advance through the book alongside method studies, or jump to all their favorites. Optional chord symbols above the staff guide understanding and personal expression."
16,16,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7423/9781742372389.jpg,The Happiest Refugee,Anh Do,Paperback,4.0,20.87,$,,9781742372389,Entertainment,dataset/Entertainment/0000017.jpg,"The bestselling, laugh-out-loud, reach for your hanky story of one of Australia's best-loved comedians."
