,Unnamed: 0,image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,description
0,0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7850/9781785031168.jpg,Ottolenghi SIMPLE,Yotam Ottolenghi,Hardback,4.5,28.6,$,31.5,9781785031168,Food-Drink,dataset/Food-Drink/0000001.jpg,"JAMES BEARD AWARD FINALIST • The New York Times bestselling collection of 130 easy, flavor-forward recipes from beloved chef Yotam Ottolenghi. In Ottolenghi Simple, powerhouse author and chef Yotam Ottolenghi presents 130 streamlined recipes packed with his signature Middle Eastern–inspired flavors, all simple in at least (and often more than) one way: made in 30 minutes or less, with 10 or fewer ingredients, in a single pot, using pantry staples, or prepared ahead of time for brilliantly, deliciously simple meals. Brunch gets a make-over with Braised Eggs with Leeks and Za’atar; Cauliflower, Pomegranate, and Pistachio Salad refreshes the side-dish rotation; Lamb and Feta Meatballs bring ease to the weeknight table; and every sweet tooth is sure to be satisfied by the spectacular Fig and Thyme Clafoutis. With more than 130 photographs, this is elemental Ottolenghi for everyone."
1,1,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7181/9780718187729.jpg,5 Ingredients - Quick & Easy Food,Jamie Oliver,Hardback,4.0,25.92,$,32.5,9780718187729,Food-Drink,dataset/Food-Drink/0000002.jpg,"Fast family favorites for every day! In today’s busy working world, it’s difficult enough to get your family to sit down and eat together, much less find the time to prepare an appetizing dinner every night. With The Everything Quick and Easy 30-Minute, 5- Ingredient Cookbook, you will learn how to make delicious, quality meals and snacks in just half an hour! Tasty highlights include: -Turkey Amandine -Spicy Veggie Pizza -Shrimp Fettuccine -Grilled Orange Pork Tenderloin -Poached Salmon with Alfredo Sauce -Parmesan Cups with Cheesy Filling Let The Everything Quick and Easy 30-Minute, 5-Ingredient Cookbook help you manage your busy schedule with mouth-watering meals your whole family will love!"
2,2,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7181/9780718154776.jpg,Jamie's 30-Minute Meals,Jamie Oliver,Hardback,4.0,27.39,$,31.5,9780718154776,Food-Drink,dataset/Food-Drink/0000003.jpg,"Get your complete meals from kitchen to table in no time at all, in the bestselling Jamie's 30-Minute Meals Make your kitchen work for you . . . Jamie Oliver will teach you how to make good food super fast! Jamie proves that, by mastering a few tricks and being organized and focused in the kitchen, it is absolutely possible, and easy, to get a complete meal on the table in the same amount of time you'd normally spend making one dish! The 50 brand-new meal ideas in this book are exciting, varied and seasonal. They include main course recipes with side dishes as well as puddings and drinks, and are all meals you'll be proud to serve your family and friends. Set meals include melt-in-the-mouth Spring Lamb with Veg and a deep Chianti Gravy followed by Chocolate Fondue and a Mushroom Risotto with Spinach Salad and moreish Lemon and Raspberry Cheesecake. Last minute lunch plans? No problem. Jamie's 30-Minute Meals not only includes stunning three course meals, but also light lunches like tender Duck Salad followed by creamy Rice Pudding and Stewed Fruit. Jamie offers a tasty dish for every occasion and has written the recipes in a way that will help you make the most of every single minute in the kitchen. This book is as practical as it is beautiful, showing that with a bit of preparation, the right equipment and some organization, hearty, delicious, quick meals are less than half an hour away. With the help of Jamie Oliver and Jamie's 30-Minute Meals, you'll be amazed by what you're able to achieve. 'There is only one Jamie Oliver. Great to watch. Great to cook' Delia Smith"
3,3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7181/9780718157807.jpg,Jamie's 15-Minute Meals,Jamie Oliver,Hardback,4.0,27.3,$,31.5,9780718157807,Food-Drink,dataset/Food-Drink/0000004.jpg,"Jamie’s 15 Minute Meals is a classic cookbook meant to arm readers with the skills to create great meals quickly. In Jamie’s trademark style, the recipes are methodical, clever and fun-drawing on inspiration from all over the world; embracing the tastes that we all love; playing on classic chicken, steak and pasta dishes; looking at Asian-inspired street food and brilliant Moroccan flavours; putting together great salads and so much more. These are some of the quickest and easiest meals Jamie’s ever done."
4,4,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2412/9780241283912.jpg,The Little Book of Hygge,Meik Wiking,Hardback,3.5,11.61,$,11.99,9780241283912,Food-Drink,dataset/Food-Drink/0000005.jpg,"New York Times Bestseller Embrace Hygge (pronounced hoo-ga) and become happier with this definitive guide to the Danish philosophy of comfort, togetherness, and well-being. Why are Danes the happiest people in the world? The answer, says Meik Wiking, CEO of the Happiness Research Institute in Copenhagen, is Hygge. Loosely translated, Hygge—pronounced Hoo-ga—is a sense of comfort, togetherness, and well-being. ""Hygge is about an atmosphere and an experience,"" Wiking explains. ""It is about being with the people we love. A feeling of home. A feeling that we are safe."" Hygge is the sensation you get when you’re cuddled up on a sofa, in cozy socks under a soft throw, during a storm. It’s that feeling when you’re sharing comfort food and easy conversation with loved ones at a candlelit table. It is the warmth of morning light shining just right on a crisp blue-sky day. The Little Book of Hygge introduces you to this cornerstone of Danish life, and offers advice and ideas on incorporating it into your own life, such as: Get comfy. Take a break. Be here now. Turn off the phones. Turn down the lights. Bring out the candles. Build relationships. Spend time with your tribe. Give yourself a break from the demands of healthy living. Cake is most definitely Hygge. Live life today, like there is no coffee tomorrow. From picking the right lighting to organizing a Hygge get-together to dressing hygge, Wiking shows you how to experience more joy and contentment the Danish way."
5,5,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0919/9780091933685.jpg,Plenty,Yotam Ottolenghi,Hardback,4.5,30.27,$,33.11,9780091933685,Food-Drink,dataset/Food-Drink/0000006.jpg,"“A welcome new account of Stuart’s fateful ride during the 1863 Pennsylvania campaign . . . well researched, vividly written, and shrewdly argued.” —Mark Grimsley, author of And Keep Moving On June 1863. The Gettysburg Campaign is in its opening hours. Harness jingles and hoofs pound as Confederate cavalryman James Ewell Brown (JEB) Stuart leads his three brigades of veteran troopers on a ride that triggers one of the Civil War’s most bitter and enduring controversies. Instead of finding glory and victory-two objectives with which he was intimately familiar, Stuart reaped stinging criticism and substantial blame for one of the Confederacy’s most stunning and unexpected battlefield defeats. In Plenty of Blame to Go Around: Jeb Stuart’s Controversial Ride to Gettysburg, Eric J. Wittenberg and J. David Petruzzi objectively investigate the role Stuart’s horsemen played in the disastrous campaign. It is the first book ever written on this important and endlessly fascinating subject. Did the plumed cavalier disobey General Robert E. Lee’s orders by stripping the army of its “eyes and ears?” Was Stuart to blame for the unexpected combat that broke out at Gettysburg on July 1? Authors Wittenberg and Petruzzi, widely recognized for their study and expertise of Civil War cavalry operations, have drawn upon a massive array of primary sources, many heretofore untapped, to fully explore Stuart’s ride, its consequences, and the intense debate among participants shortly after the battle, through early post-war commentators, and among modern scholars. The result is a richly detailed study jammed with incisive tactical commentary, new perspectives on the strategic role of the Southern cavalry, and fresh insights on every horse engagement, large and small, fought during the campaign."
6,6,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0919/9780091924850.jpg,Annabel Karmel's New Complete Baby & Toddler Meal Planner - 4th Edition,Annabel Karmel,Hardback,4.0,17.11,$,19.1,9780091924850,Food-Drink,dataset/Food-Drink/0000007.jpg,
7,7,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0919/9780091943745.jpg,Jerusalem,Yotam Ottolenghi,Hardback,4.5,30.63,$,32.5,9780091943745,Food-Drink,dataset/Food-Drink/0000008.jpg,"The controversial journalistic analysis of the mentality that fostered the Holocaust, from the author of The Origins of Totalitarianism Sparking a flurry of heated debate, Hannah Arendt’s authoritative and stunning report on the trial of German Nazi leader Adolf Eichmann first appeared as a series of articles in The New Yorker in 1963. This revised edition includes material that came to light after the trial, as well as Arendt’s postscript directly addressing the controversy that arose over her account. A major journalistic triumph by an intellectual of singular influence, Eichmann in Jerusalem is as shocking as it is informative—an unflinching look at one of the most unsettling (and unsettled) issues of the twentieth century."
8,8,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0919/9780091957155.jpg,Plenty More,Yotam Ottolenghi,Hardback,4.5,30.7,$,32.99,9780091957155,Food-Drink,dataset/Food-Drink/0000009.jpg,"Experience Yotam Ottolenghi’s wholly original approach to Middle Eastern-inspired, vegetable-centric cooking with over 280 recipes in a convenient ebook bundle of the beloved New York Times bestselling cookbooks Plenty More and Ottolenghi Simple. From powerhouse chef and author (with over five million book copies sold) Yotam Ottolenghi comes this collection of two fan favorites. These definitive books feature over 280 recipes—spanning every meal, from breakfast to dessert, including snacks and sides—showcasing Yotam’s trademark dazzling, boldly flavored, Middle Eastern cooking style. Full of weeknight winners, for vegetarians and omnivores alike, such as Braised Eggs with Leeks and Za’atar, Polenta Chips with Avocado and Yogurt, Lamb and Feta Meatballs, Baked Orzo with Mozzarella and Oregano, and Halvah Ice Cream with Chocolate Sauce and Roasted Peanuts, Essential Ottolenghi includes: Plenty More: More than 150 dazzling recipes emphasize spices, seasonality, and bold flavors. Organized by cooking method, from inspired salads to hearty main dishes and luscious desserts, this collection will change the way you cook and eat vegetables. Ottolenghi Simple: These 130 streamlined recipes packed with Yotam’s famous flavors are all simple in at least (and often more than) one way: made in thirty minutes or less, with ten or fewer ingredients, in a single pot, using pantry staples, or prepared ahead of time for brilliantly, deliciously simple meals."
9,9,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7181/9780718187767.jpg,Veg,Jamie Oliver,Hardback,4.0,27.36,$,32.5,9780718187767,Food-Drink,dataset/Food-Drink/0000010.jpg,
