,Unnamed: 0,image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,description
0,0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4093/9781409303183.jpg,Peppa Pig: Little Library,Peppa Pig,Board book,4.0,7.22,$,,9781409303183,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000001.jpg,"The perfect book collection for the littlest readers! Peppa and George are getting ready for bed with this sweet little library of bedtime books. From bathtime to storytime, bedtime to dream time, this little library is the ideal gift to help little ones settle off to sleep too. The back covers even make a jigsaw puzzle for busy little hands to make! Titles available from Ladybird include: Peppa Pig Little Library and Peppa Pig Fairy Tale Little Library"
1,1,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4063/9781406338539.jpg,I Want My Hat Back,Jon Klassen,Paperback,4.5,7.03,$,9.5,9781406338539,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000002.jpg,"A New York Times Best Illustrated Children's Book of 2011! A picture-book delight by a rising talent tells a cumulative tale with a mischievous twist. Features an audio read-along! The bear’s hat is gone, and he wants it back. Patiently and politely, he asks the animals he comes across, one by one, whether they have seen it. Each animal says no, some more elaborately than others. But just as the bear begins to despond, a deer comes by and asks a simple question that sparks the bear’s memory and renews his search with a vengeance. Told completely in dialogue, this delicious take on the classic repetitive tale plays out in sly illustrations laced with visual humor-- and winks at the reader with a wry irreverence that will have kids of all ages thrilled to be in on the joke."
2,2,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1424/9780142403877.jpg,The Gruffalo,Julia Donaldson,Paperback,4.5,6.91,$,7.95,9780142403877,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000003.jpg,"A clever mouse uses the threat of a terrifying creature to keep from being eaten by a fox, an owl, and a snake--only to have to outwit that creature as well. On board pages."
3,3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4424/9781442408937.jpg,Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Saenz,Paperback,4.5,7.72,$,15.0,9781442408937,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000004.jpg,"Fifteen-year-old Ari Mendoza is an angry loner with a brother in prison, but when he meets Dante and they become friends, Ari starts to ask questions about himself, his parents and his family that he has never asked before."
4,4,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4095/9781409550259.jpg,Look Inside Things That Go,Rob Lloyd Jones,Hardback,4.5,9.92,$,12.9,9781409550259,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000005.jpg,Synopsis coming soon.......
5,5,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9783/3140/9783314015441.jpg,Rainbow Fish,Marcus Pfister,Paperback,4.0,7.12,$,8.8,9783314015441,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000006.jpg,The most beautiful fish in the entire ocean discovers the real value of personal beauty and friendship.
6,6,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4197/9781419713101.jpg,In My Heart:A Book of Feelings,Jo Witek,Hardback,4.5,10.61,$,16.0,9781419713101,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000007.jpg,"A young girl explores what different emotions feel like, such as happiness which makes her want to twirl, or sadness which feels as heavy as an elephant."
7,7,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141014081.jpg,The Complete MAUS,Art Spiegelman,Paperback,4.5,17.61,$,21.1,9780141014081,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000008.jpg,"Distinctive Styles and Authorship in Alternative Comics addresses the benefits and limits of analyses of style in alternative comics. It offers three close readings of works serially published between 1980 and 2018 – Art Spiegelman’s Maus, Alison Bechdel’s Dykes to Watch Out For, and Jason Lutes’ Berlin – and discusses how artistic style may influence the ways in which readers construct authorship."
8,8,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1424/9780142402511.jpg,Looking for Alaska,John Green,Paperback,4.0,11.2,$,,9780142402511,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000009.jpg,"WARNING: This is not the actual book Looking for Alaska by John Green. Do not buy this reading Sidekick if you are looking for a full copy of this great book.Use this expert sidekick to dissect these themes in Looking for Alaska, while enjoying a detailed analysis of each chapter of the book. If that wasn't enough, we close with potential questions and responses to help you get the conversation started with co-workers, friends, or fellow book club members.This newly discovered gem from the past (2005) has become a must-read, thanks in no small part to the success of Green's 2012 masterpiece: The Fault in Our Stars. As many Green fans have already discovered, our sidekick is the ultimate go-to source for understanding the complexities of John Green's tales of teen angst and tragedy. Looking for Alaska tells the story of Miles Halter, a 16-year-old with a nondescript life who is seeking a ""Great Perhaps."" In his quest, he finds himself at the Culver Creek Boarding School, where his past life of boredom and safety takes a back seat to adventure and sexual experimentation.His trek to the other side of the tracks takes him only a few steps, as he meets Alaska Young just down the hall at school. She is sexy, funny, and everything else that makes teenage boys drool. She is also a self-destructive sort, headed toward the ""After"" portion of Looking for Alaska, where everything comes crashing down. As our sidekick details, the themes of life and death weave their way through the novel, drawing the characters closer together while preparing them for something that will rip them apart."
9,9,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0073/9780007371082.jpg,Billionaire Boy,David Walliams,Paperback,4.0,7.64,$,9.5,9780007371082,Graphic-Novels-Anime-Manga,dataset/Graphic-Novels-Anime-Manga/0000010.jpg,"A hilarious, touching and extraordinary fable from David Walliams, number one bestseller and fastest growing children’s author across the globey, with EXCLUSIVE audio and video from David Walliams"
