,Unnamed: 0,image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,description
0,0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3407/9780340733509.jpg,The Power of Now,Eckhart Tolle,Paperback,4.0,8.2,$,13.9,9780340733509,Health,dataset/Health/0000001.jpg,"To make the journey into the Now we will need to leave our analytical mind and its false created self, the ego, behind. From the very first page of Eckhart Tolle's extraordinary book, we move rapidly into a significantly higher altitude where we breathe a lighter air. We become connected to the indestructible essence of our Being, “The eternal, ever present One Life beyond the myriad forms of life that are subject to birth and death.” Although the journey is challenging, Eckhart Tolle uses simple language and an easy question and answer format to guide us. A word of mouth phenomenon since its first publication, The Power of Now is one of those rare books with the power to create an experience in readers, one that can radically change their lives for the better."
1,1,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4391/9781439199190.jpg,How to Win Friends and Influence People,Dale Carnegie,Paperback,4.0,8.3,$,9.5,9781439199190,Health,dataset/Health/0000002.jpg,"Do you feel stuck in life, not knowing how to make it more successful? Do you wish to become more popular? Are you craving to earn more? Do you wish to expand your horizon, earn new clients and win people over with your ideas? How to Win Friends and Influence People is a well-researched and comprehensive guide that will help you through these everyday problems and make success look easier. You can learn to expand your social circle, polish your skill set, find ways to put forward your thoughts more clearly, and build mental strength to counter all hurdles that you may come across on the path to success. Having helped millions of readers from the world over achieve their goals, the clearly listed techniques and principles will be the answers to all your questions."
2,2,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099511021.jpg,Educated,Tara Westover,Paperback,4.5,9.61,$,11.5,9780099511021,Health,dataset/Health/0000003.jpg,"For readers of The Glass Castle and Wild, a stunning new memoir about family, loss and the struggle for a better future #1 International Bestseller Tara Westover was seventeen when she first set foot in a classroom. Instead of traditional lessons, she grew up learning how to stew herbs into medicine, scavenging in the family scrap yard and helping her family prepare for the apocalypse. She had no birth certificate and no medical records and had never been enrolled in school. Westover’s mother proved a marvel at concocting folk remedies for many ailments. As Tara developed her own coping mechanisms, little by little, she started to realize that what her family was offering didn’t have to be her only education. Her first day of university was her first day in school—ever—and she would eventually win an esteemed fellowship from Cambridge and graduate with a PhD in intellectual history and political thought."
3,3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784701994.jpg,When Breath Becomes Air,Paul Kalanithi,Paperback,4.5,9.05,$,11.5,9781784701994,Health,dataset/Health/0000004.jpg,"#1 NEW YORK TIMES BESTSELLER • PULITZER PRIZE FINALIST • This inspiring, exquisitely observed memoir finds hope and beauty in the face of insurmountable odds as an idealistic young neurosurgeon attempts to answer the question What makes a life worth living? NAMED ONE OF PASTE’S BEST MEMOIRS OF THE DECADE • NAMED ONE OF THE BEST BOOKS OF THE YEAR BY The New York Times Book Review • People • NPR • The Washington Post • Slate • Harper’s Bazaar • Time Out New York • Publishers Weekly • BookPage Finalist for the PEN Center USA Literary Award in Creative Nonfiction and the Books for a Better Life Award in Inspirational Memoir At the age of thirty-six, on the verge of completing a decade’s worth of training as a neurosurgeon, Paul Kalanithi was diagnosed with stage IV lung cancer. One day he was a doctor treating the dying, and the next he was a patient struggling to live. And just like that, the future he and his wife had imagined evaporated. When Breath Becomes Air chronicles Kalanithi’s transformation from a naïve medical student “possessed,” as he wrote, “by the question of what, given that all organisms die, makes a virtuous and meaningful life” into a neurosurgeon at Stanford working in the brain, the most critical place for human identity, and finally into a patient and new father confronting his own mortality. What makes life worth living in the face of death? What do you do when the future, no longer a ladder toward your goals in life, flattens out into a perpetual present? What does it mean to have a child, to nurture a new life as another fades away? These are some of the questions Kalanithi wrestles with in this profoundly moving, exquisitely observed memoir. Paul Kalanithi died in March 2015, while working on this book, yet his words live on as a guide and a gift to us all. “I began to realize that coming face to face with my own mortality, in a sense, had changed nothing and everything,” he wrote. “Seven words from Samuel Beckett began to repeat in my head: ‘I can’t go on. I’ll go on.’” When Breath Becomes Air is an unforgettable, life-affirming reflection on the challenge of facing death and on the relationship between doctor and patient, from a brilliant writer who became both."
4,4,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8452/9781845298258.jpg,The Happiness Trap,Russ Harris,Paperback,4.0,8.34,$,13.9,9781845298258,Health,dataset/Health/0000005.jpg,"A guide to ACT: the revolutionary mindfulness-based program for reducing stress, overcoming fear, and finding fulfilment – now updated. International bestseller, 'The Happiness Trap', has been published in over thirty countries and twenty-two languages. NOW UPDATED. Popular ideas about happiness are misleading, inaccurate, and are directly contributing to our current epidemic of stress, anxiety and depression. And unfortunately, popular psychological approaches are making it even worse! In this easy-to-read, practical and empowering self-help book, Dr Russ Harries, reveals how millions of people are unwittingly caught in the 'The Happiness Trap', where the more they strive for happiness the more they suffer in the long term. He then provides an effective means to escape through the insights and techniques of ACT (Acceptance and Commitment Therapy), a groundbreaking new approach based on mindfulness skills. By clarifying your values and developing mindfulness (a technique for living fully in the present moment), ACT helps you escape the happiness trap and find true satisfaction in life. Mindfulness skills are easy to learn and will rapidly and effectively help you to reduce stress, enhance performance, manage emotions, improve health, increase vitality, and generally change your life for the better. The book provides scientifically proven techniques to: reduce stress and worry; rise above fear, doubt and insecurity; handle painful thoughts and feelings far more effectively; break self-defeating habits; improve performance and find fulfilment in your work; build more satisfying relationships; and, create a rich, full and meaningful life."
5,5,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408878729.jpg,Lost Connections,Johann Hari,Paperback,4.5,8.53,$,11.5,9781408878729,Health,dataset/Health/0000006.jpg,"THE INTERNATIONAL BESTSELLER 'A book that could actually make us happy' SIMON AMSTELL 'This amazing book will change your life' ELTON JOHN 'One of the most important texts of recent years' BRITISH JOURNAL OF GENERAL PRACTICE 'Brilliant, stimulating, radical' MATT HAIG 'The more people read this book, the better off the world will be' NAOMI KLEIN 'Wonderful' HILLARY CLINTON 'Eye-opening' GUARDIAN 'Brilliant for anyone wanting a better understanding of mental health' ZOE BALL 'A game-changer' DAVINA MCCALL 'Extraordinary' DR MAX PEMBERTON 'Beautiful' RUSSELL BRAND Depression and anxiety are now at epidemic levels. Why? Across the world, scientists have uncovered evidence for nine different causes. Some are in our biology, but most are in the way we are living today. Lost Connections offers a radical new way of thinking about this crisis. It shows that once we understand the real causes, we can begin to turn to pioneering new solutions – ones that offer real hope."
6,6,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141978611.jpg,The Body Keeps the Score,Bessel van der Kolk,Paperback,4.5,10.99,$,13.9,9780141978611,Health,dataset/Health/0000007.jpg,"#1 New York Times bestseller “Essential reading for anyone interested in understanding and treating traumatic stress and the scope of its impact on society.” —Alexander McFarlane, Director of the Centre for Traumatic Stress Studies A pioneering researcher transforms our understanding of trauma and offers a bold new paradigm for healing in this New York Times bestseller Trauma is a fact of life. Veterans and their families deal with the painful aftermath of combat; one in five Americans has been molested; one in four grew up with alcoholics; one in three couples have engaged in physical violence. Dr. Bessel van der Kolk, one of the world’s foremost experts on trauma, has spent over three decades working with survivors. In The Body Keeps the Score, he uses recent scientific advances to show how trauma literally reshapes both body and brain, compromising sufferers’ capacities for pleasure, engagement, self-control, and trust. He explores innovative treatments—from neurofeedback and meditation to sports, drama, and yoga—that offer new paths to recovery by activating the brain’s natural neuroplasticity. Based on Dr. van der Kolk’s own research and that of other leading specialists, The Body Keeps the Score exposes the tremendous power of our relationships both to hurt and to heal—and offers new hope for reclaiming lives."
7,7,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7181/9780718154776.jpg,Jamie's 30-Minute Meals,Jamie Oliver,Hardback,4.0,27.39,$,31.5,9780718154776,Health,dataset/Health/0000008.jpg,"Get your complete meals from kitchen to table in no time at all, in the bestselling Jamie's 30-Minute Meals Make your kitchen work for you . . . Jamie Oliver will teach you how to make good food super fast! Jamie proves that, by mastering a few tricks and being organized and focused in the kitchen, it is absolutely possible, and easy, to get a complete meal on the table in the same amount of time you'd normally spend making one dish! The 50 brand-new meal ideas in this book are exciting, varied and seasonal. They include main course recipes with side dishes as well as puddings and drinks, and are all meals you'll be proud to serve your family and friends. Set meals include melt-in-the-mouth Spring Lamb with Veg and a deep Chianti Gravy followed by Chocolate Fondue and a Mushroom Risotto with Spinach Salad and moreish Lemon and Raspberry Cheesecake. Last minute lunch plans? No problem. Jamie's 30-Minute Meals not only includes stunning three course meals, but also light lunches like tender Duck Salad followed by creamy Rice Pudding and Stewed Fruit. Jamie offers a tasty dish for every occasion and has written the recipes in a way that will help you make the most of every single minute in the kitchen. This book is as practical as it is beautiful, showing that with a bit of preparation, the right equipment and some organization, hearty, delicious, quick meals are less than half an hour away. With the help of Jamie Oliver and Jamie's 30-Minute Meals, you'll be amazed by what you're able to achieve. 'There is only one Jamie Oliver. Great to watch. Great to cook' Delia Smith"
8,8,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141983769.jpg,Why We Sleep,Matthew Walker,Paperback,4.5,9.93,$,12.4,9780141983769,Health,dataset/Health/0000009.jpg,"""Sleep is one of the most important but least understood aspects of our life, wellness, and longevity ... An explosion of scientific discoveries in the last twenty years has shed new light on this fundamental aspect of our lives. Now ... neuroscientist and sleep expert Matthew Walker gives us a new understanding of the vital importance of sleep and dreaming""--Amazon.com."
9,9,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7807/9781780723624.jpg,The Fast 800,Michael Mosley,Paperback,4.0,9.09,$,11.5,9781780723624,Health,dataset/Health/0000010.jpg,"Australian and New Zealand edition THE NO. 1 BESTSELLER IN AUSTRALIA AND THE UK BASED ON THE LATEST GROUNDBREAKING SCIENCE THE ULTIMATE GUIDE FROM THE CREATOR OF THE 5:2 – HOW TO COMBINE RAPID WEIGHT LOSS AND INTERMITTENT FASTING FOR LONG-TERM GOOD HEALTH AN EXCITING NEW PROGRAMME BUILT AROUND A MORE MANAGEABLE 800-CALORIE FAST DAY Six years ago, Dr Michael Mosley started a health revolution with The 5.2 Fast Diet, telling the world about the incredible power of intermittent fasting. In this book he brings together all the latest science (including a new approach: Time Restricted Eating) to create an easy-to-follow programme. Recent studies have shown that 800 calories is the magic number when it comes to successful dieting – it’s an amount high enough to be manageable but low enough to speed weight loss and trigger a range of desirable metabolic changes. Depending on your goals, you can choose how intensively you want to do the programme: how many 800-calorie days to include each week, and how to adjust these as you progress. Along with delicious, low-carb recipes and menu plans by Dr Clare Bailey, The Fast 800 offers a flexible way to help you lose weight, improve mood and reduce blood pressure, inflammation and blood sugars. Take your future health into your own hands. ‘I lost 16kg in the first 8 weeks and then another 6kg. I’ve never been healthier.’ Denise, 51"
