,Unnamed: 0,image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,description
0,0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099590088.jpg,Sapiens,Yuval Noah Harari,Paperback,4.5,12.98,$,,9780099590088,History-Archaeology,dataset/History-Archaeology/0000001.jpg,"NATIONAL BESTSELLER NEW YORK TIMES BESTSELLER Destined to become a modern classic in the vein of Guns, Germs, and Steel, Sapiens is a lively, groundbreaking history of humankind told from a unique perspective. 100,000 years ago, at least six species of human inhabited the earth. Today there is just one. Us. Homo Sapiens. How did our species succeed in the battle for dominance? Why did our foraging ancestors come together to create cities and kingdoms? How did we come to believe in gods, nations, and human rights; to trust money, books, and laws; and to be enslaved by bureaucracy, timetables, and consumerism? And what will our world be like in the millennia to come? In Sapiens, Dr. Yuval Noah Harari spans the whole of human history, from the very first humans to walk the earth to the radical -- and sometimes devastating -- breakthroughs of the Cognitive, Agricultural, and Scientific Revolutions. Drawing on insights from biology, anthropology, palaeontology, and economics, he explores how the currents of history have shaped our human societies, the animals and plants around us, and even our personalities. Have we become happier as history has unfolded? Can we ever free our behaviour from the heritage of our ancestors? And what, if anything, can we do to influence the course of the centuries to come? Bold, wide-ranging and provocative, Sapiens challenges everything we thought we knew about being human: our thoughts, our actions, our power...and our future."
1,1,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141986005.jpg,Good Night Stories for Rebel Girls,Elena Favilli,Hardback,4.5,20.86,$,24.0,9780141986005,History-Archaeology,dataset/History-Archaeology/0000002.jpg,"A NEW YORK TIMES BESTSELLER The New York Times bestselling Good Night Stories for Rebel Girls is a children's book packed with 100 bedtime stories about the lives of extraordinary women from the past and the present, illustrated by 60 female artists from all over the world. This must-have volume brings readers on an empowering journey, introducing them to the real-life adventures of trailblazing women from Elizabeth I to Malala Yousafzai. The unique narrative style of Good Night Stories for Rebel Girls transforms each biography into a fairytale, filling readers with wonder and a burning curiosity to know more about each hero. Each woman's story is also accompanied by a full-page, full-color portrait that captures her rebel spirit."
2,2,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2413/9780241334140.jpg,Becoming,Michelle Obama,Hardback,4.5,24.21,$,26.0,9780241334140,History-Archaeology,dataset/History-Archaeology/0000003.jpg,"This is the book the world has been waiting for. Becoming God is a mind-blowing guide to Spiritual Enlightenment, Awareness of Being and Ultimate Reality through a close examination of today's most cutting edge science and technologies. Like a song bouncing into a new beat, Dance Music Super Producer, Ford has written his first book, ""Becoming God."" Connecting dots between science, spirituality, religion and psychology that only a true artist of his vision could have put together. Based on the cutting edge scientific studies of today and philosophies only recently being pondered, ""Becoming God"" is a must read companion book to ""What The Bleep Do We Know,"" ""The Secret,"" and any Deepak Chopra or Wayne Dyer.. www.becominggod.org"
3,3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2419/9780241958223.jpg,Start With Why,Simon Sinek,Paperback,4.0,8.9,$,12.4,9780241958223,History-Archaeology,dataset/History-Archaeology/0000004.jpg,"The inspiring, life-changing bestseller by the author of LEADERS EAT LAST and TOGETHER IS BETTER. In 2009, Simon Sinek started a movement to help people become more inspired at work, and in turn inspire their colleagues and customers. Since then, millions have been touched by the power of his ideas, including more than 28 million who’ve watched his TED Talk based on START WITH WHY -- the third most popular TED video of all time. Sinek starts with a fundamental question: Why are some people and organizations more innovative, more influential, and more profitable than others? Why do some command greater loyalty from customers and employees alike? Even among the successful, why are so few able to repeat their success over and over? People like Martin Luther King Jr., Steve Jobs, and the Wright Brothers had little in common, but they all started with WHY. They realized that people won't truly buy into a product, service, movement, or idea until they understand the WHY behind it. START WITH WHY shows that the leaders who've had the greatest influence in the world all think, act, and communicate the same way -- and it's the opposite of what everyone else does. Sinek calls this powerful idea The Golden Circle, and it provides a framework upon which organizations can be built, movements can be led, and people can be inspired. And it all starts with WHY."
4,4,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041242.jpg,Man's Search For Meaning,Viktor E. Frankl,Paperback,4.5,9.66,$,,9781846041242,History-Archaeology,dataset/History-Archaeology/0000005.jpg,"Over 16 million copies sold worldwide 'Every human being should read this book' Simon Sinek One of the outstanding classics to emerge from the Holocaust, Man's Search for Meaning is Viktor Frankl's story of his struggle for survival in Auschwitz and other Nazi concentration camps. Today, this remarkable tribute to hope offers us an avenue to finding greater meaning and purpose in our own lives."
5,5,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784703936.jpg,Homo Deus,Yuval Noah Harari,Paperback,4.5,12.9,$,,9781784703936,History-Archaeology,dataset/History-Archaeology/0000006.jpg,"International Bestseller From the author of the international bestseller Sapiens: A Brief History of Humankind comes an extraordinary new book that explores the future of the human species. Yuval Noah Harari, author of the bestselling Sapiens: A Brief History of Humankind, envisions a not-too-distant world in which we face a new set of challenges. In Homo Deus, he examines our future with his trademark blend of science, history, philosophy and every discipline in between. Homo Deus explores the projects, dreams and nightmares that will shape the twenty-first century – from overcoming death to creating artificial life. It asks the fundamental questions: Where do we go from here? And how will we protect this fragile world from our own destructive powers? This is the next stage of evolution. This is Homo Deus. War is obsolete You are more likely to commit suicide than be killed in conflict Famine is disappearing You are at more risk of obesity than starvation Death is just a technical problem Equality is out – but immortality is in What does our future hold?"
6,6,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7873/9781787330870.jpg,21 Lessons for the 21st Century,Yuval Noah Harari,Paperback,4.0,19.07,$,19.1,9781787330870,History-Archaeology,dataset/History-Archaeology/0000007.jpg,"#1 NEW YORK TIMES BESTSELLER • In Sapiens, he explored our past. In Homo Deus, he looked to our future. Now, one of the most innovative thinkers on the planet turns to the present to make sense of today’s most pressing issues. “Fascinating . . . a crucial global conversation about how to take on the problems of the twenty-first century.”—Bill Gates, The New York Times Book Review NAMED ONE OF THE BEST BOOKS OF THE YEAR BY FINANCIAL TIMES AND PAMELA PAUL, KQED How do computers and robots change the meaning of being human? How do we deal with the epidemic of fake news? Are nations and religions still relevant? What should we teach our children? Yuval Noah Harari’s 21 Lessons for the 21st Century is a probing and visionary investigation into today’s most urgent issues as we move into the uncharted territory of the future. As technology advances faster than our understanding of it, hacking becomes a tactic of war, and the world feels more polarized than ever, Harari addresses the challenge of navigating life in the face of constant and disorienting change and raises the important questions we need to ask ourselves in order to survive. In twenty-one accessible chapters that are both provocative and profound, Harari builds on the ideas explored in his previous books, untangling political, technological, social, and existential issues and offering advice on how to prepare for a very different future from the world we now live in: How can we retain freedom of choice when Big Data is watching us? What will the future workforce look like, and how should we ready ourselves for it? How should we deal with the threat of terrorism? Why is liberal democracy in crisis? Harari’s unique ability to make sense of where we have come from and where we are going has captured the imaginations of millions of readers. Here he invites us to consider values, meaning, and personal engagement in a world full of noise and uncertainty. When we are deluged with irrelevant information, clarity is power. Presenting complex contemporary challenges clearly and accessibly, 21 Lessons for the 21st Century is essential reading. “If there were such a thing as a required instruction manual for politicians and thought leaders, Israeli historian Yuval Noah Harari’s 21 Lessons for the 21st Century would deserve serious consideration. In this collection of provocative essays, Harari . . . tackles a daunting array of issues, endeavoring to answer a persistent question: ‘What is happening in the world today, and what is the deep meaning of these events?’”—BookPage (top pick)"
7,7,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/9978/9780997895827.jpg,Goodnight Stories for Rebel Girls 2,Elena Favilli,Hardback,4.5,21.15,$,30.9,9780997895827,History-Archaeology,dataset/History-Archaeology/0000008.jpg,"A NEW YORK TIMES BESTSELLER This sequel to the sensational New York Times bestseller, Good Night Stories for Rebel Girls, showcases 100 brand-new bedtime stories of incredible women throughout history and around the world. In this book, readers will embark on an empowering journey through 100 new bedtime stories, featuring the adventures of extraordinary women through the ages, from Nefertiti to Beyoncé. The unique narrative style of Good Night Stories for Rebel Girls transforms each biography into a fairytale, filling readers with wonder and a burning curiosity to know more about each hero. Good Night Stories for Rebel Girls 2 boasts a brand-new graphic design, a glossary, and full-page, full-color portraits of each subject, created by the best female artists of our time."
8,8,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846045127.jpg,The Choice,Edith Eger,Paperback,4.5,9.37,$,11.5,9781846045127,History-Archaeology,dataset/History-Archaeology/0000009.jpg,"A New York Times Bestseller “I’ll be forever changed by Dr. Eger’s story…The Choice is a reminder of what courage looks like in the worst of times and that we all have the ability to pay attention to what we’ve lost, or to pay attention to what we still have.”—Oprah “Dr. Eger’s life reveals our capacity to transcend even the greatest of horrors and to use that suffering for the benefit of others. She has found true freedom and forgiveness and shows us how we can as well.” —Desmond Tutu, Nobel Peace Prize Laureate “Dr. Edith Eva Eger is my kind of hero. She survived unspeakable horrors and brutality; but rather than let her painful past destroy her, she chose to transform it into a powerful gift—one she uses to help others heal.” —Jeannette Walls, New York Times bestselling author of The Glass Castle Winner of the National Jewish Book Award and Christopher Award At the age of sixteen, Edith Eger was sent to Auschwitz. Hours after her parents were killed, Nazi officer Dr. Josef Mengele, forced Edie to dance for his amusement and her survival. Edie was pulled from a pile of corpses when the American troops liberated the camps in 1945. Edie spent decades struggling with flashbacks and survivor’s guilt, determined to stay silent and hide from the past. Thirty-five years after the war ended, she returned to Auschwitz and was finally able to fully heal and forgive the one person she’d been unable to forgive—herself. Edie weaves her remarkable personal journey with the moving stories of those she has helped heal. She explores how we can be imprisoned in our own minds and shows us how to find the key to freedom. The Choice is a life-changing book that will provide hope and comfort to generations of readers."
9,9,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8441/9781844132393.jpg,Man's Search For Meaning,Viktor E. Frankl,Paperback,4.5,7.85,$,9.5,9781844132393,History-Archaeology,dataset/History-Archaeology/0000010.jpg,"Over 16 million copies sold worldwide 'Every human being should read this book' Simon Sinek One of the outstanding classics to emerge from the Holocaust, Man's Search for Meaning is Viktor Frankl's story of his struggle for survival in Auschwitz and other Nazi concentration camps. Today, this remarkable tribute to hope offers us an avenue to finding greater meaning and purpose in our own lives."
