,Unnamed: 0,image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,description
0,0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6077/9781607747307.jpg,The Life-Changing Magic of Tidying Up,Marie Kondo,Hardback,4.0,13.55,$,21.6,9781607747307,Home-Garden,dataset/Home-Garden/0000001.jpg,"#1 NEW YORK TIMES BESTSELLER • The book that sparked a revolution and inspired the hit Netflix series Tidying Up with Marie Kondo: the original guide to decluttering your home once and for all. ONE OF THE MOST INFLUENTIAL BOOKS OF THE DECADE—CNN Despite constant efforts to declutter your home, do papers still accumulate like snowdrifts and clothes pile up like a tangled mess of noodles? Japanese cleaning consultant Marie Kondo takes tidying to a whole new level, promising that if you properly simplify and organize your home once, you’ll never have to do it again. Most methods advocate a room-by-room or little-by-little approach, which doom you to pick away at your piles of stuff forever. The KonMari Method, with its revolutionary category-by-category system, leads to lasting results. In fact, none of Kondo’s clients have lapsed (and she still has a three-month waiting list). With detailed guidance for determining which items in your house “spark joy” (and which don’t), this international bestseller will help you clear your clutter and enjoy the unique magic of a tidy home—and the calm, motivated mindset it can inspire."
1,1,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2412/9780241283912.jpg,The Little Book of Hygge,Meik Wiking,Hardback,3.5,11.61,$,11.99,9780241283912,Home-Garden,dataset/Home-Garden/0000002.jpg,"New York Times Bestseller Embrace Hygge (pronounced hoo-ga) and become happier with this definitive guide to the Danish philosophy of comfort, togetherness, and well-being. Why are Danes the happiest people in the world? The answer, says Meik Wiking, CEO of the Happiness Research Institute in Copenhagen, is Hygge. Loosely translated, Hygge—pronounced Hoo-ga—is a sense of comfort, togetherness, and well-being. ""Hygge is about an atmosphere and an experience,"" Wiking explains. ""It is about being with the people we love. A feeling of home. A feeling that we are safe."" Hygge is the sensation you get when you’re cuddled up on a sofa, in cozy socks under a soft throw, during a storm. It’s that feeling when you’re sharing comfort food and easy conversation with loved ones at a candlelit table. It is the warmth of morning light shining just right on a crisp blue-sky day. The Little Book of Hygge introduces you to this cornerstone of Danish life, and offers advice and ideas on incorporating it into your own life, such as: Get comfy. Take a break. Be here now. Turn off the phones. Turn down the lights. Bring out the candles. Build relationships. Spend time with your tribe. Give yourself a break from the demands of healthy living. Cake is most definitely Hygge. Live life today, like there is no coffee tomorrow. From picking the right lighting to organizing a Hygge get-together to dressing hygge, Wiking shows you how to experience more joy and contentment the Danish way."
2,2,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141039411.jpg,A New Earth,Eckhart Tolle,Paperback,4.0,9.72,$,11.4,9780141039411,Home-Garden,dataset/Home-Garden/0000003.jpg,"The 10th anniversary edition of A New Earth with a new preface by Eckhart Tolle. With his bestselling spiritual guide The Power of Now, Eckhart Tolle inspired millions of readers to discover the freedom and joy of a life lived “in the now.” In A New Earth, Tolle expands on these powerful ideas to show how transcending our ego-based state of consciousness is not only essential to personal happiness, but also the key to ending conflict and suffering throughout the world. Tolle describes how our attachment to the ego creates the dysfunction that leads to anger, jealousy, and unhappiness, and shows readers how to awaken to a new state of consciousness and follow the path to a truly fulfilling existence. Illuminating, enlightening, and uplifting, A New Earth is a profoundly spiritual manifesto for a better way of life—and for building a better world."
3,3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4019/9781401948320.jpg,Medical Medium Life-Changing Foods,Anthony William,Hardback,4.5,20.3,$,27.5,9781401948320,Home-Garden,dataset/Home-Garden/0000004.jpg,"Celery juice is everywhere for a reason: because it's saving lives as it restores people's health one symptom at a time. From celebrities posting about their daily celery juice routines to people from all walks of life sharing pictures and testimonials of their dramatic recovery stories, celery juice is revealing itself to ignite healing when all odds seem against it. What began decades ago as a quiet movement has become a global healing revolution. In Celery Juice: The Most Powerful Medicine of Our Time Healing Millions Worldwide, Anthony William, the originator of the global celery juice movement, introduces you to celery juice's incredible ability to create sweeping improvements on every level of our health: • Healing the gut and relieving digestive disorders • Balancing blood sugar, blood pressure, weight, and adrenal function • Neutralizing and flushing toxins from the liver and brain • Restoring health in people who suffer from a vast range of chronic and mystery illnesses and symptoms, among them fatigue, brain fog, acne, eczema, addiction, ADHD, thyroid disorders, diabetes, SIBO, eating disorders, autoimmune disorders, Lyme disease, and eye problems After revealing exactly how celery juice does its anti-inflammatory, alkalizing, life-changing work to provide these benefits and many more, he gives you the powerful, definitive guidelines to do your own celery juice cleanse correctly and successfully. You'll get instructions on how to make the juice, how much to drink, when to drink it, and what to expect as your body begins to detox, plus answers to FAQs such as ""Is it safe to drink celery juice while pregnant or breastfeeding?"", ""Is blending better than juicing?"", and ""Can I take my medications with it?"" Here is everything you need to know--from the original source--to receive the full gift of what Anthony calls ""one of the greatest healing tonics of all time."""
4,4,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2413/9780241399750.jpg,Hinch Yourself Happy,Mrs Hinch,Hardback,4.0,13.67,$,16.0,9780241399750,Home-Garden,dataset/Home-Garden/0000005.jpg,"Discover Mrs Hinch's very best cleaning tips and discover where it all started in Hinch Yourself Happy THE NUMBER ONE SUNDAY TIMES BESTSELLER 'Will not only help you transform your home and make it sparkle, but also show you how cleaning can soothe anxiety and stress' BEST BOOKS TO HELP YOU ORGANISE YOUR HOME IN 2020, MAIL ONLINE ______________ 'The sensation' Sun 'We're made about Mrs Hinch' Vogue _______ Cleaning - aka hinching - doesn't have to be that job you dread, not when Mrs Hinch is here to show you her sparkly ways. At over 3 million followers and counting, she has taken the nation by storm with her infectiously addictive charm, clever tidying tips and passionate belief in cleaning. Mrs Hinch invites you into her home and while inside you'll discover how a spot of cleaning is the perfect way to cleanse the soul. She'll even share the story of Mr and Mrs Hinch and their 'dorgeous' boy, Henry. Inside you'll find out: - How cleaning can soothe anxiety and stress - Mrs Hinch's must-haves - Step-by-step guides to hinching your home - And so much more! With the help of her cloth family, Mrs Hinch will help you turn your house into a home. Whether you're a daily duster or looking for a monthly makeover, Hinch Yourself Happy shows you how to create not only a cleaner house, but a calmer you. If you want your kitchen to sparkle like Meghan Markle, then this is the book for you. 'Doing for household chores what Marie Kondo did for tidying. A step-by-step guide to achieving a spotless and immaculately tidy home' Daily Mirror 'My new cleaning goddess' Daily Telegraph"
5,5,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9359/9781935952503.jpg,The Complete Guide to Yin Yoga,Bernie Clark,Paperback,4.5,14.75,$,14.99,9781935952503,Home-Garden,dataset/Home-Garden/0000006.jpg,"This second edition of this bestseller provides an in-depth look at the philosophy and practice of Yin Yoga with illustrated how-to sections, including detailed descriptions and photographs of more than 30 asanas."
6,6,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8052/9780805210316.jpg,Light on Yoga,B. K. S. Iyengar,Paperback,4.5,18.4,$,26.5,9780805210316,Home-Garden,dataset/Home-Garden/0000007.jpg,"The classic work by the world's greatest and best known teacher of yoga, 'Light on Yoga' includes: An introduction to the philosophy and practice of yoga; Detailed descriptions of more than 200 postures; Techniques for stilling the mind through breathing exercises; Over 600 photographs illustrating the postures and breathing techniques; A 300-week yoga course progressing from beginner to advanced level; Exercises and postures for specific conditions."
7,7,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7624/9780762459452.jpg,Harry Potter: Collectible Quidditch Set,Running Press,Paperback,5.0,18.32,$,22.99,9780762459452,Home-Garden,dataset/Home-Garden/0000008.jpg,
8,8,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8928/9780892817641.jpg,The Heart of Yoga,T. K. V. Desikachar,Paperback,4.5,15.87,$,20.1,9780892817641,Home-Garden,dataset/Home-Garden/0000009.jpg,"The first yoga text to outline a step-by-step sequence for developing a complete practice according to viniyoga--yoga adapted to the needs of the individual. • A contemporary classic by a world-renowned teacher. • This new edition adds thirty-two poems by Krishnamacharya that capture the essence of his teachings. Sri Tirumalai Krishnamacharya, who lived to be over 100 years old, was one of the greatest yogis of the modern era. Elements of Krishnamacharya's teaching have become well known around the world through the work of B. K. S. Iyengar, Pattabhi Jois, and Indra Devi, who all studied with Krishnamacharya. Krishnamacharya's son T. K. V. Desikachar lived and studied with his father all his life and now teaches the full spectrum of Krishnamacharya's yoga. Desikachar has based his method on Krishnamacharya's fundamental concept of viniyoga, which maintains that practices must be continually adapted to the individual's changing needs to achieve the maximum therapeutic value. In The Heart of Yoga Desikachar offers a distillation of his father's system as well as his own practical approach, which he describes as ""a program for the spine at every level--physical, mental, and spiritual."" This is the first yoga text to outline a step-by-step sequence for developing a complete practice according to the age-old principles of yoga. Desikachar discusses all the elements of yoga--poses and counterposes, conscious breathing, meditation, and philosophy--and shows how the yoga student may develop a practice tailored to his or her current state of health, age, occupation, and lifestyle. This is a revised edition of The Heart of Yoga."
9,9,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7611/9780761156789.jpg,Curly Girl,Lorraine Massey,Paperback,4.0,11.36,$,13.95,9780761156789,Home-Garden,dataset/Home-Garden/0000010.jpg,"Provides tips for curly hair including shampooing, conditioners, drying, combing, styling, getting the right cut, and how to heal hair after years of strong detergents and damaging blow dryers."
