,Unnamed: 0,image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,description
0,0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5098/9781509858637.jpg,This is Going to Hurt,Adam Kay,Paperback,4.5,7.6,$,11.4,9781509858637,Medical,dataset/Medical/0000001.jpg,"In the US edition of this international bestseller, Adam Kay channels Henry Marsh and David Sedaris to tell us the ""darkly funny"" (The New Yorker) -- and sometimes horrifying -- truth about life and work in a hospital. Welcome to 97-hour weeks. Welcome to life and death decisions. Welcome to a constant tsunami of bodily fluids. Welcome to earning less than the hospital parking meter. Wave goodbye to your friends and relationships. Welcome to the life of a first-year doctor. Scribbled in secret after endless days, sleepless nights and missed weekends, comedian and former medical resident Adam Kay's This Is Going to Hurt provides a no-holds-barred account of his time on the front lines of medicine. Hilarious, horrifying and heartbreaking by turns, this is everything you wanted to know -- and more than a few things you didn't -- about life on and off the hospital ward. And yes, it may leave a scar."
1,1,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1410/9780141033570.jpg,"Thinking, Fast and Slow",Daniel Kahneman,Paperback,4.0,11.5,$,15.0,9780141033570,Medical,dataset/Medical/0000002.jpg,"NEW YORK TIMES BESTSELLER The guru to the gurus at last shares his knowledge with the rest of us. Nobel laureate Daniel Kahneman's seminal studies in behavioral psychology, behavioral economics, and happiness studies have influenced numerous other authors, including Steven Pinker and Malcolm Gladwell. In Thinking, Fast and Slow, Kahneman at last offers his own, first book for the general public. It is a lucid and enlightening summary of his life's work. It will change the way you think about thinking. Two systems drive the way we think and make choices, Kahneman explains: System One is fast, intuitive, and emotional; System Two is slower, more deliberative, and more logical. Examining how both systems function within the mind, Kahneman exposes the extraordinary capabilities as well as the biases of fast thinking and the pervasive influence of intuitive impressions on our thoughts and our choices. Engaging the reader in a lively conversation about how we think, he shows where we can trust our intuitions and how we can tap into the benefits of slow thinking, contrasting the two-system view of the mind with the standard model of the rational economic agent. Kahneman's singularly influential work has transformed cognitive psychology and launched the new fields of behavioral economics and happiness studies. In this path-breaking book, Kahneman shows how the mind works, and offers practical and enlightening insights into how choices are made in both our business and personal lives--and how we can guard against the mental glitches that often get us into trouble."
2,2,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7847/9781784701994.jpg,When Breath Becomes Air,Paul Kalanithi,Paperback,4.5,9.05,$,11.5,9781784701994,Medical,dataset/Medical/0000003.jpg,"#1 NEW YORK TIMES BESTSELLER • PULITZER PRIZE FINALIST • This inspiring, exquisitely observed memoir finds hope and beauty in the face of insurmountable odds as an idealistic young neurosurgeon attempts to answer the question What makes a life worth living? NAMED ONE OF PASTE’S BEST MEMOIRS OF THE DECADE • NAMED ONE OF THE BEST BOOKS OF THE YEAR BY The New York Times Book Review • People • NPR • The Washington Post • Slate • Harper’s Bazaar • Time Out New York • Publishers Weekly • BookPage Finalist for the PEN Center USA Literary Award in Creative Nonfiction and the Books for a Better Life Award in Inspirational Memoir At the age of thirty-six, on the verge of completing a decade’s worth of training as a neurosurgeon, Paul Kalanithi was diagnosed with stage IV lung cancer. One day he was a doctor treating the dying, and the next he was a patient struggling to live. And just like that, the future he and his wife had imagined evaporated. When Breath Becomes Air chronicles Kalanithi’s transformation from a naïve medical student “possessed,” as he wrote, “by the question of what, given that all organisms die, makes a virtuous and meaningful life” into a neurosurgeon at Stanford working in the brain, the most critical place for human identity, and finally into a patient and new father confronting his own mortality. What makes life worth living in the face of death? What do you do when the future, no longer a ladder toward your goals in life, flattens out into a perpetual present? What does it mean to have a child, to nurture a new life as another fades away? These are some of the questions Kalanithi wrestles with in this profoundly moving, exquisitely observed memoir. Paul Kalanithi died in March 2015, while working on this book, yet his words live on as a guide and a gift to us all. “I began to realize that coming face to face with my own mortality, in a sense, had changed nothing and everything,” he wrote. “Seven words from Samuel Beckett began to repeat in my head: ‘I can’t go on. I’ll go on.’” When Breath Becomes Air is an unforgettable, life-affirming reflection on the challenge of facing death and on the relationship between doctor and patient, from a brilliant writer who became both."
3,3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8452/9781845298258.jpg,The Happiness Trap,Russ Harris,Paperback,4.0,8.34,$,13.9,9781845298258,Medical,dataset/Medical/0000004.jpg,"A guide to ACT: the revolutionary mindfulness-based program for reducing stress, overcoming fear, and finding fulfilment – now updated. International bestseller, 'The Happiness Trap', has been published in over thirty countries and twenty-two languages. NOW UPDATED. Popular ideas about happiness are misleading, inaccurate, and are directly contributing to our current epidemic of stress, anxiety and depression. And unfortunately, popular psychological approaches are making it even worse! In this easy-to-read, practical and empowering self-help book, Dr Russ Harries, reveals how millions of people are unwittingly caught in the 'The Happiness Trap', where the more they strive for happiness the more they suffer in the long term. He then provides an effective means to escape through the insights and techniques of ACT (Acceptance and Commitment Therapy), a groundbreaking new approach based on mindfulness skills. By clarifying your values and developing mindfulness (a technique for living fully in the present moment), ACT helps you escape the happiness trap and find true satisfaction in life. Mindfulness skills are easy to learn and will rapidly and effectively help you to reduce stress, enhance performance, manage emotions, improve health, increase vitality, and generally change your life for the better. The book provides scientifically proven techniques to: reduce stress and worry; rise above fear, doubt and insecurity; handle painful thoughts and feelings far more effectively; break self-defeating habits; improve performance and find fulfilment in your work; build more satisfying relationships; and, create a rich, full and meaningful life."
4,4,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041242.jpg,Man's Search For Meaning,Viktor E. Frankl,Paperback,4.5,9.66,$,,9781846041242,Medical,dataset/Medical/0000005.jpg,"Over 16 million copies sold worldwide 'Every human being should read this book' Simon Sinek One of the outstanding classics to emerge from the Holocaust, Man's Search for Meaning is Viktor Frankl's story of his struggle for survival in Auschwitz and other Nazi concentration camps. Today, this remarkable tribute to hope offers us an avenue to finding greater meaning and purpose in our own lives."
5,5,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3305/9780330523622.jpg,The Man Who Mistook His Wife for a Hat,Oliver Sacks,Paperback,4.0,5.92,$,14.8,9780330523622,Medical,dataset/Medical/0000006.jpg,"In his most beloved and extraordinary book, Dr. Sacks recounts the case histories of patients inhabiting the compelling world of neurological disorders. Featuring a preface never before included. Oliver Sacks's The Man Who Mistook His Wife for a Hat tells the stories of individuals afflicted with perceptual and intellectual disorders: patients who have lost their memories and with them the greater part of their pasts; who are no longer able to recognize people and common objects; whose limbs seem alien to them; who lack some skills yet are gifted with uncanny artistic or mathematical talents. In Dr. Sacks's splendid and sympathetic telling, his patients are deeply human, and his tales are studies of struggles against incredible adversity. A great healer, Sacks never loses sight of medicine's ultimate responsibility: ""the suffering, afflicted, fighting human subject."""
6,6,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7807/9781780722405.jpg,The 8-week Blood Sugar Diet,Michael Mosley,Paperback,4.0,8.85,$,11.3,9781780722405,Medical,dataset/Medical/0000007.jpg,"Discover the groundbreaking method to defeat diabetes without drugs using the step-by-step diet plans and recipes from #1 New York Times bestselling author Dr. Michael Mosley. The 8-Week Blood Sugar Diet is a radical new approach to the biggest health epidemic threatening us today... Our modern diet, high in low-quality carbohydrates, is damaging our bodies—producing a constant overload of sugar in our bloodstream that clogs up our arteries and piles hidden fat into our internal organs. The result has been a doubling in the number of type 2 diabetics, as well as a surge in those with a potentially hazardous condition—prediabetes. It is now known that even moderately elevated blood sugar levels can trigger heart disease, stroke, dementia, and cancer. But scientists have recently demonstrated that you can prevent and even reverse type 2 diabetes with a simple change in diet and lifestyle. Drawing on the work of Dr. Roy Taylor—one of the UK’s foremost diabetes experts—and his own experience as a one-time diabetic, Dr. Michael Mosley presents a groundbreaking, science-based, 8-week plan for diabetics who want to reverse their condition (and then stay off medication). He also offers a more flexible regime for people interested in the extensive health benefits to be gained from lowering their blood sugar levels and shedding dangerous fat. As Dr. Mosley says, it is never too late to act."
7,7,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7807/9781780723044.jpg,The Clever Guts Diet,Michael Mosley,Paperback,4.0,8.92,$,11.3,9781780723044,Medical,dataset/Medical/0000008.jpg,"""From #1 New York Times bestselling author of The Fast Diet and The 8-Week Blood Sugar Diet comes a groundbreaking new book about your gut--known as the ""second brain"" of the body--that explains how taking care of its good bacteria can lead to optimal health and weight loss. People often joke about ""going with their gut"" but the truth is that this part of your body exercises an astonishing degree of control over your mood, hunger, and general health. Written with the latest research on the microbiome--the alien bacteria that lives in our guts--The Clever Gut Diet also clearly explains what goes on inside your stomach and intestines every day. Discover up-to-the-date science on hunger hormones and learn how our ""second brain"" communicates with the rest of the body, shaping our appetite and immune system. Although this is primarily a how-to book, Dr. Mosley uses his own body and experiences as a narrative, sharing his own personal journey of discovery. He explores prebiotics, probiotics, and the impact of antibiotics. The book also includes a comprehensive and delicious menu plan, provided by a leading dietician, which ensures that you will grow only the finest plants in your own internal garden. Finally, you can discover once and for all how to lead a life of optimal weight maintenance, improved physical health, and an overwhelming sense of balance and calm""--"
8,8,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2413/9780241351642.jpg,12 Rules for Life,Jordan B. Peterson,Paperback,4.0,18.31,$,,9780241351642,Medical,dataset/Medical/0000009.jpg,"""What does everyone in the modern world need to know? [The author's] answer to this most difficult of questions uniquely combines the hard-won truths of ancient tradition with the stunning revelations of cutting-edge scientific research. [The author discusses] discussing discipline, freedom, adventure and responsibility, distilling the world's wisdom into 12 practical and profound rules for life""--"
9,9,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8466/9781846685828.jpg,Being Mortal,Atul Gawande,Paperback,4.5,9.03,$,11.5,9781846685828,Medical,dataset/Medical/0000010.jpg,"A prominent surgeon argues against modern medical practices that extend life at the expense of quality of life while isolating the dying, outlining suggestions for freer, more fulfilling approaches to death that enable more dignified and comfortable choices."
