,Unnamed: 0,image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,description
0,0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4494/9781449474256.jpg,Milk and Honey,Rupi Kaur,Paperback,4.0,8.18,$,15.0,9781449474256,Poetry-Drama,dataset/Poetry-Drama/0000001.jpg,"The book is divided into four chapters, and each chapter serves a different purpose. Deals with a different pain. Heals a different heartache. Milk and Honey takes readers through a journey of the most bitter moments in life and finds sweetness in them because there is sweetness everywhere if you are just willing to look."
1,1,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7515/9780751565355.jpg,Harry Potter and the Cursed Child - Parts I & II,J. K. Rowling,Hardback,3.5,15.43,$,26.3,9780751565355,Poetry-Drama,dataset/Poetry-Drama/0000002.jpg,"""Thorndike Press large print the literacy bridge."""
2,2,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5525/9780552565974.jpg,Wonder,R. J. Palacio,Paperback,4.5,8.32,$,8.8,9780552565974,Poetry-Drama,dataset/Poetry-Drama/0000003.jpg,"""Now a major motion picture! Includes full-color movie photos and exclusive content!""--Dust jacket."
3,3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0075/9780007513765.jpg,The Day the Crayons Quit,Drew Daywalt,Paperback,4.5,9.5,$,12.9,9780007513765,Poetry-Drama,dataset/Poetry-Drama/0000004.jpg,
4,4,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5713/9780571334650.jpg,Normal People,Sally Rooney,Paperback,4.0,8.93,$,10.5,9780571334650,Poetry-Drama,dataset/Poetry-Drama/0000005.jpg,"NOW AN EMMY-NOMINATED HULU ORIGINAL SERIES • NEW YORK TIMES BESTSELLER • “A stunning novel about the transformative power of relationships” (People) from the author of Conversations with Friends, “a master of the literary page-turner” (J. Courtney Sullivan). ONE OF THE TEN BEST NOVELS OF THE DECADE—Entertainment Weekly TEN BEST BOOKS OF THE YEAR—People, Slate, The New York Public Library, Harvard Crimson AND BEST BOOKS OF THE YEAR—The New York Times, The New York Times Book Review, O: The Oprah Magazine, Time, NPR, The Washington Post, Vogue, Esquire, Glamour, Elle, Marie Claire, Vox, The Paris Review, Good Housekeeping, Town & Country Connell and Marianne grew up in the same small town, but the similarities end there. At school, Connell is popular and well liked, while Marianne is a loner. But when the two strike up a conversation—awkward but electrifying—something life changing begins. A year later, they’re both studying at Trinity College in Dublin. Marianne has found her feet in a new social world while Connell hangs at the sidelines, shy and uncertain. Throughout their years at university, Marianne and Connell circle one another, straying toward other people and possibilities but always magnetically, irresistibly drawn back together. And as she veers into self-destruction and he begins to search for meaning elsewhere, each must confront how far they are willing to go to save the other. Normal People is the story of mutual fascination, friendship and love. It takes us from that first conversation to the years beyond, in the company of two people who try to stay apart but find that they can’t. Praise for Normal People “[A] novel that demands to be read compulsively, in one sitting.”—The Washington Post “Arguably the buzziest novel of the season, Sally Rooney’s elegant sophomore effort . . . is a worthy successor to Conversations with Friends. Here, again, she unflinchingly explores class dynamics and young love with wit and nuance.”—The Wall Street Journal “[Rooney] has been hailed as the first great millennial novelist for her stories of love and late capitalism. . . . [She writes] some of the best dialogue I’ve read.”—The New Yorker"
5,5,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408878729.jpg,Lost Connections,Johann Hari,Paperback,4.5,8.53,$,11.5,9781408878729,Poetry-Drama,dataset/Poetry-Drama/0000006.jpg,"THE INTERNATIONAL BESTSELLER 'A book that could actually make us happy' SIMON AMSTELL 'This amazing book will change your life' ELTON JOHN 'One of the most important texts of recent years' BRITISH JOURNAL OF GENERAL PRACTICE 'Brilliant, stimulating, radical' MATT HAIG 'The more people read this book, the better off the world will be' NAOMI KLEIN 'Wonderful' HILLARY CLINTON 'Eye-opening' GUARDIAN 'Brilliant for anyone wanting a better understanding of mental health' ZOE BALL 'A game-changer' DAVINA MCCALL 'Extraordinary' DR MAX PEMBERTON 'Beautiful' RUSSELL BRAND Depression and anxiety are now at epidemic levels. Why? Across the world, scientists have uncovered evidence for nine different causes. Some are in our biology, but most are in the way we are living today. Lost Connections offers a radical new way of thinking about this crisis. It shows that once we understand the real causes, we can begin to turn to pioneering new solutions – ones that offer real hope."
6,6,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041242.jpg,Man's Search For Meaning,Viktor E. Frankl,Paperback,4.5,9.66,$,,9781846041242,Poetry-Drama,dataset/Poetry-Drama/0000007.jpg,"Over 16 million copies sold worldwide 'Every human being should read this book' Simon Sinek One of the outstanding classics to emerge from the Holocaust, Man's Search for Meaning is Viktor Frankl's story of his struggle for survival in Auschwitz and other Nazi concentration camps. Today, this remarkable tribute to hope offers us an avenue to finding greater meaning and purpose in our own lives."
7,7,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4088/9781408845646.jpg,Harry Potter and the Philosopher's Stone,J. K. Rowling,Hardback,4.5,30.91,$,38.6,9781408845646,Poetry-Drama,dataset/Poetry-Drama/0000008.jpg,"Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School for Witchcraft and Wizardry."
8,8,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4711/9781471165825.jpg,The Sun and Her Flowers,Rupi Kaur,Paperback,4.0,10.76,$,17.0,9781471165825,Poetry-Drama,dataset/Poetry-Drama/0000009.jpg,"Rupi Kaur performs the first-ever recording of the sun and her flowers, her second #1 New York Times bestselling collection of poetry and prose. This production was recorded in 2021 along with the brand-new audio edition of milk and honey and the debut audio recording of home body. Divided into five chapters, this volume is a journey through the life cycle of wilting, falling, rooting, rising, and blooming. It is a celebration of love in all its forms."
9,9,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3305/9780330523622.jpg,The Man Who Mistook His Wife for a Hat,Oliver Sacks,Paperback,4.0,5.92,$,14.8,9780330523622,Poetry-Drama,dataset/Poetry-Drama/0000010.jpg,"In his most beloved and extraordinary book, Dr. Sacks recounts the case histories of patients inhabiting the compelling world of neurological disorders. Featuring a preface never before included. Oliver Sacks's The Man Who Mistook His Wife for a Hat tells the stories of individuals afflicted with perceptual and intellectual disorders: patients who have lost their memories and with them the greater part of their pasts; who are no longer able to recognize people and common objects; whose limbs seem alien to them; who lack some skills yet are gifted with uncanny artistic or mathematical talents. In Dr. Sacks's splendid and sympathetic telling, his patients are deeply human, and his tales are studies of struggles against incredible adversity. A great healer, Sacks never loses sight of medicine's ultimate responsibility: ""the suffering, afflicted, fighting human subject."""
