,Unnamed: 0,image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,description
0,0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/6077/9781607747307.jpg,The Life-Changing Magic of Tidying Up,Marie Kondo,Hardback,4.0,13.55,$,21.6,9781607747307,Religion,dataset/Religion/0000001.jpg,"#1 NEW YORK TIMES BESTSELLER • The book that sparked a revolution and inspired the hit Netflix series Tidying Up with Marie Kondo: the original guide to decluttering your home once and for all. ONE OF THE MOST INFLUENTIAL BOOKS OF THE DECADE—CNN Despite constant efforts to declutter your home, do papers still accumulate like snowdrifts and clothes pile up like a tangled mess of noodles? Japanese cleaning consultant Marie Kondo takes tidying to a whole new level, promising that if you properly simplify and organize your home once, you’ll never have to do it again. Most methods advocate a room-by-room or little-by-little approach, which doom you to pick away at your piles of stuff forever. The KonMari Method, with its revolutionary category-by-category system, leads to lasting results. In fact, none of Kondo’s clients have lapsed (and she still has a three-month waiting list). With detailed guidance for determining which items in your house “spark joy” (and which don’t), this international bestseller will help you clear your clutter and enjoy the unique magic of a tidy home—and the calm, motivated mindset it can inspire."
1,1,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8024/9780802412706.jpg,Five Love Languages Revised Edition,Gary Chapman,Paperback,4.0,11.61,$,15.0,9780802412706,Religion,dataset/Religion/0000002.jpg,"Over 20 million copies sold! A perennial New York Times bestseller for over a decade! Falling in love is easy. Staying in love—that’s the challenge. How can you keep your relationship fresh and growing amid the demands, conflicts, and just plain boredom of everyday life? In the #1 New York Times international bestseller The 5 Love Languages, you’ll discover the secret that has transformed millions of relationships worldwide. Whether your relationship is flourishing or failing, Dr. Gary Chapman’s proven approach to showing and receiving love will help you experience deeper and richer levels of intimacy with your partner—starting today. The 5 Love Languages is as practical as it is insightful. Updated to reflect the complexities of relationships today, this new edition reveals intrinsic truths and applies relevant, actionable wisdom in ways that work. Includes the Couple's Personal Profile assessment so you can discover your love language and that of your loved one."
2,2,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8460/9781846041068.jpg,The Miracle Of Mindfulness,Thich Nhat Hanh,Paperback,4.0,8.66,$,11.4,9781846041068,Religion,dataset/Religion/0000003.jpg,"In this beautifully written book, Buddhist monk and Nobel Peace Prize nominee Thich Nhat Hanh explains how to acquire the skills of mindfulness. Once we have these skills, we can slow our lives down and discover how to live in the moment - even simple act"
3,3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7538/9780753820162.jpg,Meditations,Marcus Aurelius,Paperback,4.0,4.57,$,11.4,9780753820162,Religion,dataset/Religion/0000004.jpg,"Two poems tell the stories of Martin, a detribalized Apache, and the narrator's efforts to survive in the barrio"
4,4,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0074/9780007461219.jpg,Mere Christianity,C. S. Lewis,Paperback,4.5,8.71,$,11.4,9780007461219,Religion,dataset/Religion/0000005.jpg,"In the classic Mere Christianity, C.S. Lewis, the most important writer of the 20th century, explores the common ground upon which all of those of Christian faith stand together. Bringing together Lewis’ legendary broadcast talks during World War Two from his three previous books The Case for Christianity, Christian Behavior, and Beyond Personality, Mere Christianity provides an unequaled opportunity for believers and nonbelievers alike to hear this powerful apologetic for the Christian faith."
5,5,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3407/9780340750155.jpg,The Art of Happiness,Dalai Lama XIV,Paperback,4.0,11.15,$,12.49,9780340750155,Religion,dataset/Religion/0000006.jpg,"Through conversations, stories, and meditations, the Dalai Lama shows us how to defeat day-to-day anxiety, insecurity, anger, and discouragement. Together with Dr. Howard Cutler, he explores many facets of everyday life, including relationships, loss, and the pursuit of wealth, to illustrate how to ride through life's obstacles on a deep and abiding source of inner peace. Based on 2,500 years of Buddhist meditations mixed with a healthy dose of common sense, THE ART OF HAPPINESS is a book that crosses the boundaries of traditions to help readers with difficulties common to all human beings. After being in print for ten years, this book has touched countless lives and uplifted spirits around the world."
6,6,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5773/9781577315933.jpg,The Hero with a Thousand Faces,Joseph Campbell,Hardback,4.0,18.3,$,,9781577315933,Religion,dataset/Religion/0000007.jpg,Examines myths and folk tales from around the world in an attempt to understand the symbolism of the hero as it appears in the mythologies and religions of mankind.
7,7,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7863/9781786330444.jpg,The Book of Joy,Dalai Lama,Hardback,4.5,16.66,$,18.0,9781786330444,Religion,dataset/Religion/0000008.jpg,"NATIONAL BESTSELLER Two great spiritual masters share their own hard-won wisdom about living with joy even in the face of adversity. The occasion was a big birthday. And it inspired two close friends to get together for a talk about something very important to them. The friends were His Holiness the Dalai Lama and Archbishop Desmond Tutu. The subject was joy. Both winners of the Nobel Prize, both great spiritual masters and moral leaders of our time, they are also known for being among the most infectiously happy people on the planet, despite having experienced great personal and national suffering. From the beginning the book was envisioned as a three-layer birthday cake, the first being their personal stories and teachings about joy. Both the Dalai Lama and Tutu have been tested by extraordinary adversity, oppression, and conflict. The second layer consists of the exciting research into joy as well as the other qualities essential for any enduring happiness, like gratitude, humility, humour, compassion, generosity, and forgiveness. And the third encompasses practical exercises and guidance based on the Dalai Lama's and Tutu's own daily practices, which anchor their emotional and spiritual lives. Most of all, during that landmark week in Dharamsala, they demonstrated by their own exuberance, compassion, and even wise-cracking humour, how joy can be transformed from a fleeting emotion into an enduring way of being."
8,8,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4516/9781451695199.jpg,Proof of Heaven,Dr. Eben Alexander,Paperback,3.5,13.01,$,17.0,9781451695199,Religion,dataset/Religion/0000009.jpg,"Shares an account of his religiously transformative near-death experience and revealing week-long coma, describing his scientific study of near-death phenomena while explaining what he learned about the nature of human consciousness."
9,9,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3409/9780340979495.jpg,The Shack,William P. Young,Paperback,4.0,7.69,$,12.9,9780340979495,Religion,dataset/Religion/0000010.jpg,"After his daughter's murder, a grieving father confronts God with desperate questions -- and finds unexpected answers -- in this riveting and deeply moving #1 NYT bestseller. When Mackenzie Allen Phillips's youngest daughter Missy is abducted during a family vacation, he remains hopeful that she'll return home. But then, he discovers evidence that she may have been brutally murdered in an abandoned shack deep in the Oregon wilderness. Four years later, in this midst of his great sadness, Mack receives a suspicious note that's supposedly from God, inviting him back to that shack for a weekend. Against his better judgment, he arrives on a wintry afternoon and walks back into his darkest nightmare. What he finds there will change his life forever."
10,10,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1995/9780199535958.jpg,The Qur'an,M. a. S. Abdel Haleem,Paperback,4.5,8.22,$,10.3,9780199535958,Religion,dataset/Religion/0000011.jpg,"A RUSA 2007 Outstanding Reference Title The Qur'an is the source of inspiration for one of the world's major religions, followed today by over a billion people. It plays a central role in Islam and ever since it appeared fourteen hundred years ago has been the subject of intense debate. Some of this has been carried out by Muslims and some by those hostile or indifferent to Islam, producing a very wide range of views. Authored by forty-three international experts, the objective of The Qur'an: An Encyclopedia is to present this diversity of thought, approach and school without priority, in order to give a strong appreciation of the range of response that the text has provoked throughout its history and providing students and researchers with a powerful one-volume resource covering all aspects of the text and its reception. Islam and the Qur'an are much in the news today and there is a public debate going on in which things are said about the Qur'an without much knowledge or understanding of the book. Every effort has been made to help the reader use the Encyclopedia as an investigative tool in Quranic studies. The volume assumes no previous knowledge of the Qur'an, Islam or Arabic. Technical terms are explained in the text itself and the style of each entry is designed to be as self-contained as possible. Entries are cross-referenced and many include a brief bibliography. At the end of the work there is a substantial annotated bibliography providing a detailed guide to the most significant books, journals and articles in Qur'anic Studies. There is a full index. The readership will include those seeking basic information on the Qur'an, however the substantial number of longer entries means that it will also be used by specialists."
11,11,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3408/9780340822531.jpg,Practising The Power Of Now,Eckhart Tolle,Paperback,4.5,8.19,$,13.9,9780340822531,Religion,dataset/Religion/0000012.jpg,"To make the journey into the Now we will need to leave our analytical mind and its false created self, the ego, behind. From the very first page of Eckhart Tolle's extraordinary book, we move rapidly into a significantly higher altitude where we breathe a lighter air. We become connected to the indestructible essence of our Being, “The eternal, ever present One Life beyond the myriad forms of life that are subject to birth and death.” Although the journey is challenging, Eckhart Tolle uses simple language and an easy question and answer format to guide us. A word of mouth phenomenon since its first publication, The Power of Now is one of those rare books with the power to create an experience in readers, one that can radically change their lives for the better."
12,12,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8499/9780849946158.jpg,Heaven is for Real,Todd Burpo,Paperback,4.0,9.55,$,13.9,9780849946158,Religion,dataset/Religion/0000013.jpg,Why should we care about heaven? -- What is heaven like? -- When does a person go to heaven? -- Where is heaven? -- Who goes to heaven?
13,13,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3409/9780340979334.jpg,The Reason for God,Timothy Keller,Paperback,4.0,8.23,$,12.4,9780340979334,Religion,dataset/Religion/0000014.jpg,"A New York Times bestseller people can believe in—by ""a pioneer of the new urban Christians"" (Christianity Today) and the ""C.S. Lewis for the 21st century"" (Newsweek). Timothy Keller, the founding pastor of Redeemer Presbyterian Church in New York City, addresses the frequent doubts that skeptics, and even ardent believers, have about religion. Using literature, philosophy, real-life conversations, and potent reasoning, Keller explains how the belief in a Christian God is, in fact, a sound and rational one. To true believers he offers a solid platform on which to stand their ground against the backlash to religion created by the Age of Skepticism. And to skeptics, atheists, and agnostics, he provides a challenging argument for pursuing the reason for God."
14,14,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3406/9780340693254.jpg,Conversations With God,Neale Donald Walsch,Paperback,4.0,7.63,$,12.4,9780340693254,Religion,dataset/Religion/0000015.jpg,"Suppose you could ask God any question and get an answer. What would it be? Young people all over the world have been asking those questions. So Neale Donald Walsch, author of the internationally bestselling Conversations with God series had another conversation. Conversations with God for Teens is a simple, clear, straight-to-the-point dialogue that answers teens questions about God, money, sex, love, and more. Conversations with God for Teens reads like a rap session at a church youth group, where teenagers discuss everything they ever wanted to know about life but were too afraid to ask God. Walsch acts as the verbal conduit, showing teenagers how easy it is to converse with the divine. When Claudia, age 16, from Perth, Australia, asks, ""Why can't I just have sex with everybody? What's the big deal?"", the answer God offers her is: ""Nothing you do will ever be okay with everybody. 'Everybody' is a large word. The real question is can you have sex and have it be okay with you?"" There's no doubt that the casual question-and-answer format will help make God feel welcoming and accessible to teens. Conversations with God for Teens is the perfect gift purchase for parents, grandparents, and anyone else who wants to provide accessible spiritual content for the teen(s) in their lives."
15,15,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/2810/9780281078622.jpg,The Universal Christ,Richard Rohr,Paperback,4.5,10.58,$,12.9,9780281078622,Religion,dataset/Religion/0000016.jpg,"NEW YORK TIMES BESTSELLER • From one of the world’s most influential spiritual thinkers, a long-awaited book exploring what it means that Jesus was called “Christ,” and how this forgotten truth can restore hope and meaning to our lives. “Anyone who strives to put their faith into action will find encouragement and inspiration in the pages of this book.”—Melinda Gates In his decades as a globally recognized teacher, Richard Rohr has helped millions realize what is at stake in matters of faith and spirituality. Yet Rohr has never written on the most perennially talked about topic in Christianity: Jesus. Most know who Jesus was, but who was Christ? Is the word simply Jesus’s last name? Too often, Rohr writes, our understandings have been limited by culture, religious debate, and the human tendency to put ourselves at the center. Drawing on scripture, history, and spiritual practice, Rohr articulates a transformative view of Jesus Christ as a portrait of God’s constant, unfolding work in the world. “God loves things by becoming them,” he writes, and Jesus’s life was meant to declare that humanity has never been separate from God—except by its own negative choice. When we recover this fundamental truth, faith becomes less about proving Jesus was God, and more about learning to recognize the Creator’s presence all around us, and in everyone we meet. Thought-provoking, practical, and full of deep hope and vision, The Universal Christ is a landmark book from one of our most beloved spiritual writers, and an invitation to contemplate how God liberates and loves all that is."
16,16,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5671/9781567184853.jpg,Journey of Souls,Michael Newton,Paperback,4.5,16.61,$,19.1,9781567184853,Religion,dataset/Religion/0000017.jpg,"Learn the latest details and most recent groundbreaking discoveries that reveal, for the first time, the mystery of life in the spirit world after death on Earth?proof that our consciousness survives?in Journey of Souls by Michael Newton, Ph.D. Using a special hypnosis technique to reach the hidden memories of subjects, Dr. Newton discovered some amazing insights into what happens to us between lives. Journey of Souls is the record of 29 people who recalled their experiences between physical deaths. Through their extraordinary stories, you will learn specifics about: ·How it feels to die ·What you see and feel right after death ·The truth about ""spiritual guides"" ·What happens to ""disturbed"" souls ·Why you are assigned to certain soul groups in the spirit world and what you do there · How you choose another body to return to Earth ·The different levels of souls: beginning, intermediate, and advanced ·When and where you first learn to recognize soulmates on Earth ·The purpose of life Journey of Souls is a graphic record or ""travel log"" by these people of what happens between lives on Earth. They give specific details as they movingly describe their astounding experiences. After reading Journey of Souls, you will gain a better understanding of the immortality of the human soul. You will meet day-to-day challenges with a greater sense of purpose. You will begin to understand the reasons behind events in your own life. Journey of Souls is a life-changing book. Already, over 165,000 people have taken Journey of Souls to heart, giving them hope in trying times. You should read a copy, too."
