,Unnamed: 0,image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,description
0,0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4721/9781472103536.jpg,Legacy,James Kerr,Paperback,4.0,9.7,$,16.0,9781472103536,Sport,dataset/Sport/0000001.jpg,
1,1,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8619/9781861978776.jpg,Born to Run,Christopher McDougall,Paperback,4.5,9.05,$,12.4,9781861978776,Sport,dataset/Sport/0000002.jpg,"Recounts the author's experiences with the reclusive Tarahumara Indians, whose techniques allow them to run long distances with ease, and describes his training for a fifty-mile race with the tribe and a number of ultramarathoners."
2,2,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4504/9781450400244.jpg,Yoga Anatomy,Leslie Kaminoff,Paperback,4.5,17.73,$,21.1,9781450400244,Sport,dataset/Sport/0000003.jpg,"The best-selling anatomy guide for yoga is now updated, expanded, and better than ever! With more asanas, vinyasas, full-color anatomical illustrations, and in-depth information, the second edition of YogaAnatomy provides you with a deeper understanding of the structures and principles underlying each movement and of yoga itself. From breathing to inversions to standing poses, see how specific muscles respond to the movements of the joints; how alterations of a pose can enhance or reduce effectiveness; and how the spine, breathing, and body position are all fundamentally linked. Whether you are just beginning your journey or have been practicing yoga for years, Yoga Anatomy will be an invaluable resource—one that allows you to see each movement in an entirely new light. With Yoga Anatomy, Second Edition, authors Leslie Kaminoff and Amy Matthews, both internationally recognized experts and teachers in anatomy, breathing, and bodywork, have created the ultimate reference for yoga practitioners, instructors, and enthusiasts alike."
3,3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0919/9780091939526.jpg,The 4-Hour Body,Timothy Ferriss,Paperback,4.0,19.32,$,,9780091939526,Sport,dataset/Sport/0000004.jpg,"Offers techniques and strategies for increasing income while cutting work time in half, and includes advice for leading a more fulfilling life."
4,4,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4059/9781405937184.jpg,The Salt Path,Raynor Winn,Paperback,4.0,9.53,$,12.9,9781405937184,Sport,dataset/Sport/0000005.jpg,"From the author of The Tenth Gift comes another story of exotic, foreign lands, entwining storylines spanning generations, and the quests to overcome love lost. ""My dear Isabelle, in the attic you will find a box with your name on it."" Isabelle's estranged archeologist father dies, leaving her a puzzle. In a box she finds some papers and a mysterious African amulet — but their connection to her remains unclear until she embarks on a trip to Morocco to discover how the amulet came into her father's possession. When the amulet is damaged and Isabelle almost killed in an accident, she fears her curiosity has got the better of her. But Taib, her rescuer, knows the dunes and their peoples, and offers to help uncover the amulet's extraordinary history, involving Tin Hinan — She of the Tents — who made a legendary crossing of the desert, and her beautiful descendant Mariata. Across years and over hot, shifting sands, tracking the Salt Road, the stories of Isabelle and Taib, Mariata and her lover, become entangled with that of the lost amulet. It is a tale of souls wounded by history and of love blossoming on barren ground. From the Hardcover edition."
5,5,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4472/9781447200185.jpg,Into Thin Air,Jon Krakauer,Paperback,4.0,8.49,$,12.4,9781447200185,Sport,dataset/Sport/0000006.jpg,"#1 NATIONAL BESTSELLER • ""A harrowing tale of the perils of high-altitude climbing, a story of bad luck and worse judgment and of heartbreaking heroism."" —PEOPLE A bank of clouds was assembling on the not-so-distant horizon, but journalist-mountaineer Jon Krakauer, standing on the summit of Mt. Everest, saw nothing that ""suggested that a murderous storm was bearing down."" He was wrong. The storm, which claimed five lives and left countless more--including Krakauer's--in guilt-ridden disarray, would also provide the impetus for Into Thin Air, Krakauer's epic account of the May 1996 disaster. By writing Into Thin Air, Krakauer may have hoped to exorcise some of his own demons and lay to rest some of the painful questions that still surround the event. He takes great pains to provide a balanced picture of the people and events he witnessed and gives due credit to the tireless and dedicated Sherpas. He also avoids blasting easy targets such as Sandy Pittman, the wealthy socialite who brought an espresso maker along on the expedition. Krakauer's highly personal inquiry into the catastrophe provides a great deal of insight into what went wrong. But for Krakauer himself, further interviews and investigations only lead him to the conclusion that his perceived failures were directly responsible for a fellow climber's death. Clearly, Krakauer remains haunted by the disaster, and although he relates a number of incidents in which he acted selflessly and even heroically, he seems unable to view those instances objectively. In the end, despite his evenhanded and even generous assessment of others' actions, he reserves a full measure of vitriol for himself. This updated trade paperback edition of Into Thin Air includes an extensive new postscript that sheds fascinating light on the acrimonious debate that flared between Krakauer and Everest guide Anatoli Boukreev in the wake of the tragedy. ""I have no doubt that Boukreev's intentions were good on summit day,"" writes Krakauer in the postscript, dated August 1999. ""What disturbs me, though, was Boukreev's refusal to acknowledge the possibility that he made even a single poor decision. Never did he indicate that perhaps it wasn't the best choice to climb without gas or go down ahead of his clients."" As usual, Krakauer supports his points with dogged research and a good dose of humility. But rather than continue the heated discourse that has raged since Into Thin Air's denouncement of guide Boukreev, Krakauer's tone is conciliatory; he points most of his criticism at G. Weston De Walt, who coauthored The Climb, Boukreev's version of events. And in a touching conclusion, Krakauer recounts his last conversation with the late Boukreev, in which the two weathered climbers agreed to disagree about certain points. Krakauer had great hopes to patch things up with Boukreev, but the Russian later died in an avalanche on another Himalayan peak, Annapurna I. In 1999, Krakauer received an Academy Award in Literature from the American Academy of Arts and Letters--a prestigious prize intended ""to honor writers of exceptional accomplishment."" According to the Academy's citation, ""Krakauer combines the tenacity and courage of the finest tradition of investigative journalism with the stylish subtlety and profound insight of the born writer. His account of an ascent of Mount Everest has led to a general reevaluation of climbing and of the commercialization of what was once a romantic, solitary sport; while his account of the life and death of Christopher McCandless, who died of starvation after challenging the Alaskan wilderness, delves even more deeply and disturbingly into the fascination of nature and the devastating effects of its lure on a young and curious mind."""
6,6,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0995/9780099532538.jpg,What I Talk About When I Talk About Running,Haruki Murakami,Paperback,4.0,8.33,$,10.3,9780099532538,Sport,dataset/Sport/0000007.jpg,"From the best-selling author of The Wind-Up Bird Chronicle and After Dark, a rich and revelatory memoir about writing and running, and the integral impact both have made on his life. In 1982, having sold his jazz bar to devote himself to writing, Haruki Murakami began running to keep fit. A year later, he’d completed a solo course from Athens to Marathon, and now, after dozens of such races, not to mention triathlons and a slew of critically acclaimed books, he reflects upon the influence the sport has had on his life and–even more important–on his writing. Equal parts training log, travelogue, and reminiscence, this revealing memoir covers his four-month preparation for the 2005 New York City Marathon and includes settings ranging from Tokyo’s Jingu Gaien gardens, where he once shared the course with an Olympian, to the Charles River in Boston among young women who outpace him. Through this marvellous lens of sport emerges a cornucopia of memories and insights: the eureka moment when he decided to become a writer, his greatest triumphs and disappointments, his passion for vintage LPs, and the experience, after the age of fifty, of seeing his race times improve and then fall back. By turns funny and sobering, playful and philosophical, What I Talk About When I Talk About Running is both for fans of this masterful yet guardedly private writer and for the exploding population of athletes who find similar satisfaction in distance running."
7,7,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3073/9780307388407.jpg,Open,Andre Agassi,Paperback,4.0,11.97,$,12.4,9780307388407,Sport,dataset/Sport/0000008.jpg,"A principal responsibility of a comm. in the U.S. House of Rep. is to conduct markups ¿ to select legislation to consider, debate and vote on amend. to it (to mark up), and report their recomm. to the House. This manual examines procedures and strategy related to comm. markups and provides sample procedural scripts. Contents: Introduction; Comm. Rules; Procedural Restrictions on Markups; Referral of Legislation; Considerations Prior to Markup; Procedural Strategy and the Choice of a Markup Vehicle; Beginning a Markup; Reading a Measure for Amend.; Points of Order; Motions; Voting; Reporting a Measure; Comm. Reports; Options for House Floor Consideration; Considerations in a Two-House Strategy; and Role of Committee and Staff."
8,8,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4767/9781476714202.jpg,Relentless,Tim S. Grover,Paperback,4.0,9.4,$,17.0,9781476714202,Sport,dataset/Sport/0000009.jpg,"The New York Times Bestseller and Winner of the 2015 Army Historical Foundation Distinguished Writing Award for Unit History Since the attacks of September 11, one organization has been at the forefront of America's military response. Its efforts turned the tide against al-Qaida in Iraq, killed Bin Laden and Zarqawi, rescued Captain Phillips and captured Saddam Hussein. Its commander can direct cruise missile strikes from nuclear submarines and conduct special operations raids anywhere in the world. Relentless Strike tells the inside story of Joint Special Operations Command, the secret military organization that during the past decade has revolutionized counterterrorism, seamlessly fusing intelligence and operational skills to conduct missions that hit the headlines, and those that have remained in the shadows-until now. Because JSOC includes the military's most storied special operations units-Delta Force, SEAL Team 6, the 75th Ranger Regiment-as well as America's most secret aviation and intelligence units, this is their story, too. Relentless Strike reveals tension-drenched meetings in war rooms from the Pentagon to Iraq and special operations battles from the cabin of an MH-60 Black Hawk to the driver's seat of Delta Force's Pinzgauer vehicles as they approach their targets. Through exclusive interviews, reporter Sean Naylor uses his unique access to reveal how an organization designed in the 1980s for a very limited mission set transformed itself after 9/11 to become the military's premier weapon in the war against terrorism and how it continues to evolve today."
9,9,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7360/9780736092265.jpg,Strength Training Anatomy,Frederic Delavier,Paperback,4.5,13.83,$,13.99,9780736092265,Sport,dataset/Sport/0000010.jpg,"Get an inside look at the human form in action with more than 400 full-color illustrations. This detailed artwork showcases the muscles used during each exercise and delineates how these muscles interact with surrounding joints and skeletal structures. Like having an X-ray for each exercise, the information gives you a multifaceted view of strength training not seen in any other resource."
