,Unnamed: 0,image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,description
0,0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7806/9781780674872.jpg,Enchanted Forest,Johanna Basford,Paperback,4.5,12.23,$,12.4,9781780674872,Stationery,dataset/Stationery/0000001.jpg,"From the author of the global bestseller Secret Garden (over 12 million copies sold!) Discover a whole new way to color with this small-scale, pocket-sized edition of Johanna Basford's bestseller Enchanted Forest. Sharpen your pencils for this mini inky adventure created in beautifully detailed, intricate pen-and-ink illustration, all ready for you to bring to life with color. Printed on ivory paper with lay-flat binding allowing for a smooth and seamless colouring experience. It also features two brand-new illustrations."
1,1,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/7837/9781783705481.jpg,Harry Potter Colouring Book,J. K. Rowling,Paperback,4.5,9.52,$,12.4,9781783705481,Stationery,dataset/Stationery/0000002.jpg,Harry Potter Coloring BookBy Scholastic
2,2,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/3077/9780307719775.jpg,Q And A A Day,Potter Style,Hardback,4.5,12.52,$,18.5,9780307719775,Stationery,dataset/Stationery/0000003.jpg,
3,3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/7522/9780752265629.jpg,The Mindfulness Colouring Book,Emma Farrarons,Paperback,4.0,6.8,$,10.5,9780752265629,Stationery,dataset/Stationery/0000004.jpg,"The bestselling adult colouring book!Working with your hands is one of the best ways to soothe anxiety and eliminate stress. This stunning, pocket-sized colouring book offers a practical exercise in mindfulness that draws on your creativity and hones your focus.Beautifully illustrated, The Mindfulness Colouring Book is filled with templates for exquisite scenes and intricate, sophisticated patterns, prompting you to meditate on your artwork as you mindfully and creatively fill these pages with colour. Take a few minutes out of your day, wherever you are, and colour your way to peace and calm."
4,4,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1419/9780141976143.jpg,Wreck This Journal,Keri Smith,Paperback,4.0,9.59,$,12.9,9780141976143,Stationery,dataset/Stationery/0000005.jpg,"“Not gonna lie, this is probably the coolest journal you’ll ever see. . . . Wreck This Journal is here to inspire you.” —Buzzfeed A spectacular coloring and painting edition of the incredible journal that started it all, in celebration of the tenth anniversary of the 10-million-copy international bestseller Perhaps you're a seasoned Wreck-er, having made your way through one or more copies of Wreck This Journal. Or maybe you're new to the phenomenon (little do you know, this experience might just change your life). Whatever the case, you've found the perfect book to destroy... Welcome to an all new-edition of Wreck This Journal, now in spectacular full color! Inside, you'll find prompts for painting, shredding, transforming, and unleashing your creativity. With a mix of new, altered, and favorite prompts, Wreck This Journal: Now in Color invites you to wreck with color: mixing colors to make mud, letting chance dictate your color choice, weaving with brightly colored strips of paper, and more. What colors will you use to you wreck your journal? “A conceptual artist and author luring kids into questioning the world and appreciating every smell, texture and mystery in it.” —TIME Magazine “Keri Smith may well be the self-help guru this DIY generation deserves.” —The Believer"
5,5,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9788/8837/9788883705625.jpg,Moleskine Large Watercolour Album And Notebook,Moleskine,Notebook / blank book,0.0,11.86,$,19.9,9788883705625,Stationery,dataset/Stationery/0000006.jpg,
6,6,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9788/8837/9788883701122.jpg,Moleskine Large Ruled Hardcover Notebook Black,Moleskine,Notebook / blank book,4.5,12.97,$,18.9,9788883701122,Stationery,dataset/Stationery/0000007.jpg,
7,7,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/8118/9780811870191.jpg,One Line a Day,Chronicle Books,Calendar,4.5,9.65,$,13.5,9780811870191,Stationery,dataset/Stationery/0000008.jpg,"This tactile new version of our bestselling One Line a Day memory book features a rich oatmeal-colored, canvas cloth case, striking metallic page edges, and a ribbon page marker. Each page features space to jot down an idea or daily highlight on the same date over five years, allowing journalers to look back on years past as they capture the present. A handsome way to record and reflect, this five-year diary makes an excellent gift for graduates, adventurers, dreamers, and anyone embarking on a new phase of life."
8,8,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/6924/9780692452745.jpg,Create This Book,Moriah Elizabeth,Paperback,4.5,17.05,$,,9780692452745,Stationery,dataset/Stationery/0000009.jpg,"Create This Book is the ultimate outlet for creativity. Includes 242 pages of unique and inspiring prompts to get you in the creative zone! Whether you are trying to get past an artist's block, wanting to become more creative, or just looking to have some fun, you will love this interactive journal! Want to learn more? Check out ""Create This Book"" on Youtube! You can watch Moriah Elizabeth's ""Create This Book"" Series! Great for inspiration and guidance on your creative journey! Go to MoriahElizabeth.com for more information."
9,9,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8499/9781849941679.jpg,Millie Marotta's Animal Kingdom,Millie Marotta,Paperback,4.5,11.6,$,12.9,9781849941679,Stationery,dataset/Stationery/0000010.jpg,"A wonderful portable edition of the Sunday Times and international bestseller Millie Marotta's Animal Kingdom. Millie Marotta is a hugely popular illustrator and her idiosyncratic drawings of the world's wonderful creatures will draw you in. The international bestseller offers a range of beautiful illustration to colour in, personalise and make your own. The artist's intricate style of illustration will get you itching for pencils and pen to colour in or add a touch of your own illustration, whether it's patterned birds, the flowing tendrils of a jellyfish, or the composite of flowers that make up a grizzly bear. You can colour her work or add your own line drawings to make it special to you. Add your own patterns to the lively forest scene, choose your own birds to add to the branches, or make a pattern with your colour choices. The images are guaranteed to get your creative juices flowing. c. 600 words"
