,Unnamed: 0,image,name,author,format,book_depository_stars,price,currency,old_price,isbn,category,img_paths,description
0,0,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9084/9781908402479.jpg,Bradshaw's Continental Railway Guide full edition,,Hardback,4.0,26.51,$,30.9,9781908402479,Transport,dataset/Transport/0000001.jpg,"A facsimile edition of Bradshaw's fascinating guide to Europe's rail network. Bradshaw's descriptive railway handbook of Europe was originally published in 1913 and was the inspiration behind Michael Portillo's BBC television series 'Great Continental Railway Journeys'. It is divided into three sections: timetables for services covering the continent; short guides to the best places to see and to stay in each city; and a wealth of advertisements and ephemeral materials concerning hotels, restaurants and services that might be required by the early twentieth century rail traveller. This beautifully illustrated facsimile edition offers a fascinating glimpse of Europe and of a transport network that was shortly devastated by the greatest war the world had ever seen."
1,1,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9084/9781908402486.jpg,Bradshaw's Handbook,George Bradshaw,Hardback,4.0,18.05,$,30.9,9781908402486,Transport,dataset/Transport/0000002.jpg,"Hard to put down ... truthful and opinionated, often funny but never predictable ... the finest travelling companion.' – Michael Portillo on Bradshaw Unavailable for many years and much sought after, this classic guide book is now faithfully reissued for a new generation. Bradshaw's Railway Handbook was originally published in 1866 under the title Bradshaw's Handbook for Tourists in Great Britain and Ireland. It appeared in four volumes as a comprehensive handbook for domestic tourists, offering a detailed view of English life in the Victorian age. Now available to a new generation of readers, it will appeal to railway, steam and transport enthusiasts, local historians, and anyone with an interest in British heritage, the Victorian period, or the nation's industrial past."
2,2,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8412/9781841210803.jpg,Awesome Engines,Margaret Mayo,Paperback,4.0,7.07,$,8.8,9781841210803,Transport,dataset/Transport/0000003.jpg,"With this book ,kids can learn how to create a buzzing robot, move a ship with steam, and more. Each workshop project includes easy-to-read, step-by-step instructions paired with photographs. Budding craftspeople and engineers will love learning how to use the tools of the trade to make one-of-a-kind creations."
3,3,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/9084/9781908402028.jpg,Bradshaw's Handbook,George Bradshaw,Hardback,4.0,11.58,$,12.4,9781908402028,Transport,dataset/Transport/0000004.jpg,"Hard to put down ... truthful and opinionated, often funny but never predictable ... the finest travelling companion.' – Michael Portillo on Bradshaw Unavailable for many years and much sought after, this classic guide book is now faithfully reissued for a new generation. Bradshaw's Railway Handbook was originally published in 1866 under the title Bradshaw's Handbook for Tourists in Great Britain and Ireland. It appeared in four volumes as a comprehensive handbook for domestic tourists, offering a detailed view of English life in the Victorian age. Now available to a new generation of readers, it will appeal to railway, steam and transport enthusiasts, local historians, and anyone with an interest in British heritage, the Victorian period, or the nation's industrial past."
4,4,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/1400/9780140054101.jpg,Jupiter's Travels,Ted Simon,Paperback,4.0,10.33,$,12.9,9780140054101,Transport,dataset/Transport/0000005.jpg,"Jupiter's Travels -Ted Simon's astonishing 4 year motorbike journey around the world The book that inspired Ewan McGregor's Long Way Round In the late 1970s Ted Simon set off on a Triumph and rode 63,000 miles over four years through fifty-four countries in a journey that took him around the world. Through breakdowns, prison, war, revolutions, disasters and a Californian commune, he travelled into the depths of fear and reached the heights of euphoria. He met astonishing people and was treated as a spy, a welcome stranger and even a god. For Simon the trip became a journey into his own soul, and for many others - including bikers Charley Boorman and Ewan McGrergor - it provides an inspiration they will never forget. This classic text, which has informed a whole genre of travel writing in the thirty years since it was first published, will never be bettered for sheer adventure, passion, humour and honesty. Brought up in England by a German mother and a Romanian father, Ted Simon found himself impelled by an insatiable desire to explore the world. It led him to abandon an early scientific career in favour of journalism, and he has worked for several newspapers and magazines on Fleet Street and elsewhere. Ted Simon is also the author of Riding Home and The Gypsy in Me."
5,5,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8412/9781841212722.jpg,Awesome Engines: Emergency!,Margaret Mayo,Paperback,4.0,7.0,$,8.8,9781841212722,Transport,dataset/Transport/0000006.jpg,Rescue vehicles race to help during a variety of emergencies.
6,6,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8452/9781845295530.jpg,A Brief History of the Age of Steam,Thomas Crump,Paperback,3.5,5.52,$,11.4,9781845295530,Transport,dataset/Transport/0000007.jpg,"In 1710 an obscure Devon ironmonger Thomas Newcomen invented a machine with a pump driven by coal, used to extract water from mines. Over the next two hundred years the steam engine would be at the heart of the industrial revolution that changed the fortunes of nations. Passionately written and insightful, A Brief History of the Age of Steam reveals not just the lives of the great inventors such as Watts, Stephenson and Brunel but also tells a narrative that reaches from the US to the expansion of China, India, and South America and shows how the steam engine changed the world."
7,7,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8647/9781864711349.jpg,Batavia,Peter Fitzsimons,Paperback,4.0,26.57,$,29.3,9781864711349,Transport,dataset/Transport/0000008.jpg,A catalog of lithographs of American and Canadian cities.
8,8,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0994/9780099479376.jpg,The Right Stuff,Tom Wolfe,Paperback,4.0,6.28,$,13.9,9780099479376,Transport,dataset/Transport/0000009.jpg,"From ""America's nerviest journalist"" (Newsweek)--a breath-taking epic, a magnificent adventure story, and an investigation into the true heroism and courage of the first Americans to conquer space. ""Tom Wolfe at his very best"" (The New York Times Book Review) Millions of words have poured forth about man's trip to the moon, but until now few people have had a sense of the most engrossing side of the adventure; namely, what went on in the minds of the astronauts themselves - in space, on the moon, and even during certain odysseys on earth. It is this, the inner life of the astronauts, that Tom Wolfe describes with his almost uncanny empathetic powers, that made The Right Stuff a classic."
9,9,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/5712/9780571247950.jpg,Empire of the Clouds,James Hamilton-Paterson,Paperback,4.0,5.59,$,13.9,9780571247950,Transport,dataset/Transport/0000010.jpg,"In 1945 Britain was the world's leading designer and builder of aircraft - a world-class achievement that was not mere rhetoric. And what aircraft they were. The sleek Comet, the first jet airliner. The awesome delta-winged Vulcan, an intercontinental bomber that could be thrown about the sky like a fighter. The Hawker Hunter, the most beautiful fighter-jet ever built and the Lightning, which could zoom ten miles above the clouds in a couple of minutes and whose pilots rated flying it as better than sex. How did Britain so lose the plot that today there is not a single aircraft manufacturer of any significance in the country? What became of the great industry of de Havilland or Handley Page? And what was it like to be alive in that marvellous post-war moment when innovative new British aircraft made their debut, and pilots were the rock stars of the age? James Hamilton-Paterson captures that season of glory in a compelling book that fuses his own memories of being a schoolboy plane spotter with a ruefully realistic history of British decline - its loss of self confidence and power. It is the story of great and charismatic machines and the men who flew them: heroes such as Bill Waterton, Neville Duke, John Derry and Bill Beaumont who took inconceivable risks, so that we could fly without a second thought."
