,text,label
0,The essential film companion for Newt Scamander! Relive the magic of Newt's world with this hardback guidebook featuring your favourite scenes and quotes from Fantastic Beasts and Where to Find Them.,Art-Photography
1,"The bestselling adult colouring book!Working with your hands is one of the best ways to soothe anxiety and eliminate stress. This stunning, pocket-sized colouring book offers a practical exercise in mindfulness that draws on your creativity and hones your focus.Beautifully illustrated, The Mindfulness Colouring Book is filled with templates for exquisite scenes and intricate, sophisticated patterns, prompting you to meditate on your artwork as you mindfully and creatively fill these pages with colour. Take a few minutes out of your day, wherever you are, and colour your way to peace and calm.",Art-Photography
2,"The Wizarding World journey continues . . . The powerful Dark wizard Gellert Grindelwald was captured in New York with the help of Newt Scamander. But, making good on his threat, Grindelwald escapes custody and sets about gathering followers, most of whom are unsuspecting of his true agenda: to raise pure-blood wizards up to rule over all non-magical beings. In an effort to thwart Grindelwald's plans, Albus Dumbledore enlists Newt, his former Hogwarts student, who agrees to help once again, unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided wizarding world. Fantastic Beasts: The Crimes of Grindelwald is the second screenplay in a five-film series to be written by J.K. Rowling, author of the internationally bestselling Harry Potter books. Set in 1927, a few months after the events of Fantastic Beasts and Where To Find Them, and moving from New York to London, Paris and even back to Hogwarts, this story of mystery and magic reveals an extraordinary new chapter in the wizarding world. Illustrated with stunning line art from MinaLima with some surprising nods to the Harry Potter stories that will delight fans of both the books and films.",Art-Photography
3,Moleskine Large Watercolour Album And Notebook,Art-Photography
4,"Maus I: A Survivor's Tale and Maus II - the complete story of Vladek Spiegelman and his wife, living and surviving in Hitler's Europe. By addressing the horror of the Holocaust through cartoons, the author captures the everyday reality of fear and is able to explore the guilt, relief and extraordinary sensation of survival - and how the children of survivors are in their own way affected by the trials of their parents. A contemporary classic of immeasurable significance.",Art-Photography
5,"The #1 New York Times Bestseller! With over 500 vibrant, full-color photos, Humans of New York: Stories is an insightful and inspiring collection of portraits of the lives of New Yorkers. Humans of New York: Stories is the culmination of five years of innovative storytelling on the streets of New York City. During this time, photographer Brandon Stanton stopped, photographed, and interviewed more than ten thousand strangers, eventually sharing their stories on his blog, Humans of New York. In Humans of New York: Stories, the interviews accompanying the photographs go deeper, exhibiting the intimate storytelling that the blog has become famous for today. Ranging from whimsical to heartbreaking, these stories have attracted a global following of more than 30 million people across several social media platforms.",Art-Photography
6,"Ways of Seeing is a key art-historical work that continues to provoke widespread debate. It is comprised of seven different essays, three of which are pictorial and the other containing texts and images. Berger first examines the relationship between seeing and knowing, discussing how our assumptions affect how we see a painting. He moves on to consider the role of women in artwork, particularly regarding the female nude. The third essay deals with oil painting looking at the relationship between subjects and ownership. Finally, Berger addresses the idea of ownership in a consumerist society, discussing the power of imagery in advertising, with particular regards to photography.",Art-Photography
7,"From Millie Marotta's Animal Kingdom--a New York Times bestseller that sold more than three million copies worldwide--comes 18 beautiful prints, personally chosen by Millie, to color and display! Millie Marotta's Animal Kingdom coloring book captivated millions of fans everywhere. Now, this stunning collection offers them 18 of Millie's favorite, handpicked illustrations from that book, all featuring one print per page on high-quality paper. As you finish each one, tear out the perforated sheet and frame the gorgeous result!",Art-Photography
8,"The classic hardback edition, completely reimagined with gorgeous new photography of the now-famous netsuke collection, and sumptuous full-colour images hand-picked by Edmund de Waal from his family archive 264 Japanese wood and ivory carvings, none of them bigger than a matchbox- Edmund de Waal was entranced when he first encountered the collection in his great uncle Iggie's Tokyo apartment. When he later inherited the 'netsuke', they unlocked a story far larger and more dramatic than he could ever have imagined. From a burgeoning empire in Odessa to fin de si cle Paris, from occupied Vienna to Tokyo, Edmund de Waal traces the netsuke's journey through generations of his remarkable family against the backdrop of a tumultuous century.",Art-Photography
9,Moleskine Large Sketchbook Black,Art-Photography
10,"WINNER OF THE NATIONAL BOOK AWARD It was the summer Coltrane died, the summer of love and riots, and the summer when a chance encounter in Brooklyn led two young people on a path of art, devotion, and initiation. Patti Smith would evolve as a poet and performer, and Robert Mapplethorpe would direct his highly provocative style toward photography. Bound in innocence and enthusiasm, they traversed the city from Coney Island to Forty-Second Street, and eventually to the celebrated round table of Max’s Kansas City, where the Andy Warhol contingent held court. In 1969, the pair set up camp at the Hotel Chelsea and soon entered a community of the famous and infamous, the influential artists of the day and the colorful fringe. It was a time of heightened awareness, when the worlds of poetry, rock and roll, art, and sexual politics were colliding and exploding. In this milieu, two kids made a pact to take care of each other. Scrappy, romantic, committed to create, and fueled by their mutual dreams and drives, they would prod and provide for one another during the hungry years. Just Kids begins as a love story and ends as an elegy. It serves as a salute to New York City during the late sixties and seventies and to its rich and poor, its hustlers and hellions. A true fable, it is a portrait of two young artists’ ascent, a prelude to fame.",Art-Photography
11,"Recounts the author's experiences with the reclusive Tarahumara Indians, whose techniques allow them to run long distances with ease, and describes his training for a fifty-mile race with the tribe and a number of ultramarathoners.",Art-Photography
12,"This introduction to the essential elements of music is ideal for students preparing for examinations, as well as an excellent resource for everyone learning to read music.",Art-Photography
13,"Harry Potter: A History of Magic is the official book of the exhibition, a once-in-a-lifetime collaboration between Bloomsbury, J.K. Rowling and the brilliant curators of the British Library. It promises to take readers on a fascinating journey through the subjects studied at Hogwarts School of Witchcraft and Wizardry -- from Alchemy and Potions classes through to Herbology and Care of Magical Creatures. Each chapter showcases a treasure trove of artefacts from the British Library and other collections around the world, beside exclusive manuscripts, sketches and illustrations from the Harry Potter archive. There's also a specially commissioned essay for each subject area by an expert, writer or cultural commentator, inspired by the contents of the exhibition -- absorbing, insightful and unexpected contributions from Steve Backshall, the Reverend Richard Coles, Owen Davies, Julia Eccleshare, Roger Highfield, Steve Kloves, Lucy Mangan, Anna Pavord and Tim Peake, who offer a personal perspective on their magical theme.",Art-Photography
