,text,label
0,"""I wrote to the zoo to send me a pet . . .""Rod Campbell's classic lift-the-flap book Dear Zoo is a firm favourite with toddlers and parents alike. This interactive pop-up edition retains all the charm of the original story and is packed full of exciting surprises. Young children will love lifting the flaps to discover the animals the zoo has sent - a very tall giraffe, a fierce lion and even a very jumpy frog. Will the zoo ever manage to send the perfect pet?With bright, bold artwork, a catchy refrain and a whole host of favourite animals, The Pop-Up Dear Zoo is a must for every child's bookshelf.",Childrens-Books
1,"The all-time classic picture book, from generation to generation, sold somewhere in the world every 30 seconds! Have you shared it with a child or grandchild in your life? For the first time, Eric Carle’s The Very Hungry Caterpillar is now available in e-book format, perfect for storytime anywhere. As an added bonus, it includes read-aloud audio of Eric Carle reading his classic story. This fine audio production pairs perfectly with the classic story, and it makes for a fantastic new way to encounter this famous, famished caterpillar.",Childrens-Books
2,"A story about many different sheep, and one that seems to be missing.",Childrens-Books
3,"The bestselling Giraffes Can't Dance is now a padded board book! Giraffes Can't Dance is a touching tale of Gerald the giraffe, who wants nothing more than to dance. With crooked knees and thin legs, it's harder for a giraffe than you would think. Gerald is finally able to dance to his own tune when he gets some encouraging words from an unlikely friend. With light-footed rhymes and high-stepping illustrations, this tale is gentle inspiration for every child with dreams of greatness. Discover this classic story, now in a padded board book format perfect for babies and toddlers!",Childrens-Books
4,"«Таинственный сад» – любимая классика для читателей всех возрастов, жемчужина творчества Фрэнсис Ходжсон Бернетт, роман о заново открытой радости жизни и магии силы. Мэри Леннокс, жестокое и испорченное дитя высшего света, потеряв родителей в Индии, возвращается в Англию, на воспитание к дяде-затворнику в его поместье. Однако дядя находится в постоянных отъездах, и Мэри начинает исследовать округу, в ходе чего делает много открытий, в том числе находит удивительный маленький сад, огороженный стеной, вход в который почему-то запрещен. Отыскав ключ и потайную дверцу, девочка попадает внутрь. Но чьи тайны хранит этот загадочный садик? И нужно ли знать то, что находится под запретом?.. Впрочем, это не единственный секрет в поместье...",Childrens-Books
5,The Little Prince,Childrens-Books
6,"This heartwarming book encourages positive behavior by using the concept of an invisible bucket to show children how easy and rewarding it is to express kindness, appreciation and love by ""filling buckets."" Updated and revised, this 10th anniversary edition will help readers better understand that ""bucket dipping"" is a negative behavior, not a permanent label. It also explains that it's possible to fill or dip into our own buckets.",Childrens-Books
7,"The Eighth Story. Nineteen Years Later. Based on an original story by J.K. Rowling, John Tiffany, and Jack Thorne, a play by Jack Thorne. It was always difficult being Harry Potter and it isn't much easier now that he is an overworked employee of the Ministry of Magic, a husband, and father of three school-age children. While Harry grapples with a past that refuses to stay where it belongs, his youngest son, Albus, must struggle with the weight of a family legacy he never wanted. As past and present fuse ominously, both father and son learn the uncomfortable truth: Sometimes, darkness comes from unexpected places. The playscript for Harry Potter and the Cursed Child was originally released as a ""special rehearsal edition"" alongside the opening of Jack Thorne's play in London's West End in summer 2016. Based on an original story by J.K. Rowling, John Tiffany, and Jack Thorne, the play opened to rapturous reviews from theatergoers and critics alike, while the official playscript became an immediate global bestseller. This revised paperback edition updates the ""special rehearsal edition"" with the conclusive and final dialogue from the play, which has subtly changed since its rehearsals, as well as a conversation piece between director John Tiffany and writer Jack Thorne, who share stories and insights about reading playscripts. This edition also includes useful background information including the Potter family tree and a timeline of events from the wizarding world prior to the beginning of Harry Potter and the Cursed Child.",Childrens-Books
8,Presents the traditional song with illustrations on die-cut pages that reveal all that the old lady swallows.,Childrens-Books
9,"""Now a major motion picture! Includes full-color movie photos and exclusive content!""--Dust jacket.",Childrens-Books
