,text,label
0,"Even bad code can function. But if code isn’t clean, it can bring a development organization to its knees. Every year, countless hours and significant resources are lost because of poorly written code. But it doesn’t have to be that way. Noted software expert Robert C. Martin presents a revolutionary paradigm with Clean Code: A Handbook of Agile Software Craftsmanship . Martin has teamed up with his colleagues from Object Mentor to distill their best agile practice of cleaning code “on the fly” into a book that will instill within you the values of a software craftsman and make you a better programmer–but only if you work at it. What kind of work will you be doing? You’ll be reading code–lots of code. And you will be challenged to think about what’s right about that code, and what’s wrong with it. More importantly, you will be challenged to reassess your professional values and your commitment to your craft. Clean Code is divided into three parts. The first describes the principles, patterns, and practices of writing clean code. The second part consists of several case studies of increasing complexity. Each case study is an exercise in cleaning up code–of transforming a code base that has some problems into one that is sound and efficient. The third part is the payoff: a single chapter containing a list of heuristics and “smells” gathered while creating the case studies. The result is a knowledge base that describes the way we think when we write, read, and clean code. Readers will come away from this book understanding How to tell the difference between good and bad code How to write good code and how to transform bad code into good code How to create good names, good functions, good objects, and good classes How to format code for maximum readability How to implement complete error handling without obscuring code logic How to unit test and practice test-driven development This book is a must for any developer, software engineer, project manager, team lead, or systems analyst with an interest in producing better code.",Computing
1,The Legend of Zelda,Computing
2,"This is among the most significant ways in which they effect social change, yet we are just beginning to understand the power and impact of default rules. Many central questions remain unanswered: When should governments set such defaults, and when should they insist on active choices? How should such defaults be made? What makes some defaults successful while others fail? Cass R. Sunstein has long been at the forefront of developing public policy and regulation to use government power to encourage people to make better decisions. In this major new book, Choosing Not to Choose, he presents his most complete argument yet for how we should understand the value of choice, and when and how we should enable people to choose not to choose. The onset of big data gives corporations and governments the power to make ever more sophisticated decisions on our behalf, defaulting us to buy the goods we predictably want, or vote for the parties and policies we predictably support.",Computing
3,"'What is a self and how can a self come out of inanimate matter?' This is the riddle that drove Douglas Hofstadter to write this extraordinary book. In order to impart his original and personal view on the core mystery of human existence - our intangible sensation of 'I'-ness - Hofstadter defines the playful yet seemingly paradoxical notion of 'strange loop', and explicates this idea using analogies from many disciplines.",Computing
4,"The human brain has some capabilities that the brains of other animals lack. It is to these distinctive capabilities that our species owes its dominant position. Other animals have stronger muscles or sharper claws, but we have cleverer brains. If machine brains one day come to surpass human brains in general intelligence, then this new superintelligence could become very powerful. As the fate of the gorillas now depends more on us humans than on the gorillas themselves, so the fate of our species then would come to depend on the actions of the machine superintelligence. But we have one advantage: we get to make the first move. Will it be possible to construct a seed AI or otherwise to engineer initial conditions so as to make an intelligence explosion survivable? How could one achieve a controlled detonation? To get closer to an answer to this question, we must make our way through a fascinating landscape of topics and considerations. Read the book and learn about oracles, genies, singletons; about boxing methods, tripwires, and mind crime; about humanity's cosmic endowment and differential technological development; indirect normativity, instrumental convergence, whole brain emulation and technology couplings; Malthusian economics and dystopian evolution; artificial intelligence, and biological cognitive enhancement, and collective intelligence.",Computing
5,"A two-book set for web designers and front-end developers This two-book set combines the titles HTML & CSS: Designing and Building Web Sites and JavaScript & jQuery: Interactive Front-End Development. Together these two books form an ideal platform for anyone who wants to master HTML and CSS before stepping up to JavaScript and jQuery. HTML & CSS covers structure, text, links, images, tables, forms, useful options, adding style with CSS, fonts, colors, thinking in boxes, styling lists and tables, layouts, grids, and even SEO, Google analytics, ftp, and HTML5. JavaScript & jQuery offers an excellent combined introduction to these two technologies using a clear and simple visual approach using diagrams, infographics, and photographs. A handy two-book set that uniquely combines related technologies Highly visual format and accessible language makes these books highly effective learning tools Perfect for beginning web designers and front-end developers",Computing
6,"Now in the 5th edition, Cracking the Coding Interview gives you the interview preparation you need to get the top software developer jobs. This book provides: 150 Programming Interview Questions and Solutions: From binary trees to binary search, this list of 150 questions includes the most common and most useful questions in data structures, algorithms, and knowledge based questions. 5 Algorithm Approaches: Stop being blind-sided by tough algorithm questions, and learn these five approaches to tackle the trickiest problems. Behind the Scenes of the interview processes at Google, Amazon, Microsoft, Facebook, Yahoo, and Apple: Learn what really goes on during your interview day and how decisions get made. Ten Mistakes Candidates Make -- And How to Avoid Them: Don't lose your dream job by making these common mistakes. Learn what many candidates do wrong, and how to avoid these issues. Steps to Prepare for Behavioral and Technical Questions: Stop meandering through an endless set of questions, while missing some of the most important preparation techniques. Follow these steps to more thoroughly prepare in less time.",Computing
7,"""There is usually a fine line between genius and insanity, but in this case it has become very blurred. Some of the funniest and most clever writing I have read in years."" (Terrance Fielding, WIRED magazine) ""I laughed so hard and uncontrollably I could hardly breathe. Reading this on public transport is not a good idea."" (Penthouse magazine) ""Brilliantly funny."" (Jezebel.com) From the notorious Internet troublemaker who brought the world the explosively popular ""Next Time I'll Spend the Money on Drugs Instead"", in which he attempted to pay his chiropractor with a picture he drew of a spider; ""Please Design a Logo for Me. With Pie Charts. For Free,"" which has been described as one of the most passed-on viral e-mails of all time; and, most recently, the staggeringly popular ""Missing Missy"", which has appeared everywhere from The Guardian to Jezebel to Andrew Sullivan's The Daily Dish, comes this profoundly funny collection of irreverent Internet mischief and comedy. Featuring all of Thorne's viral success, including ""Missing Missy"", The Internet Is a Playground culls together every article and e- mail from Thorne's wildly popular website 27bslash6.com, as well as enough new material, available only in these pages, to keep you laughing-and, indeed, crying-until Thorne's next stroke-of-genius prank. Or hilarious hoax. Or well-publicized almost-stint in jail (really).",Computing
8,"#1 Amazon Bestseller and #1 New York Times Besteller! From the mind of one of the most popular YouTubers of all time, DanTDM, comes a graphic novel adventure that reimagines the Minecraft-style worlds and characters he’s created like you’ve never seen them before. After a day of experiments, Trayaurus and DanTDM are about to call it a night when a strange-looking crystal plummets to earth, breaking into five pieces that scatter far and wide. DanTDM and Trayaurus recover one of the shards and quickly realize they are in possession of an object more powerful than anything they’ve ever known. Word reaches DanTDM and Trayaurus that other pieces of crystal have been recovered—a group of pigs have harnessed the crystals’ power to enable them to talk. But they’re not alone—Dan and Trayaurus’s archenemy, Denton, has also found a shard and manipulated its power for evil. He has created a cloning machine and is producing a terrifying marauding army intent on hunting down the remaining crystals in his effort to become all-powerful. It’s down to DanTDM and Trayaurus to stop him. Will they prevail, or will the forces of evil be too great for them to overcome? Fans of the Elementia Chronicles and the Gameknight999 series will be drawn to DanTDM’s tale about an epic power struggle in a high-stakes world.",Computing
9,"New York Times Best Seller How will Artificial Intelligence affect crime, war, justice, jobs, society and our very sense of being human? The rise of AI has the potential to transform our future more than any other technology—and there’s nobody better qualified or situated to explore that future than Max Tegmark, an MIT professor who’s helped mainstream research on how to keep AI beneficial. How can we grow our prosperity through automation without leaving people lacking income or purpose? What career advice should we give today’s kids? How can we make future AI systems more robust, so that they do what we want without crashing, malfunctioning or getting hacked? Should we fear an arms race in lethal autonomous weapons? Will machines eventually outsmart us at all tasks, replacing humans on the job market and perhaps altogether? Will AI help life flourish like never before or give us more power than we can handle? What sort of future do you want? This book empowers you to join what may be the most important conversation of our time. It doesn’t shy away from the full range of viewpoints or from the most controversial issues—from superintelligence to meaning, consciousness and the ultimate physical limits on life in the cosmos.",Computing
