,text,label
0,"From the author of the global bestseller Secret Garden (over 12 million copies sold!) Discover a whole new way to color with this small-scale, pocket-sized edition of Johanna Basford's bestseller Enchanted Forest. Sharpen your pencils for this mini inky adventure created in beautifully detailed, intricate pen-and-ink illustration, all ready for you to bring to life with color. Printed on ivory paper with lay-flat binding allowing for a smooth and seamless colouring experience. It also features two brand-new illustrations.",Crafts-Hobbies
1,Harry Potter Coloring BookBy Scholastic,Crafts-Hobbies
2,"Dungeons and Dragons and Philosophy presents twenty-one chapters by different writers, all D&D aficionados but with starkly different insights and points of view. The book is divided into three parts. The first, ""Heroic Tier: The Ethical Dungeon-Crawler,"" explores what D&D has to teach us about ethics. Part II, ""Paragon Tier: Planes of Existence,"" arouses a new sense of wonder about both the real world and the collaborative world game players create. The third part, ""Epic Tier: Leveling Up,"" is at the crossroads of philosophy and the exciting new field of Game Studies.",Crafts-Hobbies
3,"The bestselling adult colouring book!Working with your hands is one of the best ways to soothe anxiety and eliminate stress. This stunning, pocket-sized colouring book offers a practical exercise in mindfulness that draws on your creativity and hones your focus.Beautifully illustrated, The Mindfulness Colouring Book is filled with templates for exquisite scenes and intricate, sophisticated patterns, prompting you to meditate on your artwork as you mindfully and creatively fill these pages with colour. Take a few minutes out of your day, wherever you are, and colour your way to peace and calm.",Crafts-Hobbies
4,"This tactile new version of our bestselling One Line a Day memory book features a rich oatmeal-colored, canvas cloth case, striking metallic page edges, and a ribbon page marker. Each page features space to jot down an idea or daily highlight on the same date over five years, allowing journalers to look back on years past as they capture the present. A handsome way to record and reflect, this five-year diary makes an excellent gift for graduates, adventurers, dreamers, and anyone embarking on a new phase of life.",Crafts-Hobbies
5,"From Millie Marotta's Animal Kingdom--a New York Times bestseller that sold more than three million copies worldwide--comes 18 beautiful prints, personally chosen by Millie, to color and display! Millie Marotta's Animal Kingdom coloring book captivated millions of fans everywhere. Now, this stunning collection offers them 18 of Millie's favorite, handpicked illustrations from that book, all featuring one print per page on high-quality paper. As you finish each one, tear out the perforated sheet and frame the gorgeous result!",Crafts-Hobbies
6,Shows the reader how to be a Dungeon Master.,Crafts-Hobbies
7,"Perching on the porcelain can be very boring when you have nothing to do but poo. But fear no more, as excretion expert Hugh Jassburn has put together a compendium of entertaining activities and informative fun that will make you want to stay put, even if you don't need to go. Doing a number two will never be the same again. Filled with clever mazes, trivia, searches, and puzzles all focused on the act, history, and science of pooing, 52 Things to do While You Poo will keep you entertained for as long as you need.",Crafts-Hobbies
8,"Describes the characteristics and attributes of a variety of monsters, zombies, demons, giants, werewolves, animals, and aliens for use in the Dungeons and Dragons game.",Crafts-Hobbies
9,"Learn to draw charming characters! Filled with colorful illustrations and step-by-step explanations, How to Draw a Character is the perfect introduction to the art of sketching people. From babies to grandmothers, cyclists to shoppers, How to Draw a Character gives readers the skills to draw any kind of character in any setting. The easy tutorials break down seemingly complicated drawings into simple components, so even beginners will soon be drawing confidently. The book begins with a handful of simple anatomical rules that lend life and realism to the drawings. It goes on to explore all the essential aspects of figure drawing, from capturing emotions to drawing your characters in motion. Equal parts inspiration and tutorial, the charming drawings are sure to spark the imagination. Soizic Mouton's How to Draw a Character will give anyone who’s ever wanted to learn to draw the confidence to pick up a pencil and begin!",Crafts-Hobbies
10,"Kids love origami—and what could be cooler than transforming a piece of paper into Boba Fett, Princess Leia, Yoda, or R2-D2? And not just any paper, but custom-designed paper illustrated with art from the movies. Star Wars® Origami marries the fun of paper folding with the obsession of Star Wars. Like The Joy of Origami and Origami on the Go, this book puts an original spin on an ancient art. And like Star Wars® Scanimation® and Star Wars® Fandex®, it’s a fresh take on Star Wars mania. Chris Alexander is a master folder and founder of the popular website StarWarsOrigami.com, and here are 36 models, clearly explained, that range in difficulty from Youngling (easy) to Padawan (medium), Jedi Knight (difficult), and Jedi Master (tricky!). A front section introduces origami definitions and basic folds. Bound in the back is the book’s unique folding paper, two sheets for each figure. Illustrated with original art, it makes each creation—the essential lightsabers, the Death Star, and much more—true to the movies. Star Wars Origami includes a foreword by Tom Angleberger, author of the New York Times bestsellers The Strange Case of Origami Yoda and Darth Paper Strikes Back, and is scheduled to be published at the same time as Angleberger’s upcoming book, The Secret of the Fortune Wookiee.",Crafts-Hobbies
11,"This comprehensive guide features 200 beautiful crochet block patterns to mix and match. With clear instructions you'll learn how to create your own unique afghans, wall hangings and accessories in a kaleidoscope of colorful contemporary and traditional designs.",Crafts-Hobbies
12,100 Flowers to Knit & Crochet,Crafts-Hobbies
13,"Coloring like you haven't seen it before Welcome to the wild world of Extreme Coloring. An amazing coloring book challenge featuring the super-detailed animal images from artist Kerby Rosanes. Known for his popular Sketchy Stories blog, Kerby works in intricately detailed black and white line to create creatures, characters, patterns, and tiny elements to form compositions of mind-boggling complexity. Bring your creativity to complete the breath-taking drawings and find hidden treasures and creatures scattered throughout its pages.",Crafts-Hobbies
14,"A colouring book to keep and treasure forever. The wonderful illustrations from Millie Marotta's Tropical Wonderland are reproduced here on the thickest paper yet (180 gsm) on one side only, including 13 gatefolds and with five additional prints that can be pulled out of an envelope at the back of the book. These prints are ideal for framing. This is an edition for all Millie fans and even those new to her work who want something special to record their creative colouring and drawing or indeed just a beautiful collection of illustrations. The book is linen bound with screenprinted illustrations and foiling that add a new dimension to Millie's work. It is, quite simply, a beautiful book.",Crafts-Hobbies
15,"Featuring beautiful selections from Johanna Basford's Lost Ocean, this set of 50 loose postcards in a premium gift box with a ribbon invites you to colour in shoals of exotic fish, curious octopuses, delicately penned seahorses and more - all while exploring the magical depths of the sea. Perfect to colour, keep and share.",Crafts-Hobbies
16,Release Your Anger: Midnight Edition: An Adult Coloring Book with 40 Swear Words to Color and Relax,Crafts-Hobbies
17,"From four stunning and accomplished French women—a charming bestseller about how to slip into your inner cool and be a Parisienne. In short, frisky sections, these Parisian women give you their very original views on style, beauty, culture, attitude and men. The authors—Anne Berest, Audrey Diwan, Caroline de Maigret, and Sophie Mas—unmarried but attached, with children—have been friends for years. Talented bohemian iconoclasts with careers in the worlds of music, film, fashion and publishing, they are untypically frank and outspoken as they debunk the myths about what it means to be a French woman today. Letting you in on their secrets and flaws, they also make fun of their complicated, often contradictory feelings and behavior. They admit to being snobs, a bit self-centered, unpredictable but not unreliable. Bossy and opinionated, they are also tender and romantic. You will be taken on a first date, to a party, to some favorite haunts in Paris, to the countryside, and to one of their dinners at home with recipes even you could do -- but to be out with them is to be in for some mischief and surprises. They will tell you how to be mysterious and sensual, look natural, make your boyfriend jealous, and how they feel about children, weddings and going to the gym. And they will share their address book in Paris for where to go: At the End of the Night, for A Birthday, for a Smart Date, A Hangover, for Vintage Finds and much more.",Crafts-Hobbies
