,text,label
0,"""Nineteen Eighty-Four: A Novel"", often published as ""1984"", is a dystopian social science fiction novel by English novelist George Orwell. It was published on 8 June 1949 by Secker & Warburg as Orwell's ninth and final book completed in his lifetime. Thematically, ""Nineteen Eighty-Four"" centres on the consequences of totalitarianism, mass surveillance, and repressive regimentation of persons and behaviours within society. Orwell, himself a democratic socialist, modelled the authoritarian government in the novel after Stalinist Russia. More broadly, the novel examines the role of truth and facts within politics and the ways in which they are manipulated. The story takes place in an imagined future, the year 1984, when much of the world has fallen victim to perpetual war, omnipresent government surveillance, historical negationism, and propaganda. Great Britain, known as Airstrip One, has become a province of a totalitarian superstate named Oceania that is ruled by the Party who employ the Thought Police to persecute individuality and independent thinking. Big Brother, the leader of the Party, enjoys an intense cult of personality despite the fact that he may not even exist. The protagonist, Winston Smith, is a diligent and skillful rank-and-file worker and Outer Party member who secretly hates the Party and dreams of rebellion. He enters into a forbidden relationship with a colleague, Julia, and starts to remember what life was like before the Party came to power.",Crime-Thriller
1,"Over 16 million copies sold worldwide 'Every human being should read this book' Simon Sinek One of the outstanding classics to emerge from the Holocaust, Man's Search for Meaning is Viktor Frankl's story of his struggle for survival in Auschwitz and other Nazi concentration camps. Today, this remarkable tribute to hope offers us an avenue to finding greater meaning and purpose in our own lives.",Crime-Thriller
2,"All animals are equal but some animals are more equal than others. It's just an ordinary farm - until the animals revolt. They get rid of the irresponsible farmer. The other animals are sure that life is improving, but as systems are replaced and half-truths are retold, a new hierarchy emerges . . . Orwell's tale of propaganda, power and greed has never felt more pertinent. With an exciting new cover and inside illustrations by superstar Chris Mould.",Crime-Thriller
3,"She finds an envelope: 'To be opened in the event of my death'. It's her husband's handwriting. But he's still alive . . . THE ENTHRALLING MULTI-MILLION COPY BESTSELLER ABOUT SECRETS, FAMILY AND THE DANGER OF THE TRUTH 'STAGGERINGLY BRILLIANT' Sophie Hannah 'ANOTHER MASTERCLASS' Grazia _________ Cecilia Fitzpatrick thought she knew her husband. That is until she finds an envelope with his writing on: 'to be opened in the event of my death'. She opens it, and learns a shocking truth he has never dared reveal. Now Cecilia faces a terrible choice. Because revealing her husband's secret will hurt those she loves the most . . . But could the consequences of staying silent be worse? _________ 'Finely wrought tension holds up until the final page' TELEGRAPH 'A tense, page-turning story which gradually draws everyone together in a devastating climax' MAIL ON SUNDAY 'Dark and compelling . . . a must read' SUN",Crime-Thriller
4,"On a warm summer morning in North Carthage, Missouri, it is Nick and Amy Dunne's fifth wedding anniversary. Presents are being wrapped and plans are being made when Nick's clever and beautiful wife disappears. As the pólice begin to investigate, the town golden boy parades a series of lies, deceits, and inappropriate behavior. Nick is oddly evasive, and he's definitely bitter - but is he really a killer?",Crime-Thriller
5,"#1 NEW YORK TIMES BESTSELLER • Now a major motion picture directed by Steven Spielberg. “Enchanting . . . Willy Wonka meets The Matrix.”—USA Today • “As one adventure leads expertly to the next, time simply evaporates.”—Entertainment Weekly A world at stake. A quest for the ultimate prize. Are you ready? In the year 2045, reality is an ugly place. The only time Wade Watts really feels alive is when he’s jacked into the OASIS, a vast virtual world where most of humanity spends their days. When the eccentric creator of the OASIS dies, he leaves behind a series of fiendish puzzles, based on his obsession with the pop culture of decades past. Whoever is first to solve them will inherit his vast fortune—and control of the OASIS itself. Then Wade cracks the first clue. Suddenly he’s beset by rivals who’ll kill to take this prize. The race is on—and the only way to survive is to win. NAMED ONE OF THE BEST BOOKS OF THE YEAR BY Entertainment Weekly • San Francisco Chronicle • Village Voice • Chicago Sun-Times • iO9 • The AV Club “Delightful . . . the grown-up’s Harry Potter.”—HuffPost “An addictive read . . . part intergalactic scavenger hunt, part romance, and all heart.”—CNN “A most excellent ride . . . Cline stuffs his novel with a cornucopia of pop culture, as if to wink to the reader.”—Boston Globe “Ridiculously fun and large-hearted . . . Cline is that rare writer who can translate his own dorky enthusiasms into prose that’s both hilarious and compassionate.”—NPR “[A] fantastic page-turner . . . starts out like a simple bit of fun and winds up feeling like a rich and plausible picture of future friendships in a world not too distant from our own.”—iO9",Crime-Thriller
6,"INSTANT NEW YORK TIMES BESTSELLER “A breathless page-turner, driven by the many revelations Ms. Harper dreams up...You’ll love [her] sleight of hand...A secret on every page.” —The New York Times “One of the most stunning debuts I've ever read... Every word is near perfect.” —David Baldacci A small town hides big secrets in The Dry, an atmospheric, page-turning debut mystery by award-winning author Jane Harper. After getting a note demanding his presence, Federal Agent Aaron Falk arrives in his hometown for the first time in decades to attend the funeral of his best friend, Luke. Twenty years ago when Falk was accused of murder, Luke was his alibi. Falk and his father fled under a cloud of suspicion, saved from prosecution only because of Luke’s steadfast claim that the boys had been together at the time of the crime. But now more than one person knows they didn’t tell the truth back then, and Luke is dead. Amid the worst drought in a century, Falk and the local detective question what really happened to Luke. As Falk reluctantly investigates to see if there’s more to Luke’s death than there seems to be, long-buried mysteries resurface, as do the lies that have haunted them. And Falk will find that small towns have always hidden big secrets.",Crime-Thriller
7,"Young Carrie Meeber leaves home for the first time and experiences work, love, and the pleasures and responsibilities of independence in late-nineteenth-century Chicago and New York",Crime-Thriller
8,"Voted America's Best-Loved Novel in PBS's The Great American Read Harper Lee's Pulitzer Prize-winning masterwork of honor and injustice in the deep South—and the heroism of one man in the face of blind and violent hatred One of the most cherished stories of all time, To Kill a Mockingbird has been translated into more than forty languages, sold more than forty million copies worldwide, served as the basis for an enormously popular motion picture, and was voted one of the best novels of the twentieth century by librarians across the country. A gripping, heart-wrenching, and wholly remarkable tale of coming-of-age in a South poisoned by virulent prejudice, it views a world of great beauty and savage inequities through the eyes of a young girl, as her father—a crusading local lawyer—risks everything to defend a black man unjustly accused of a terrible crime.",Crime-Thriller
9,"Kidnapped as a teenage girl, Ma has been locked inside a purpose built room in her captor's garden for seven years. Her five year old son, Jack, has no concept of the world outside and happily exists inside Room with the help of Ma's games and his vivid imagination where objects like Rug, Lamp and TV are his only friends. But for Ma the time has come to escape and face their biggest challenge to date: the world outside Room.",Crime-Thriller
