,text,label
0,"NATIONAL BESTSELLER • The gripping story of Elizabeth Holmes and Theranos—one of the biggest corporate frauds in history—a tale of ambition and hubris set amid the bold promises of Silicon Valley, rigorously reported by the prize-winning journalist. With a new Afterword. “Chilling ... Reads like a thriller ... Carreyrou tells [the Theranos story] virtually to perfection.” —The New York Times Book Review In 2014, Theranos founder and CEO Elizabeth Holmes was widely seen as the next Steve Jobs: a brilliant Stanford dropout whose startup “unicorn” promised to revolutionize the medical industry with its breakthrough device, which performed the whole range of laboratory tests from a single drop of blood. Backed by investors such as Larry Ellison and Tim Draper, Theranos sold shares in a fundraising round that valued the company at more than $9 billion, putting Holmes’s worth at an estimated $4.5 billion. There was just one problem: The technology didn’t work. Erroneous results put patients in danger, leading to misdiagnoses and unnecessary treatments. All the while, Holmes and her partner, Sunny Balwani, worked to silence anyone who voiced misgivings—from journalists to their own employees.",Dictionaries-Languages
1,"This updated 2018 Classic Edition contains the original version of William Strunk's The Elements of Style, plus a variety of enhancements that make this book even more useful. It is now being used as a textbook in classes at University of Minnesota, University of Texas, UC Berkeley, and elsewhere.Generations of college students and writers have learned the basics of English grammar from this short book. It was rated ""one of the 100 most influential books written in English"" by Time in 2011, and iconic author Stephen King recommended it as a grammar primer that all aspiring writers should read.Written a century ago, Strunk's book is a nostalgic link to the Art Deco era and the Roaring Twenties. Many of the grammar rules listed in his book still apply today; but the English language has changed over the years, and some of these rules have are now obsolete. This Classic Edition addresses these changes with the following enhancements and additional content:1. This 2018 update adds two new chapters requested by college professors and students: Basic Rules of Capitalization and Style Rules for Better Writing.2. Editor's notes have been inserted throughout the book to flag grammar rules that are become obsolete and to provide up-to-date advice for students and writers.3. Emojis have been added to help readers identify correct examples from errors at a glance.4. A Study Guide is included in the last chapter, and the paperback version includes blank, lined pages in the back of the book for note taking.5. The e-book version has been restyled for improved display on the latest generations of digital book-reading devices.Elements of Style: Classic Edition 2018 gives students and writers a blueprint that they can follow to write clearly and effectively while learning the fundamental rules of English Grammar.",Dictionaries-Languages
2,"Create This Book is the ultimate outlet for creativity. Includes 242 pages of unique and inspiring prompts to get you in the creative zone! Whether you are trying to get past an artist's block, wanting to become more creative, or just looking to have some fun, you will love this interactive journal! Want to learn more? Check out ""Create This Book"" on Youtube! You can watch Moriah Elizabeth's ""Create This Book"" Series! Great for inspiration and guidance on your creative journey! Go to MoriahElizabeth.com for more information.",Dictionaries-Languages
3,"50th Anniversary Edition • With an introduction by Caity Weaver, acclaimed New York Times journalist This cult classic of gonzo journalism is the best chronicle of drug-soaked, addle-brained, rollicking good times ever committed to the printed page. It is also the tale of a long weekend road trip that has gone down in the annals of American pop culture as one of the strangest journeys ever undertaken. Also a major motion picture directed by Terry Gilliam, starring Johnny Depp and Benicio del Toro.",Dictionaries-Languages
4,"The Publication Manual of the American Psychological Association is the style manual of choice for writers, editors, students, and educators in the social and behavioral sciences, nursing, education, business, and related disciplines.",Dictionaries-Languages
5,"This perfect gift for readers, writers, and literature majors alike unearths the quirks of the English language. For example, do you know why a mortgage is literally a “death pledge”? Why guns have girls’ names? Why “salt” is related to “soldier”? Discover the answers to all of these etymological questions and more in this fascinating book for fans of of Eats, Shoots & Leaves. The Etymologicon is a completely unauthorized guide to the strange underpinnings of the English language. It explains how you get from “gruntled” to “disgruntled”; why you are absolutely right to believe that your meager salary barely covers “money for salt”; how the biggest chain of coffee shops in the world connects to whaling in Nantucket; and what, precisely, the Rolling Stones have to do with gardening. This witty book will awake the linguist in you and illuminate the hidden meanings behind common words and phrases, tracing their evolution through all of their surprising paths throughout history.",Dictionaries-Languages
6,Presents a twelve-week program intended to increase creativity by capturing the creative energy of the universe.,Dictionaries-Languages
7,"FROM THE AUTHOR OF THE SUNDAY TIMES NUMBER ONE BESTSELLER THE ETYMOLOGICON. ‘An informative but highly entertaining journey through the figures of rhetoric ... Mark Forsyth wears his considerable knowledge lightly. He also writes beautifully.’ David Marsh, Guardian. Mark Forsyth presents the secret of writing unforgettable phrases, uncovering the techniques that have made immortal such lines as ‘To be or not to be’ and ‘Bond. James Bond.’ In his inimitably entertaining and witty style, he takes apart famous quotations and shows how you too can write like Shakespeare, Oscar Wilde or John Lennon. Crammed with tricks to make the most humdrum sentiments seem poetic or wise, The Elements of Eloquence reveals how writers through the ages have turned humble words into literary gold – and how you can do the same.",Dictionaries-Languages
8,"A runaway hit and Sunday Times bestseller, My Grammar and I has continued to grow in popularity, becoming the go-to guide for grammar. My Grammar and I offers amusing examples of awful grammar, while steering you in the direction of grammatical greatness. Taking you on a tour of the English language through the minefield of rules and conditions that can catch you out, from dangling modifiers to split infinitives, it highlights the common pitfalls that every English language user faces on a day to day basis. Refreshing everything you should have learnt at school and more, My Grammar and I is informative yet entertaining - an ideal buy for any English language enthusiast.",Dictionaries-Languages
9,"From the acclaimed New York Times bestselling author: An essential volume for generations of writers young and old. The twenty-fifth anniversary edition of this modern classic will continue to spark creative minds for years to come. For a quarter century, more than a million readers—scribes and scribblers of all ages and abilities—have been inspired by Anne Lamott’s hilarious, big-hearted, homespun advice. Advice that begins with the simple words of wisdom passed down from Anne’s father—also a writer—in the iconic passage that gives the book its title: “Thirty years ago my older brother, who was ten years old at the time, was trying to get a report on birds written that he’d had three months to write. It was due the next day. We were out at our family cabin in Bolinas, and he was at the kitchen table close to tears, surrounded by binder paper and pencils and unopened books on birds, immobilized by the hugeness of the task ahead. Then my father sat down beside him, put his arm around my brother’s shoulder, and said, ‘Bird by bird, buddy. Just take it bird by bird.’”",Dictionaries-Languages
10,"We all know the basics of punctuation. Or do we? A look at most neighborhood signage tells a different story. Through sloppy usage and low standards on the internet, in email, and now text messages, we have made proper punctuation an endangered species. In Eats, Shoots & Leaves, former editor Lynne Truss dares to say, in her delightfully urbane, witty, and very English way, that it is time to look at our commas and semicolons and see them as the wonderful and necessary things they are. This is a book for people who love punctuation and get upset when it is mishandled. From the invention of the question mark in the time of Charlemagne to George Orwell shunning the semicolon, this lively history makes a powerful case for the preservation of a system of printing conventions that is much too subtle to be mucked about with.",Dictionaries-Languages
11,On Writing Well,Dictionaries-Languages
12,"Analyzes the art of reading and suggests ways to approach literary works, offering techniques for reading in specific literary genres ranging from fiction, poetry, and plays to scientific and philosophical works.",Dictionaries-Languages
13,Paperback Oxford English Dictionary,Dictionaries-Languages
14,"This ultimate insider's guide reveals the secrets that none dare admit, told by a show biz veteran who's proven that you can sell your script if you can save the cat!",Dictionaries-Languages
15,"With hit books that support strategic reading through conferring, small groups, and assessment, Jen Serravallo gets emails almost daily asking, ""Isn't there a book of the strategies themselves?"" Now there is. ""Strategies make the often invisible work of reading actionable and visible,"" Jen writes. In The Reading Strategies Book, she collects 300 strategies to share with readers in support of thirteen goals-everything from fluency to literary analysis. Each strategy is cross-linked to skills, genres, and Fountas & Pinnell reading levels to give you just-right teaching, just in time. With Jen's help you'll: develop goals for every reader give students step-by-step strategies for skilled reading guide readers with prompts aligned to the strategies adjust instruction to meet individual needs with Jen's Teaching Tips craft demonstrations and explanations with her Lesson Language learn more with Hat Tips to the work of influential teacher-authors. Whether you use readers workshop, Daily 5/CAFE, guided reading, balanced reading, a core reading program, whole-class novels, or any other approach, The Reading Strategies Book will complement and extend your teaching. Rely on it to plan and implement goal-directed, differentiated instruction for individuals, small groups, and whole classes. ""We offer strategies to readers to put the work in doable terms for those who are still practicing,"" writes Jen Serravallo. ""The goal is not that they can do the steps of the strategy but that they become more comfortable and competent with a new skill."" With The Reading Strategies Book, you'll have ways to help your readers make progress every day.",Dictionaries-Languages
16,"""If you're ready to graduate from the boy-meets-girl league of screenwriting, meet John Truby . . . [his lessons inspire] epiphanies that make you see the contours of your psyche as sharply as your script."" —LA Weekly John Truby is one of the most respected and sought-after story consultants in the film industry, and his students have gone on to pen some of Hollywood's most successful films, including Sleepless in Seattle, Scream, and Shrek. The Anatomy of Story is his long-awaited first book, and it shares all his secrets for writing a compelling script. Based on the lessons in his award-winning class, Great Screenwriting, The Anatomy of Story draws on a broad range of philosophy and mythology, offering fresh techniques and insightful anecdotes alongside Truby's own unique approach to building an effective, multifaceted narrative.",Dictionaries-Languages
