,text,label
0,"The perfect book collection for the littlest readers! Peppa and George are getting ready for bed with this sweet little library of bedtime books. From bathtime to storytime, bedtime to dream time, this little library is the ideal gift to help little ones settle off to sleep too. The back covers even make a jigsaw puzzle for busy little hands to make! Titles available from Ladybird include: Peppa Pig Little Library and Peppa Pig Fairy Tale Little Library",Graphic-Novels-Anime-Manga
1,"A New York Times Best Illustrated Children's Book of 2011! A picture-book delight by a rising talent tells a cumulative tale with a mischievous twist. Features an audio read-along! The bear’s hat is gone, and he wants it back. Patiently and politely, he asks the animals he comes across, one by one, whether they have seen it. Each animal says no, some more elaborately than others. But just as the bear begins to despond, a deer comes by and asks a simple question that sparks the bear’s memory and renews his search with a vengeance. Told completely in dialogue, this delicious take on the classic repetitive tale plays out in sly illustrations laced with visual humor-- and winks at the reader with a wry irreverence that will have kids of all ages thrilled to be in on the joke.",Graphic-Novels-Anime-Manga
2,"A clever mouse uses the threat of a terrifying creature to keep from being eaten by a fox, an owl, and a snake--only to have to outwit that creature as well. On board pages.",Graphic-Novels-Anime-Manga
3,"Fifteen-year-old Ari Mendoza is an angry loner with a brother in prison, but when he meets Dante and they become friends, Ari starts to ask questions about himself, his parents and his family that he has never asked before.",Graphic-Novels-Anime-Manga
4,Synopsis coming soon.......,Graphic-Novels-Anime-Manga
5,The most beautiful fish in the entire ocean discovers the real value of personal beauty and friendship.,Graphic-Novels-Anime-Manga
6,"A young girl explores what different emotions feel like, such as happiness which makes her want to twirl, or sadness which feels as heavy as an elephant.",Graphic-Novels-Anime-Manga
7,"Distinctive Styles and Authorship in Alternative Comics addresses the benefits and limits of analyses of style in alternative comics. It offers three close readings of works serially published between 1980 and 2018 – Art Spiegelman’s Maus, Alison Bechdel’s Dykes to Watch Out For, and Jason Lutes’ Berlin – and discusses how artistic style may influence the ways in which readers construct authorship.",Graphic-Novels-Anime-Manga
8,"WARNING: This is not the actual book Looking for Alaska by John Green. Do not buy this reading Sidekick if you are looking for a full copy of this great book.Use this expert sidekick to dissect these themes in Looking for Alaska, while enjoying a detailed analysis of each chapter of the book. If that wasn't enough, we close with potential questions and responses to help you get the conversation started with co-workers, friends, or fellow book club members.This newly discovered gem from the past (2005) has become a must-read, thanks in no small part to the success of Green's 2012 masterpiece: The Fault in Our Stars. As many Green fans have already discovered, our sidekick is the ultimate go-to source for understanding the complexities of John Green's tales of teen angst and tragedy. Looking for Alaska tells the story of Miles Halter, a 16-year-old with a nondescript life who is seeking a ""Great Perhaps."" In his quest, he finds himself at the Culver Creek Boarding School, where his past life of boredom and safety takes a back seat to adventure and sexual experimentation.His trek to the other side of the tracks takes him only a few steps, as he meets Alaska Young just down the hall at school. She is sexy, funny, and everything else that makes teenage boys drool. She is also a self-destructive sort, headed toward the ""After"" portion of Looking for Alaska, where everything comes crashing down. As our sidekick details, the themes of life and death weave their way through the novel, drawing the characters closer together while preparing them for something that will rip them apart.",Graphic-Novels-Anime-Manga
9,"A hilarious, touching and extraordinary fable from David Walliams, number one bestseller and fastest growing children’s author across the globey, with EXCLUSIVE audio and video from David Walliams",Graphic-Novels-Anime-Manga
10,"The second original, touching, twisted, and most of all hilarious novel for children from David Walliams, number one bestseller and fastest growing children’s author in the country – beautifully illustrated by Quentin Blake.",Graphic-Novels-Anime-Manga
11,"'Welcome to the Knight Bus, emergency transport for the stranded witch or wizard. Just stick out your wand hand, step on board and we can take you anywhere you want to go.' When the Knight Bus crashes through the darkness and screeches to a halt in front of him, it's the start of another far from ordinary year at Hogwarts for Harry Potter. Sirius Black, escaped mass-murderer and follower of Lord Voldemort, is on the run - and they say he is coming after Harry. In his first ever Divination class, Professor Trelawney sees an omen of death in Harry's tea leaves... But perhaps most terrifying of all are the Dementors patrolling the school grounds, with their soul-sucking kiss... Having become classics of our time, the Harry Potter eBooks never fail to bring comfort and escapism. With their message of hope, belonging and the enduring power of truth and love, the story of the Boy Who Lived continues to delight generations of new readers.",Graphic-Novels-Anime-Manga
