,text,label
0,"In the US edition of this international bestseller, Adam Kay channels Henry Marsh and David Sedaris to tell us the ""darkly funny"" (The New Yorker) -- and sometimes horrifying -- truth about life and work in a hospital. Welcome to 97-hour weeks. Welcome to life and death decisions. Welcome to a constant tsunami of bodily fluids. Welcome to earning less than the hospital parking meter. Wave goodbye to your friends and relationships. Welcome to the life of a first-year doctor. Scribbled in secret after endless days, sleepless nights and missed weekends, comedian and former medical resident Adam Kay's This Is Going to Hurt provides a no-holds-barred account of his time on the front lines of medicine. Hilarious, horrifying and heartbreaking by turns, this is everything you wanted to know -- and more than a few things you didn't -- about life on and off the hospital ward. And yes, it may leave a scar.",Humour
1,"When a new, chatty, young couple and their two daughters move in next door, Ove's well-ordered, solitary world turns upside down.",Humour
2,"#1 NEW YORK TIMES BESTSELLER • More than one million copies sold! A “brilliant” (Lupita Nyong’o, Time), “poignant” (Entertainment Weekly), “soul-nourishing” (USA Today) memoir about coming of age during the twilight of apartheid “Noah’s childhood stories are told with all the hilarity and intellect that characterizes his comedy, while illuminating a dark and brutal period in South Africa’s history that must never be forgotten.”—Esquire Winner of the Thurber Prize for American Humor and an NAACP Image Award • Named one of the best books of the year by The New York Time, USA Today, San Francisco Chronicle, NPR, Esquire, Newsday, and Booklist Trevor Noah’s unlikely path from apartheid South Africa to the desk of The Daily Show began with a criminal act: his birth. Trevor was born to a white Swiss father and a black Xhosa mother at a time when such a union was punishable by five years in prison. Living proof of his parents’ indiscretion, Trevor was kept mostly indoors for the earliest years of his life, bound by the extreme and often absurd measures his mother took to hide him from a government that could, at any moment, steal him away. Finally liberated by the end of South Africa’s tyrannical white rule, Trevor and his mother set forth on a grand adventure, living openly and freely and embracing the opportunities won by a centuries-long struggle. Born a Crime is the story of a mischievous young boy who grows into a restless young man as he struggles to find himself in a world where he was never supposed to exist. It is also the story of that young man’s relationship with his fearless, rebellious, and fervently religious mother—his teammate, a woman determined to save her son from the cycle of poverty, violence, and abuse that would ultimately threaten her own life. The stories collected here are by turns hilarious, dramatic, and deeply affecting. Whether subsisting on caterpillars for dinner during hard times, being thrown from a moving car during an attempted kidnapping, or just trying to survive the life-and-death pitfalls of dating in high school, Trevor illuminates his curious world with an incisive wit and unflinching honesty. His stories weave together to form a moving and searingly funny portrait of a boy making his way through a damaged world in a dangerous time, armed only with a keen sense of humor and a mother’s unconventional, unconditional love.",Humour
3,"“Not gonna lie, this is probably the coolest journal you’ll ever see. . . . Wreck This Journal is here to inspire you.” —Buzzfeed A spectacular coloring and painting edition of the incredible journal that started it all, in celebration of the tenth anniversary of the 10-million-copy international bestseller Perhaps you're a seasoned Wreck-er, having made your way through one or more copies of Wreck This Journal. Or maybe you're new to the phenomenon (little do you know, this experience might just change your life). Whatever the case, you've found the perfect book to destroy... Welcome to an all new-edition of Wreck This Journal, now in spectacular full color! Inside, you'll find prompts for painting, shredding, transforming, and unleashing your creativity. With a mix of new, altered, and favorite prompts, Wreck This Journal: Now in Color invites you to wreck with color: mixing colors to make mud, letting chance dictate your color choice, weaving with brightly colored strips of paper, and more. What colors will you use to you wreck your journal? “A conceptual artist and author luring kids into questioning the world and appreciating every smell, texture and mystery in it.” —TIME Magazine “Keri Smith may well be the self-help guru this DIY generation deserves.” —The Believer",Humour
4,"The ""genius"" national bestseller on the art of caring less and getting more -- from the author of Calm the F*ck Down and F*ck No (Cosmopolitan). Are you stressed out, overbooked, and underwhelmed by life? Fed up with pleasing everyone else before you please yourself? It's time to stop giving a f*ck. This brilliant, hilarious, and practical parody of Marie Kondo's bestseller The Life-Changing Magic of Tidying Up explains how to rid yourself of unwanted obligations, shame, and guilt -- and give your f*cks instead to people and things that make you happy. The easy-to-use, two-step NotSorry Method for mental decluttering will help you unleash the power of not giving a f*ck about: Family drama Having a ""bikini body"" Iceland Co-workers' opinions, pets, and children And other bullsh*t! And it will free you to spend your time, energy, and money on the things that really matter. So what are you waiting for? Stop giving a f*ck and start living your best life today! Discover more of the magic of not giving a f*ck with The Life-Changing Magic of Not Giving a F*ck Journal.",Humour
5,"New York Times and USA Today bestseller Roni Loren blends heat and heart in this emotionally charged story of: A frightened woman longing to break free A wounded man searching for his purpose An unexpected friendship turned sizzling hot connection And an emotional climax that'll have them both learning to let go The world can be a scary place. At least, that's what Andi Lockley's anxiety wants her to believe. It doesn't help that she narrowly escaped a dangerous man years ago, or that every relationship since has been colored with that lingering fear. But things are better now—she's channeling everything into her career as a horror novelist and true crime podcaster, and her next book may be the breakthrough she needs. If only her grumpy new neighbor would stop stomping around at all hours of the night. Former firefighter Hill Dawson can't sleep. After losing part of his leg in a rescue gone wrong, he's now stuck in limbo. He needs to figure out what he's supposed to do with his life, and he can't let himself get distracted by the pretty redhead next door. But when someone breaks into Andi's place, Hill can't stop himself from rushing in to play the hero. Soon, a tentative bond forms between the unlikely pair. But what starts out as a neighborly exchange quickly turns into the chance for so much more...if Andi can learn to put aside her fear and trust in herself—and love—again. Readers Rave About Books By Roni Loren: ""Phenomenal.""—LORELEI JAMES, New York Times and USA Today bestselling author ""Unforgettable.""—KRISTEN CALLIHAN, New York Times and USA Today bestselling author ""Unique, swoony, and lively.""—SARINA BOWEN, USA Today bestselling author ""Don't let this book get away!""—M. O'KEEFE, USA Today bestselling author ""A must-read.""—Publishers Weekly STARRED Review for The One You Fight For",Humour
6,"About the Author Barney Stinson is an awesome dude who lives in New York City and appears weekly on the hit CBS show How I Met Your Mother. Matt Kuhn is one of the coolest staff writers for How I Met Your Mother and helps write Barney’s Blog on the show’s website. He lives in Los Angeles, California. Everyone's life is governed by an internal code of conduct. Some call it morality. Others call it religion. But Bros in the know call this holy grail The Bro Code. Historically a spoken tradition passed from one generation to the next, the official code of conduct for Bros appears here in its published form for the first time ever. By upholding the tenets of this sacred and legendary document, any dude can learn to achieve Bro-dom.",Humour
7,"The #1 New York Times Bestseller: “A hilarious take on that age-old problem: getting the beloved child to go to sleep” (NPR). “Hell no, you can’t go to the bathroom. You know where you can go? The f**k to sleep.” Go the Fuck to Sleep is a book for parents who live in the real world, where a few snoozing kitties and cutesy rhymes don’t always send a toddler sailing blissfully off to dreamland. Profane, affectionate, and radically honest, it captures the familiar—and unspoken—tribulations of putting your little angel down for the night. Read by a host of celebrities, from Samuel L. Jackson to Jennifer Garner, this subversively funny bestselling storybook will not actually put your kids to sleep, but it will leave you laughing so hard you won’t care.",Humour
8,"Perching on the porcelain can be very boring when you have nothing to do but poo. But fear no more, as excretion expert Hugh Jassburn has put together a compendium of entertaining activities and informative fun that will make you want to stay put, even if you don't need to go. Doing a number two will never be the same again. Filled with clever mazes, trivia, searches, and puzzles all focused on the act, history, and science of pooing, 52 Things to do While You Poo will keep you entertained for as long as you need.",Humour
9,"Everything I Know About Love is streaming now on Peacock! ""There is no writer quite like Dolly Alderton working today and very soon the world will know it.” —Lisa Taddeo, author of #1 New York Times bestseller Three Women “Dolly Alderton has always been a sparkling Roman candle of talent. She is funny, smart, and explosively engaged in the wonders and weirdness of the world. But what makes this memoir more than mere entertainment is the mature and sophisticated evolution that Alderton describes in these pages. It’s a beautifully told journey and a thoughtful, important book. I loved it.” —Elizabeth Gilbert, New York Times bestselling author of Eat, Pray, Love and City of Girls The wildly funny, occasionally heartbreaking internationally bestselling memoir about growing up, growing older, and learning to navigate friendships, jobs, loss, and love along the ride When it comes to the trials and triumphs of becoming an adult, journalist and former Sunday Times columnist Dolly Alderton has seen and tried it all. In her memoir, she vividly recounts falling in love, finding a job, getting drunk, getting dumped, realizing that Ivan from the corner shop might just be the only reliable man in her life, and that absolutely no one can ever compare to her best girlfriends. Everything I Know About Love is about bad dates, good friends and—above all else— realizing that you are enough. Glittering with wit and insight, heart and humor, Dolly Alderton’s unforgettable debut weaves together personal stories, satirical observations, a series of lists, recipes, and other vignettes that will strike a chord of recognition with women of every age—making you want to pick up the phone and tell your best friends all about it. Like Bridget Jones’ Diary but all true, Everything I Know About Love is about the struggles of early adulthood in all its terrifying and hopeful uncertainty.",Humour
