,text,label
0,"The book is divided into four chapters, and each chapter serves a different purpose. Deals with a different pain. Heals a different heartache. Milk and Honey takes readers through a journey of the most bitter moments in life and finds sweetness in them because there is sweetness everywhere if you are just willing to look.",Mind-Body-Spirit
1,"To make the journey into the Now we will need to leave our analytical mind and its false created self, the ego, behind. From the very first page of Eckhart Tolle's extraordinary book, we move rapidly into a significantly higher altitude where we breathe a lighter air. We become connected to the indestructible essence of our Being, “The eternal, ever present One Life beyond the myriad forms of life that are subject to birth and death.” Although the journey is challenging, Eckhart Tolle uses simple language and an easy question and answer format to guide us. A word of mouth phenomenon since its first publication, The Power of Now is one of those rare books with the power to create an experience in readers, one that can radically change their lives for the better.",Mind-Body-Spirit
2,"A guide to ACT: the revolutionary mindfulness-based program for reducing stress, overcoming fear, and finding fulfilment – now updated. International bestseller, 'The Happiness Trap', has been published in over thirty countries and twenty-two languages. NOW UPDATED. Popular ideas about happiness are misleading, inaccurate, and are directly contributing to our current epidemic of stress, anxiety and depression. And unfortunately, popular psychological approaches are making it even worse! In this easy-to-read, practical and empowering self-help book, Dr Russ Harries, reveals how millions of people are unwittingly caught in the 'The Happiness Trap', where the more they strive for happiness the more they suffer in the long term. He then provides an effective means to escape through the insights and techniques of ACT (Acceptance and Commitment Therapy), a groundbreaking new approach based on mindfulness skills. By clarifying your values and developing mindfulness (a technique for living fully in the present moment), ACT helps you escape the happiness trap and find true satisfaction in life. Mindfulness skills are easy to learn and will rapidly and effectively help you to reduce stress, enhance performance, manage emotions, improve health, increase vitality, and generally change your life for the better. The book provides scientifically proven techniques to: reduce stress and worry; rise above fear, doubt and insecurity; handle painful thoughts and feelings far more effectively; break self-defeating habits; improve performance and find fulfilment in your work; build more satisfying relationships; and, create a rich, full and meaningful life.",Mind-Body-Spirit
3,"NEW YORK TIMES BESTSELLER • In hardcover for the first time, this tenth-anniversary edition of the game-changing #1 New York Times bestseller features a new foreword and brand-new tools to make the work your own. For over a decade, Brené Brown has found a special place in our hearts as a gifted mapmaker and a fellow traveler. She is both a social scientist and a kitchen-table friend whom you can always count on to tell the truth, make you laugh, and, on occasion, cry with you. And what’s now become a movement all started with The Gifts of Imperfection, which has sold more than two million copies in thirty-five different languages across the globe. What transforms this book from words on a page to effective daily practices are the ten guideposts to wholehearted living. The guideposts not only help us understand the practices that will allow us to change our lives and families, they also walk us through the unattainable and sabotaging expectations that get in the way. Brené writes, “This book is an invitation to join a wholehearted revolution. A small, quiet, grassroots movement that starts with each of us saying, ‘My story matters because I matter.’ Revolution might sound a little dramatic, but in this world, choosing authenticity and worthiness is an absolute act of resistance.”",Mind-Body-Spirit
4,"Over 16 million copies sold worldwide 'Every human being should read this book' Simon Sinek One of the outstanding classics to emerge from the Holocaust, Man's Search for Meaning is Viktor Frankl's story of his struggle for survival in Auschwitz and other Nazi concentration camps. Today, this remarkable tribute to hope offers us an avenue to finding greater meaning and purpose in our own lives.",Mind-Body-Spirit
5,"#1 New York Times bestseller “Essential reading for anyone interested in understanding and treating traumatic stress and the scope of its impact on society.” —Alexander McFarlane, Director of the Centre for Traumatic Stress Studies A pioneering researcher transforms our understanding of trauma and offers a bold new paradigm for healing in this New York Times bestseller Trauma is a fact of life. Veterans and their families deal with the painful aftermath of combat; one in five Americans has been molested; one in four grew up with alcoholics; one in three couples have engaged in physical violence. Dr. Bessel van der Kolk, one of the world’s foremost experts on trauma, has spent over three decades working with survivors. In The Body Keeps the Score, he uses recent scientific advances to show how trauma literally reshapes both body and brain, compromising sufferers’ capacities for pleasure, engagement, self-control, and trust. He explores innovative treatments—from neurofeedback and meditation to sports, drama, and yoga—that offer new paths to recovery by activating the brain’s natural neuroplasticity. Based on Dr. van der Kolk’s own research and that of other leading specialists, The Body Keeps the Score exposes the tremendous power of our relationships both to hurt and to heal—and offers new hope for reclaiming lives.",Mind-Body-Spirit
6,"In The Four Agreements, bestselling author don Miguel Ruiz reveals the source of self-limiting beliefs that rob us of joy and create needless suffering. Based on ancient Toltec wisdom, The Four Agreements offer a powerful code of conduct that can rapidly transform our lives to a new experience of freedom, true happiness, and love. • A New York Times bestseller for over a decade • Translated into 46 languages worldwide “This book by don Miguel Ruiz, simple yet so powerful, has made a tremendous difference in how I think and act in every encounter.” — Oprah Winfrey “Don Miguel Ruiz’s book is a roadmap to enlightenment and freedom.” — Deepak Chopra, Author, The Seven Spiritual Laws of Success “An inspiring book with many great lessons.” — Wayne Dyer, Author, Real Magic “In the tradition of Castaneda, Ruiz distills essential Toltec wisdom, expressing with clarity and impeccability what it means for men and women to live as peaceful warriors in the modern world.” — Dan Millman, Author, Way of the Peaceful Warrior",Mind-Body-Spirit
7,"More and more of us are suffering from the stresses and strains of modern life. Mindfulness is an increasingly popular discipline that can not only help alleviate the symptoms of stress, anxiety and depression brought on by the pressures of our daily existence but can actually bring calm, joy and happiness into our lives. In The Little Book of Mindfulness Tiddy Rowan, herself a practitioner for over 30 years, has gathered together a seminal collection of over 150 techniques, tips, exercises, advice and guided meditations that will enable people at every level to follow the breath, still the mind and relax the body, whilst generating and boosting a feeling of well-being and contentment that will permeate every aspect of everyday life. The perfect little gift to bring lasting happiness and peace for friends and family.",Mind-Body-Spirit
8,"The chapters of this book are nothing but mirrors for seeing your ''self'' from different angles. And though the journey we are about to embark on is an inner one, it will draw upon every aspect of your life. The only requirement asked of you is the willingness to honestly look at yourself in the most natural, intuitive manner. Remember, if we are seeking the root of ''self,'' what we are actually seeking is you. As you read through these pages, you will find that you know much more than you thought you did about some very deep subjects. The fact is, you already know how to find yourself; you have just gotten distracted and disoriented. Once refocused, you will realize that you not only have the ability to find yourself, you have the ability to free yourself. Whether you choose to do so or not is entirely up to you. But upon completion of your journey through these chapters, there will be no more confusion, no more lack of empowerment, and no more blaming others. You will know exactly what must be done. And should you choose to devote yourself to the ongoing journey of self-realization, you will develop a tremendous sense of respect for who you really are. It is only then that you will come to appreciate the full depth of meaning in the advice: ''This above all: to thine own self be true.'' ---- Introduction",Mind-Body-Spirit
9,"Read the series that's sold more than 2 million copies--if you dare! Warning: this description has not been authorized by Pseudonymous Bosch. As much as he'd love to sing the praises of his book (he is very vain), he wouldn't want you to hear about his brave 11-year old heroes, Cass and Max-Ernest. Or about how a mysterious box of vials, the Symphony of Smells, sends them on the trail of a magician who has vanished under strange (and stinky) circumstances. And he certainly wouldn't want you to know about the hair-raising adventures that follow and the nefarious villains they face. You see, not only is the name of this book secret, the story inside is, too. For it concerns a secret. A Big Secret.",Mind-Body-Spirit
