,text,label
0,"The original bestseller and heartwarming story of the life-saving friendship between a man and his streetwise cat '[Bob] has entranced London like no feline since the days of Dick Whittington.' (Evening Standard) 'A heartwarming tale with a message of hope' (Daily Mail) 'Reminded me how amazing having a cat can be' (Glamour) * * * * * * * * The uplifting true story of an unlikely friendship between a man on the streets of Covent Garden and the ginger cat who adopts him and helps him heal his life. Now a major motion picture starring Luke Treadaway. When James Bowen found an injured, ginger street cat curled up in the hallway of his sheltered accommodation, he had no idea just how much his life was about to change. James was living hand to mouth on the streets of London and the last thing he needed was a pet. Yet James couldn't resist helping the strikingly intelligent tom cat, whom he quickly christened Bob. He slowly nursed Bob back to health and then sent the cat on his way, imagining he would never see him again. But Bob had other ideas. Soon the two were inseparable and their diverse, comic and occasionally dangerous adventures would transform both their lives, slowly healing the scars of each other's troubled pasts. A Street Cat Named Bob is a moving and uplifting story that will touch the heart of anyone who reads it. IF you love A Street Cat Named Bob, don't miss The Little Book of Bob, the new book from James and Bob.",Natural-History
1,"From the author of The Tenth Gift comes another story of exotic, foreign lands, entwining storylines spanning generations, and the quests to overcome love lost. ""My dear Isabelle, in the attic you will find a box with your name on it."" Isabelle's estranged archeologist father dies, leaving her a puzzle. In a box she finds some papers and a mysterious African amulet — but their connection to her remains unclear until she embarks on a trip to Morocco to discover how the amulet came into her father's possession. When the amulet is damaged and Isabelle almost killed in an accident, she fears her curiosity has got the better of her. But Taib, her rescuer, knows the dunes and their peoples, and offers to help uncover the amulet's extraordinary history, involving Tin Hinan — She of the Tents — who made a legendary crossing of the desert, and her beautiful descendant Mariata. Across years and over hot, shifting sands, tracking the Salt Road, the stories of Isabelle and Taib, Mariata and her lover, become entangled with that of the lost amulet. It is a tale of souls wounded by history and of love blossoming on barren ground. From the Hardcover edition.",Natural-History
2,"Walden: Or, Life in the Woods",Natural-History
3,Sunday Times Bestseller ‘A paradigm-smashing chronicle of joyous entanglement’ Charles Foster Waterstones Non-Fiction Book of the Month (September) Are trees social beings? How do trees live? Do they feel pain or have awareness of their surroundings?,Natural-History
4,"#1 NATIONAL BESTSELLER • ""A harrowing tale of the perils of high-altitude climbing, a story of bad luck and worse judgment and of heartbreaking heroism."" —PEOPLE A bank of clouds was assembling on the not-so-distant horizon, but journalist-mountaineer Jon Krakauer, standing on the summit of Mt. Everest, saw nothing that ""suggested that a murderous storm was bearing down."" He was wrong. The storm, which claimed five lives and left countless more--including Krakauer's--in guilt-ridden disarray, would also provide the impetus for Into Thin Air, Krakauer's epic account of the May 1996 disaster. By writing Into Thin Air, Krakauer may have hoped to exorcise some of his own demons and lay to rest some of the painful questions that still surround the event. He takes great pains to provide a balanced picture of the people and events he witnessed and gives due credit to the tireless and dedicated Sherpas. He also avoids blasting easy targets such as Sandy Pittman, the wealthy socialite who brought an espresso maker along on the expedition. Krakauer's highly personal inquiry into the catastrophe provides a great deal of insight into what went wrong. But for Krakauer himself, further interviews and investigations only lead him to the conclusion that his perceived failures were directly responsible for a fellow climber's death. Clearly, Krakauer remains haunted by the disaster, and although he relates a number of incidents in which he acted selflessly and even heroically, he seems unable to view those instances objectively. In the end, despite his evenhanded and even generous assessment of others' actions, he reserves a full measure of vitriol for himself. This updated trade paperback edition of Into Thin Air includes an extensive new postscript that sheds fascinating light on the acrimonious debate that flared between Krakauer and Everest guide Anatoli Boukreev in the wake of the tragedy. ""I have no doubt that Boukreev's intentions were good on summit day,"" writes Krakauer in the postscript, dated August 1999. ""What disturbs me, though, was Boukreev's refusal to acknowledge the possibility that he made even a single poor decision. Never did he indicate that perhaps it wasn't the best choice to climb without gas or go down ahead of his clients."" As usual, Krakauer supports his points with dogged research and a good dose of humility. But rather than continue the heated discourse that has raged since Into Thin Air's denouncement of guide Boukreev, Krakauer's tone is conciliatory; he points most of his criticism at G. Weston De Walt, who coauthored The Climb, Boukreev's version of events. And in a touching conclusion, Krakauer recounts his last conversation with the late Boukreev, in which the two weathered climbers agreed to disagree about certain points. Krakauer had great hopes to patch things up with Boukreev, but the Russian later died in an avalanche on another Himalayan peak, Annapurna I. In 1999, Krakauer received an Academy Award in Literature from the American Academy of Arts and Letters--a prestigious prize intended ""to honor writers of exceptional accomplishment."" According to the Academy's citation, ""Krakauer combines the tenacity and courage of the finest tradition of investigative journalism with the stylish subtlety and profound insight of the born writer. His account of an ascent of Mount Everest has led to a general reevaluation of climbing and of the commercialization of what was once a romantic, solitary sport; while his account of the life and death of Christopher McCandless, who died of starvation after challenging the Alaskan wilderness, delves even more deeply and disturbingly into the fascination of nature and the devastating effects of its lure on a young and curious mind.""",Natural-History
5,"#1 NEW YORK TIMES BESTSELLER Winner of the Pulitzer Prize in Fiction Winner of the William Dean Howells Medal Winner of France's Grand Prix de Littérature Américaine Finalist for the Man Booker Prize Finalist for the PEN/Jean Stein Book Award Finalist for the PEN/Faulkner Award ""Monumental. . . . A gigantic fable of genuine truths."" --Barbara Kingsolver, The New York Times Book Review The Overstory is a sweeping, impassioned work of activism and resistance that is also a stunning evocation of--and paean to--the natural world. From the roots to the crown and back to the seeds, Richard Powers's twelfth novel unfolds in concentric rings of interlocking fables that range from antebellum New York to the late twentieth-century Timber Wars of the Pacific Northwest and beyond. There is a world alongside ours--fast, slow, interconnected, resourceful, magnificently inventive, and almost invisible to us. This is the story of a handful of people who learn how to see that world and who are drawn up into its unfolding catastrophe.",Natural-History
6,Reproduction of the original: A Shepherd's Life by William Henry Hudson,Natural-History
7,Lost Ocean,Natural-History
8,Sunday Times Bestseller ‘A paradigm-smashing chronicle of joyous entanglement’ Charles Foster Waterstones Non-Fiction Book of the Month (September) Are trees social beings? How do trees live? Do they feel pain or have awareness of their surroundings?,Natural-History
9,"Destined to be a classic of nature writing, the story of how one woman trained a goshawk. As a child Helen Macdonald was determined to become a falconer. She learned the arcane terminology and read all the classic books, including T. H. White’s tortured masterpiece, The Goshawk, which describes White’s struggle to train a hawk as a spiritual contest. When her father dies and she is knocked sideways by grief, she becomes obsessed with the idea of training her own goshawk. She buys Mabel for £800 on a Scottish quayside and takes her home to Cambridge. Then she fills the freezer with hawk food and unplugs the phone, ready to embark on the long, strange business of trying to train this wildest of animals. H is for Hawk is a record of a spiritual journey—an unflinchingly honest account of Macdonald’s struggle with grief during the difficult process of the hawk’s taming and her own untaming. At the same time, it’s a kaleidoscopic biography of the brilliant and troubled novelist T. H. White, best known for The Once and Future King. It’s a book about memory, nature and nation, and how it might be possible to try to reconcile death with life and love. As John Vaillant’s The Tiger depicted the dangerous collision of people and nature, H is for Hawk evokes our deepest longings for something wild. With stunning language that that resonates long after the book’s conclusion, H is for Hawk is destined to be a classic of nature writing.",Natural-History
10,"Cat fanciers and coloring enthusiasts will be enchanted with this gallery of original designs. More than 30 full-page portraits of pretty pussycats form a rich tapestry of motifs that includes hearts, flowers, and paisleys in various patterns. Pages are perforated and printed on one side only for easy removal and display. Specially designed for experienced colorists, Creative Cats and other Creative Haven® adult coloring books offer an escape to a world of inspiration and artistic fulfillment. Each title is also an effective and fun-filled way to relax and reduce stress.",Natural-History
11,"All Cats Have Asperger Syndrome takes a playful look at Asperger Syndrome (AS), drawing inspiration from the feline world in a way that will strike a chord with all those who are familiar with AS. Delightful colour photographs of cats bring to life familiar characteristics such as sensitive hearing, scampering at the first sign of being stroked, and particular eating habits. Touching, humorous and insightful, this book evokes the difficulties and joys of raising a child who is different and leaves the reader with a sense of the dignity, individuality, and potential of people with AS. This engaging book is an ideal, gentle introduction to the world of AS. `There is a great deal of truth in humour. If you have only just begun to discover why someone with Asperger's syndrome is different, this book will inform and entertain you. The descriptions provide an accurate balance between the qualities and difficulties associated with Asperger's syndrome, while the photographs will make the journey of discovery enjoyable and remarkable.' - Tony Attwood, author of Asperger's Syndrome and The Complete Guide to Asperger's Syndrome",Natural-History
12,"The trilogy that inspired ITV's six part television series The Durrells. Three classic tales of childhood on an island paradise - My Family and Other Animals, Birds, Beasts and Relatives and The Garden of the Gods by Gerald Durrell - are available in a single edition for the first time in The Corfu Trilogy. Just before the Second World War the Durrell family decamped to the glorious, sun-soaked island of Corfu where the youngest of the four children, ten-year-old Gerald, discovered his passion for animals: toads and tortoises, bats and butterflies, scorpions and octopuses. Through glorious silver-green olive groves and across brilliant-white beaches Gerry pursued his obsession . . . causing hilarity and mayhem in his ever-tolerant family. Durrell's memories of those enchanted days gave rise to these three classic tales, loved by generations of adults and children alike, which are now available in one volume for the first time. 'He has an uncanny knack of discovering human as well as animal eccentrics' Sunday Telegraph 'A delightful book full of simple, well-known things: cicadas in the olive groves, lamp fishing at night, the complexities of fish and animals - but, above all, childhood moulded by these things' New York Times",Natural-History
13,"The best-selling author of The God Delusion and the artist of such award-winning graphic novels as Wizard and Glass address key scientific questions previously explained by rich mythologies, from the evolution of the first humans and the life cycle of stars to the principles of a rainbow and the origins of the universe. 150,000 first printing.",Natural-History
