,text,label
0,"The book is divided into four chapters, and each chapter serves a different purpose. Deals with a different pain. Heals a different heartache. Milk and Honey takes readers through a journey of the most bitter moments in life and finds sweetness in them because there is sweetness everywhere if you are just willing to look.",Poetry-Drama
1,"""Thorndike Press large print the literacy bridge.""",Poetry-Drama
2,"""Now a major motion picture! Includes full-color movie photos and exclusive content!""--Dust jacket.",Poetry-Drama
3,The Day the Crayons Quit,Poetry-Drama
4,"NOW AN EMMY-NOMINATED HULU ORIGINAL SERIES • NEW YORK TIMES BESTSELLER • “A stunning novel about the transformative power of relationships” (People) from the author of Conversations with Friends, “a master of the literary page-turner” (J. Courtney Sullivan). ONE OF THE TEN BEST NOVELS OF THE DECADE—Entertainment Weekly TEN BEST BOOKS OF THE YEAR—People, Slate, The New York Public Library, Harvard Crimson AND BEST BOOKS OF THE YEAR—The New York Times, The New York Times Book Review, O: The Oprah Magazine, Time, NPR, The Washington Post, Vogue, Esquire, Glamour, Elle, Marie Claire, Vox, The Paris Review, Good Housekeeping, Town & Country Connell and Marianne grew up in the same small town, but the similarities end there. At school, Connell is popular and well liked, while Marianne is a loner. But when the two strike up a conversation—awkward but electrifying—something life changing begins. A year later, they’re both studying at Trinity College in Dublin. Marianne has found her feet in a new social world while Connell hangs at the sidelines, shy and uncertain. Throughout their years at university, Marianne and Connell circle one another, straying toward other people and possibilities but always magnetically, irresistibly drawn back together. And as she veers into self-destruction and he begins to search for meaning elsewhere, each must confront how far they are willing to go to save the other. Normal People is the story of mutual fascination, friendship and love. It takes us from that first conversation to the years beyond, in the company of two people who try to stay apart but find that they can’t. Praise for Normal People “[A] novel that demands to be read compulsively, in one sitting.”—The Washington Post “Arguably the buzziest novel of the season, Sally Rooney’s elegant sophomore effort . . . is a worthy successor to Conversations with Friends. Here, again, she unflinchingly explores class dynamics and young love with wit and nuance.”—The Wall Street Journal “[Rooney] has been hailed as the first great millennial novelist for her stories of love and late capitalism. . . . [She writes] some of the best dialogue I’ve read.”—The New Yorker",Poetry-Drama
5,"THE INTERNATIONAL BESTSELLER 'A book that could actually make us happy' SIMON AMSTELL 'This amazing book will change your life' ELTON JOHN 'One of the most important texts of recent years' BRITISH JOURNAL OF GENERAL PRACTICE 'Brilliant, stimulating, radical' MATT HAIG 'The more people read this book, the better off the world will be' NAOMI KLEIN 'Wonderful' HILLARY CLINTON 'Eye-opening' GUARDIAN 'Brilliant for anyone wanting a better understanding of mental health' ZOE BALL 'A game-changer' DAVINA MCCALL 'Extraordinary' DR MAX PEMBERTON 'Beautiful' RUSSELL BRAND Depression and anxiety are now at epidemic levels. Why? Across the world, scientists have uncovered evidence for nine different causes. Some are in our biology, but most are in the way we are living today. Lost Connections offers a radical new way of thinking about this crisis. It shows that once we understand the real causes, we can begin to turn to pioneering new solutions – ones that offer real hope.",Poetry-Drama
6,"Over 16 million copies sold worldwide 'Every human being should read this book' Simon Sinek One of the outstanding classics to emerge from the Holocaust, Man's Search for Meaning is Viktor Frankl's story of his struggle for survival in Auschwitz and other Nazi concentration camps. Today, this remarkable tribute to hope offers us an avenue to finding greater meaning and purpose in our own lives.",Poetry-Drama
7,"Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School for Witchcraft and Wizardry.",Poetry-Drama
8,"Rupi Kaur performs the first-ever recording of the sun and her flowers, her second #1 New York Times bestselling collection of poetry and prose. This production was recorded in 2021 along with the brand-new audio edition of milk and honey and the debut audio recording of home body. Divided into five chapters, this volume is a journey through the life cycle of wilting, falling, rooting, rising, and blooming. It is a celebration of love in all its forms.",Poetry-Drama
9,"In his most beloved and extraordinary book, Dr. Sacks recounts the case histories of patients inhabiting the compelling world of neurological disorders. Featuring a preface never before included. Oliver Sacks's The Man Who Mistook His Wife for a Hat tells the stories of individuals afflicted with perceptual and intellectual disorders: patients who have lost their memories and with them the greater part of their pasts; who are no longer able to recognize people and common objects; whose limbs seem alien to them; who lack some skills yet are gifted with uncanny artistic or mathematical talents. In Dr. Sacks's splendid and sympathetic telling, his patients are deeply human, and his tales are studies of struggles against incredible adversity. A great healer, Sacks never loses sight of medicine's ultimate responsibility: ""the suffering, afflicted, fighting human subject.""",Poetry-Drama
