,text,label
0,"Available for the first time in the United States, this international bestseller reveals the secrets of nonverbal communication to give you confidence and control in any face-to-face encounter—from making a great first impression and acing a job interview to finding the right partner. It is a scientific fact that people’s gestures give away their true intentions. Yet most of us don’t know how to read body language– and don’t realize how our own physical movements speak to others. Now the world’s foremost experts on the subject share their techniques for reading body language signals to achieve success in every area of life. Drawing upon more than thirty years in the field, as well as cutting-edge research from evolutionary biology, psychology, and medical technologies that demonstrate what happens in the brain, the authors examine each component of body language and give you the basic vocabulary to read attitudes and emotions through behavior. Discover: • How palms and handshakes are used to gain control • The most common gestures of liars • How the legs reveal what the mind wants to do • The most common male and female courtship gestures and signals • The secret signals of cigarettes, glasses, and makeup • The magic of smiles–including smiling advice for women • How to use nonverbal cues and signals to communicate more effectively and get the reactions you want Filled with fascinating insights, humorous observations, and simple strategies that you can apply to any situation, this intriguing book will enrich your communication with and understanding of others–as well as yourself.",Reference
1,"The chilling Saga of Darren Shan, the ordinary schoolboy plunged into the vampire world.",Reference
2,"The Jolly Postman has a strange day with some very unusual letters, or has he just been dreaming? Suggested level: junior, primary.",Reference
3,"“A perfect reference for the aspiring foodie.” –Chicago Tribune Winner of the André Simon Award * Observer Best Books of the Year * Guild of Food Writers Best First Book Award A complete guide to the 99 most essential ingredients and their numerous flavor combinations, offering inspiration for the cook who has everything. Whether a flavor is defined by a ""grassy"" ingredient like dill, cucumber, or peas, or a ""floral fruity"" food like figs, roses, or blueberries, flavors can be combined in wildly imaginative ways. In this lively and original book, Niki Segnit identifies the 99 fundamental ingredients of food and examines what goes with what-revealing for the first time just how infinite are the possibilities in an everyday kitchen. Segnit has scoured thousands of recipes in countless recipe books, talked to dozens of food technologists and chefs, and visited hundreds of restaurants-all in her quest to uncover the planet's essential pairings. Moving from Meaty to Cheesy, Earthy to Mustardy, and more, Segnit celebrates traditional pairings such as pork and apple and cucumber and dill; points us toward contemporary favorites like goat cheese and beet; and introduces us to unlikely but delicious matchings such as blueberry and mushroom. With nearly a thousand entries and 200 recipes, The Flavor Thesaurus is not only a highly useful and covetable reference book, but the sort of book that will keep you reading, laughing, and cooking for years to come.",Reference
4,"An essential new edition―revised and updated from cover to cover―of one of the most important books of the last two decades, by Nobel Prize winner Richard H. Thaler and Cass R. Sunstein * More than 2 million copies sold * New York Times bestseller Since the original publication of Nudge more than a decade ago, the title has entered the vocabulary of businesspeople, policy makers, engaged citizens, and consumers everywhere. The book has given rise to more than 400 “nudge units” in governments around the world and countless groups of behavioral scientists in every part of the economy. It has taught us how to use thoughtful “choice architecture”—a concept the authors invented—to help us make better decisions for ourselves, our families, and our society. Now, the authors have rewritten the book from cover to cover, making use of their experiences in and out of government over the past dozen years as well as an explosion of new research in numerous academic disciplines. To commit themselves to never undertaking this daunting task again, they are calling this the “final edition.” It offers a wealth of new insights, for both its avowed fans and newcomers to the field, about a wide variety of issues that we face in our daily lives—COVID-19, health, personal finance, retirement savings, credit card debt, home mortgages, medical care, organ donation, climate change, and “sludge” (paperwork and other nuisances we don’t want, and that keep us from getting what we do want)—all while honoring one of the cardinal rules of nudging: make it fun!",Reference
5,"Harry Potter: A History of Magic is the official book of the exhibition, a once-in-a-lifetime collaboration between Bloomsbury, J.K. Rowling and the brilliant curators of the British Library. It promises to take readers on a fascinating journey through the subjects studied at Hogwarts School of Witchcraft and Wizardry -- from Alchemy and Potions classes through to Herbology and Care of Magical Creatures. Each chapter showcases a treasure trove of artefacts from the British Library and other collections around the world, beside exclusive manuscripts, sketches and illustrations from the Harry Potter archive. There's also a specially commissioned essay for each subject area by an expert, writer or cultural commentator, inspired by the contents of the exhibition -- absorbing, insightful and unexpected contributions from Steve Backshall, the Reverend Richard Coles, Owen Davies, Julia Eccleshare, Roger Highfield, Steve Kloves, Lucy Mangan, Anna Pavord and Tim Peake, who offer a personal perspective on their magical theme.",Reference
6,"A simple yet powerful method of communication for mediating conflicts and peacefully resolving differences at the political, professional, and personal levels.",Reference
7,"George Orwell set out ‘to make political writing into an art’, and to a wide extent this aim shaped the future of English literature – his descriptions of authoritarian regimes helped to form a new vocabulary that is fundamental to understanding totalitarianism. While 1984 and Animal Farm are amongst the most popular classic novels in the English language, this new series of Orwell’s essays seeks to bring a wider selection of his writing on politics and literature to a new readership. In Politics and the English Language, the second in the Orwell’s Essays series, Orwell takes aim at the language used in politics, which, he says, ‘is designed to make lies sound truthful and murder respectable, and to give an appearance of solidity to pure wind’. In an age where the language used in politics is constantly under the microscope, Orwell’s Politics and the English Language is just as relevant today, and gives the reader a vital understanding of the tactics at play. 'A writer who can – and must – be rediscovered with every age.' — Irish Times",Reference
8,"An exquisite WWII novel illuminating the strength of three women in occupied Paris, for fans of The Nightingale, The Alice Network and The Lost Girls of Paris. ""A truly outstanding novel...reminds us of the power of love, hope and courage.""—Heather Morris, #1 bestselling author of The Tattooist of Auschwitz Paris, 1944 Celebrated singer Genevieve Dumont is both a star and a smokescreen. An unwilling darling of the Nazis, the chanteuse’s position of privilege allows her to go undetected as an ally to the resistance. When her estranged mother, Lillian de Rocheford, is captured by Nazis, Genevieve knows it won’t be long before the Gestapo succeeds in torturing information out of Lillian that will derail the upcoming allied invasion. The resistance movement is tasked with silencing her by any means necessary—including assassination. But Genevieve refuses to let her mother become yet one more victim of the war. Reuniting with her long-lost sister, she must find a way to navigate the perilous cross-currents of Occupied France undetected—and in time to save Lillian’s life. In this heart-wrenching novel, bestselling author Karen Robards showcases the extraordinary lengths one goes to save their family from a German prison. A web of spies, the resistance and a vivid portrayal of Paris in wartime.",Reference
9,"More than three decades after its first publication, Edward Said's groundbreaking critique of the West's historical, cultural, and political perceptions of the East has become a modern classic. In this wide-ranging, intellectually vigorous study, Said traces the origins of ""orientalism"" to the centuries-long period during which Europe dominated the Middle and Near East and, from its position of power, defined ""the orient"" simply as ""other than"" the occident. This entrenched view continues to dominate western ideas and, because it does not allow the East to represent itself, prevents true understanding. Essential, and still eye-opening, Orientalism remains one of the most important books written about our divided world.",Reference
