,text,label
0,"NOW AN EMMY-NOMINATED HULU ORIGINAL SERIES • NEW YORK TIMES BESTSELLER • “A stunning novel about the transformative power of relationships” (People) from the author of Conversations with Friends, “a master of the literary page-turner” (J. Courtney Sullivan). ONE OF THE TEN BEST NOVELS OF THE DECADE—Entertainment Weekly TEN BEST BOOKS OF THE YEAR—People, Slate, The New York Public Library, Harvard Crimson AND BEST BOOKS OF THE YEAR—The New York Times, The New York Times Book Review, O: The Oprah Magazine, Time, NPR, The Washington Post, Vogue, Esquire, Glamour, Elle, Marie Claire, Vox, The Paris Review, Good Housekeeping, Town & Country Connell and Marianne grew up in the same small town, but the similarities end there. At school, Connell is popular and well liked, while Marianne is a loner. But when the two strike up a conversation—awkward but electrifying—something life changing begins. A year later, they’re both studying at Trinity College in Dublin. Marianne has found her feet in a new social world while Connell hangs at the sidelines, shy and uncertain. Throughout their years at university, Marianne and Connell circle one another, straying toward other people and possibilities but always magnetically, irresistibly drawn back together. And as she veers into self-destruction and he begins to search for meaning elsewhere, each must confront how far they are willing to go to save the other. Normal People is the story of mutual fascination, friendship and love. It takes us from that first conversation to the years beyond, in the company of two people who try to stay apart but find that they can’t. Praise for Normal People “[A] novel that demands to be read compulsively, in one sitting.”—The Washington Post “Arguably the buzziest novel of the season, Sally Rooney’s elegant sophomore effort . . . is a worthy successor to Conversations with Friends. Here, again, she unflinchingly explores class dynamics and young love with wit and nuance.”—The Wall Street Journal “[Rooney] has been hailed as the first great millennial novelist for her stories of love and late capitalism. . . . [She writes] some of the best dialogue I’ve read.”—The New Yorker",Romance
1,"The sultry, sensual novel of obsession and desire that inspired the Oscar-winning film.",Romance
2,"Louisa Clark is an ordinary girl living an exceedingly ordinary life -- steady boyfriend, close family -- who has never been farther afield than her village. She takes a job working for ex-Master of the Universe Will Traynor, now wheelchair-bound after a motorcycle accident. When she learns that Will has shocking plans of his own, she sets out to show him that life is still worth living.",Romance
3,"In Christianâe(tm)s own words, and through his thoughts, reflections, and dreams, E L James offers a fresh perspective on the love story that has enthralled millions of readers around the world. CHRISTIAN GREY exercises control in all things; his world is neat, disciplined, and utterly empty âe"" until the day that Anastasia Steele falls into his office, in a tangle of shapely limbs and tumbling brown hair. He tries to forget her, but instead is swept up in a storm of emotion he cannot comprehend and cannot resist. Unlike any woman he has known before, shy, unworldly Ana seems to see right through him âe"" past the business prodigy and the penthouse lifestyle to Christianâe(tm)s cold, wounded heart. Will being with Ana dispel the horrors of his childhood that haunt Christian every night? Or will his dark sexual desires, his compulsion to control, and the self-loathing that fills his soul drive this girl away and destroy the fragile hope she offers him?",Romance
4,"She finds an envelope: 'To be opened in the event of my death'. It's her husband's handwriting. But he's still alive . . . THE ENTHRALLING MULTI-MILLION COPY BESTSELLER ABOUT SECRETS, FAMILY AND THE DANGER OF THE TRUTH 'STAGGERINGLY BRILLIANT' Sophie Hannah 'ANOTHER MASTERCLASS' Grazia _________ Cecilia Fitzpatrick thought she knew her husband. That is until she finds an envelope with his writing on: 'to be opened in the event of my death'. She opens it, and learns a shocking truth he has never dared reveal. Now Cecilia faces a terrible choice. Because revealing her husband's secret will hurt those she loves the most . . . But could the consequences of staying silent be worse? _________ 'Finely wrought tension holds up until the final page' TELEGRAPH 'A tense, page-turning story which gradually draws everyone together in a devastating climax' MAIL ON SUNDAY 'Dark and compelling . . . a must read' SUN",Romance
5,"When a woman goes missing on her fifth wedding anniversary, her diary reveals hidden turmoil in her marriage, while her husband, desperate to clear himself of suspicion, realizes that something more disturbing than murder may have occurred.",Romance
6,"NOW A MAJOR MOTION PICTURE starring ANNE HATHAWAY and JIM STURGESS It’s 1988 and Dexter Mayhew and Emma Morley have only just met. But after only one day together, they cannot stop thinking about one another. Over twenty years, snapshots of that relationship are revealed on the same day—July 15th—of each year. Dex and Em face squabbles and fights, hopes and missed opportunities, laughter and tears. And as the true meaning of this one crucial day is revealed, they must come to grips with the nature of love and life itself. ""One of the most hilarious and emotionally riveting love stories you'll ever encounter."" —People #1 INTERNATIONAL BESTSELLER",Romance
7,"The no.1 New York Times bestseller from the author of The Husband's Secret and new novel Apples Never Fall. NOW AN EMMY AWARD WINNING HBO TELEVISION SERIES STARRING REESE WITHERSPOON, NICOLE KIDMAN & MERYL STREEP. Parents behaving badly ... a tragic accident ... or murder? What isn't in doubt is that someone is dead. Madeline is a force to be reckoned with: witty, noisy and passionate. She remembers everything and forgives no one. Celeste is the kind of beautiful woman who makes the world stop and stare. But perfection is often an illusion. Jane is a single mum with a mysterious past who carries a sadness beyond her years. These three women, all with children starting at the same school, are about to tell the little lies that can turn lethal ... WINNER OF THE ABIA GENERAL FICTION BOOK OF THE YEAR PRAISE FOR BIG LITTLE LIES ""Irresistible ... Moriarty's sly humor and razor-sharp insights will keep you turning the pages to find out."" People Magazine ""Liane Moriarty produces novels that are miracles of structure as well as human insight"" Sydney Morning Herald ""Ms. Moriarty's long-parched fans have something new to dig into....in ways that may give Big Little Lies even more staying power than The Husband's Secret."" The New York Times ""A novel that will turn you into a compulsive book-finisher ... Moriarty has produced another gripping, satirical hit."" Huffington Post ""She is the mistress of the razor-sharp observation ... my favourite so far"" Kate Morton",Romance
8,"NOW AN EMMY-NOMINATED HULU ORIGINAL SERIES • NEW YORK TIMES BESTSELLER • “A stunning novel about the transformative power of relationships” (People) from the author of Conversations with Friends, “a master of the literary page-turner” (J. Courtney Sullivan). ONE OF THE TEN BEST NOVELS OF THE DECADE—Entertainment Weekly TEN BEST BOOKS OF THE YEAR—People, Slate, The New York Public Library, Harvard Crimson AND BEST BOOKS OF THE YEAR—The New York Times, The New York Times Book Review, O: The Oprah Magazine, Time, NPR, The Washington Post, Vogue, Esquire, Glamour, Elle, Marie Claire, Vox, The Paris Review, Good Housekeeping, Town & Country Connell and Marianne grew up in the same small town, but the similarities end there. At school, Connell is popular and well liked, while Marianne is a loner. But when the two strike up a conversation—awkward but electrifying—something life changing begins. A year later, they’re both studying at Trinity College in Dublin. Marianne has found her feet in a new social world while Connell hangs at the sidelines, shy and uncertain. Throughout their years at university, Marianne and Connell circle one another, straying toward other people and possibilities but always magnetically, irresistibly drawn back together. And as she veers into self-destruction and he begins to search for meaning elsewhere, each must confront how far they are willing to go to save the other. Normal People is the story of mutual fascination, friendship and love. It takes us from that first conversation to the years beyond, in the company of two people who try to stay apart but find that they can’t. Praise for Normal People “[A] novel that demands to be read compulsively, in one sitting.”—The Washington Post “Arguably the buzziest novel of the season, Sally Rooney’s elegant sophomore effort . . . is a worthy successor to Conversations with Friends. Here, again, she unflinchingly explores class dynamics and young love with wit and nuance.”—The Wall Street Journal “[Rooney] has been hailed as the first great millennial novelist for her stories of love and late capitalism. . . . [She writes] some of the best dialogue I’ve read.”—The New Yorker",Romance
9,"THE OFFICIAL MOVIE TIE-IN EDITION. The major motion picture releases on February 9 in time for Valentine's Day 2018 and is based on volume three of the phenomenal #1 New York Times bestselling trilogy with more than 150 million copies sold worldwide. When unworldly student Anastasia Steele first encountered the driven and dazzling young entrepreneur Christian Grey it sparked a sensual affair that changed both of their lives irrevocably. Shocked, intrigued, and, ultimately, repelled by Christian's singular erotic tastes, Ana demands a deeper commitment. Determined to keep her, Christian agrees. Now, Ana and Christian have it all--love, passion, intimacy, wealth, and a world of possibilities for their future. But Ana knows that loving her Fifty Shades will not be easy, and that being together will pose challenges that neither of them would anticipate. Ana must somehow learn to share Christian's opulent lifestyle without sacrificing her own identity. And Christian must overcome his compulsion to control as he wrestles with the demons of a tormented past. Just when it seems that their strength together will eclipse any obstacle, misfortune, malice, and fate conspire to make Ana's deepest fears turn to reality. This book is intended for mature audiences.",Romance
