,text,label
0,"NATIONAL BESTSELLER NEW YORK TIMES BESTSELLER Destined to become a modern classic in the vein of Guns, Germs, and Steel, Sapiens is a lively, groundbreaking history of humankind told from a unique perspective. 100,000 years ago, at least six species of human inhabited the earth. Today there is just one. Us. Homo Sapiens. How did our species succeed in the battle for dominance? Why did our foraging ancestors come together to create cities and kingdoms? How did we come to believe in gods, nations, and human rights; to trust money, books, and laws; and to be enslaved by bureaucracy, timetables, and consumerism? And what will our world be like in the millennia to come? In Sapiens, Dr. Yuval Noah Harari spans the whole of human history, from the very first humans to walk the earth to the radical -- and sometimes devastating -- breakthroughs of the Cognitive, Agricultural, and Scientific Revolutions. Drawing on insights from biology, anthropology, palaeontology, and economics, he explores how the currents of history have shaped our human societies, the animals and plants around us, and even our personalities. Have we become happier as history has unfolded? Can we ever free our behaviour from the heritage of our ancestors? And what, if anything, can we do to influence the course of the centuries to come? Bold, wide-ranging and provocative, Sapiens challenges everything we thought we knew about being human: our thoughts, our actions, our power...and our future.",Science-Geography
1,"#1 NEW YORK TIMES BESTSELLER • PULITZER PRIZE FINALIST • This inspiring, exquisitely observed memoir finds hope and beauty in the face of insurmountable odds as an idealistic young neurosurgeon attempts to answer the question What makes a life worth living? NAMED ONE OF PASTE’S BEST MEMOIRS OF THE DECADE • NAMED ONE OF THE BEST BOOKS OF THE YEAR BY The New York Times Book Review • People • NPR • The Washington Post • Slate • Harper’s Bazaar • Time Out New York • Publishers Weekly • BookPage Finalist for the PEN Center USA Literary Award in Creative Nonfiction and the Books for a Better Life Award in Inspirational Memoir At the age of thirty-six, on the verge of completing a decade’s worth of training as a neurosurgeon, Paul Kalanithi was diagnosed with stage IV lung cancer. One day he was a doctor treating the dying, and the next he was a patient struggling to live. And just like that, the future he and his wife had imagined evaporated. When Breath Becomes Air chronicles Kalanithi’s transformation from a naïve medical student “possessed,” as he wrote, “by the question of what, given that all organisms die, makes a virtuous and meaningful life” into a neurosurgeon at Stanford working in the brain, the most critical place for human identity, and finally into a patient and new father confronting his own mortality. What makes life worth living in the face of death? What do you do when the future, no longer a ladder toward your goals in life, flattens out into a perpetual present? What does it mean to have a child, to nurture a new life as another fades away? These are some of the questions Kalanithi wrestles with in this profoundly moving, exquisitely observed memoir. Paul Kalanithi died in March 2015, while working on this book, yet his words live on as a guide and a gift to us all. “I began to realize that coming face to face with my own mortality, in a sense, had changed nothing and everything,” he wrote. “Seven words from Samuel Beckett began to repeat in my head: ‘I can’t go on. I’ll go on.’” When Breath Becomes Air is an unforgettable, life-affirming reflection on the challenge of facing death and on the relationship between doctor and patient, from a brilliant writer who became both.",Science-Geography
2,"International Bestseller From the author of the international bestseller Sapiens: A Brief History of Humankind comes an extraordinary new book that explores the future of the human species. Yuval Noah Harari, author of the bestselling Sapiens: A Brief History of Humankind, envisions a not-too-distant world in which we face a new set of challenges. In Homo Deus, he examines our future with his trademark blend of science, history, philosophy and every discipline in between. Homo Deus explores the projects, dreams and nightmares that will shape the twenty-first century – from overcoming death to creating artificial life. It asks the fundamental questions: Where do we go from here? And how will we protect this fragile world from our own destructive powers? This is the next stage of evolution. This is Homo Deus. War is obsolete You are more likely to commit suicide than be killed in conflict Famine is disappearing You are at more risk of obesity than starvation Death is just a technical problem Equality is out – but immortality is in What does our future hold?",Science-Geography
3,"""Published in the United Kingdom by John Murray (Publishers)""--Copyright page.",Science-Geography
4,"In his most beloved and extraordinary book, Dr. Sacks recounts the case histories of patients inhabiting the compelling world of neurological disorders. Featuring a preface never before included. Oliver Sacks's The Man Who Mistook His Wife for a Hat tells the stories of individuals afflicted with perceptual and intellectual disorders: patients who have lost their memories and with them the greater part of their pasts; who are no longer able to recognize people and common objects; whose limbs seem alien to them; who lack some skills yet are gifted with uncanny artistic or mathematical talents. In Dr. Sacks's splendid and sympathetic telling, his patients are deeply human, and his tales are studies of struggles against incredible adversity. A great healer, Sacks never loses sight of medicine's ultimate responsibility: ""the suffering, afflicted, fighting human subject.""",Science-Geography
5,"2022 NATIONAL INDIE EXCELLENCE AWARDS WINNER — HISTORY: GENERAL "". . . inherently interesting, unique, and highly recommended addition to personal, professional, community, college, and academic library Physics of Time & Scientific Measurement history collections, and supplemental curriculum studies lists.” —Midwest Book Review ""A wonderful look into understanding and recording time, Orzel’s latest is appropriate for all readers who are curious about those ticks and tocks that mark nearly every aspect of our lives."" —Booklist “A thorough, enjoyable exploration of the history and science behind measuring time.” —Foreword Reviews It’s all a matter of time—literally. From the movements of the spheres to the slipperiness of relativity, the story of science unfolds through the fascinating history of humanity’s efforts to keep time. Our modern lives are ruled by clocks and watches, smartphone apps and calendar programs. While our gadgets may be new, however, the drive to measure and master time is anything but—and in A Brief History of Timekeeping, Chad Orzel traces the path from Stonehenge to your smartphone. Predating written language and marching on through human history, the desire for ever-better timekeeping has spurred technological innovation and sparked theories that radically reshaped our understanding of the universe and our place in it. Orzel, a physicist and the bestselling author of Breakfast with Einstein and How to Teach Quantum Physics to Your Dog continues his tradition of demystifying thorny scientific concepts by using the clocks and calendars central to our everyday activities as a jumping-off point to explore the science underlying the ways we keep track of our time. Ancient solstice markers (which still work perfectly 5,000 years later) depend on the basic astrophysics of our solar system; mechanical clocks owe their development to Newtonian physics; and the ultra-precise atomic timekeeping that enables GPS hinges on the predictable oddities of quantum mechanics. Along the way, Orzel visits the delicate negotiations involved in Gregorian calendar reform, the intricate and entirely unique system employed by the Maya, and how the problem of synchronizing clocks at different locations ultimately required us to abandon the idea of time as an absolute and universal quantity. Sharp and engaging, A Brief History of Timekeeping is a story not just about the science of sundials, sandglasses, and mechanical clocks, but also the politics of calendars and time zones, the philosophy of measurement, and the nature of space and time itself. For those interested in science, technology, or history, or anyone who’s ever wondered about the instruments that divide our days into moments: the time you spend reading this book may fly, and it is certain to be well spent.",Science-Geography
6,"""From #1 New York Times bestselling author of The Fast Diet and The 8-Week Blood Sugar Diet comes a groundbreaking new book about your gut--known as the ""second brain"" of the body--that explains how taking care of its good bacteria can lead to optimal health and weight loss. People often joke about ""going with their gut"" but the truth is that this part of your body exercises an astonishing degree of control over your mood, hunger, and general health. Written with the latest research on the microbiome--the alien bacteria that lives in our guts--The Clever Gut Diet also clearly explains what goes on inside your stomach and intestines every day. Discover up-to-the-date science on hunger hormones and learn how our ""second brain"" communicates with the rest of the body, shaping our appetite and immune system. Although this is primarily a how-to book, Dr. Mosley uses his own body and experiences as a narrative, sharing his own personal journey of discovery. He explores prebiotics, probiotics, and the impact of antibiotics. The book also includes a comprehensive and delicious menu plan, provided by a leading dietician, which ensures that you will grow only the finest plants in your own internal garden. Finally, you can discover once and for all how to lead a life of optimal weight maintenance, improved physical health, and an overwhelming sense of balance and calm""--",Science-Geography
7,"A prominent surgeon argues against modern medical practices that extend life at the expense of quality of life while isolating the dying, outlining suggestions for freer, more fulfilling approaches to death that enable more dignified and comfortable choices.",Science-Geography
8,Detailed summary and analysis of The Power of Habit.,Science-Geography
9,"Our gut is almost as important to us as our brain and yet we know very little about how it works. Gut: The Inside Story is an entertaining, informative tour of the digestive system from the moment we raise a tasty morsel to our lips until the moment our body surrenders the remnants to the toilet bowl. No topic is too lowly for the author’s wonder and admiration, from the careful choreography of breaking wind to the precise internal communication required for a cleansing vomit. Along the way, the author provides practical advice such as the best ways to sit on the toilet to have a comfortable bowel movement, how clean your kitchen should be for optimum gut health, and how different laxatives work. She tells stories of gut bacteria that can lead to obesity, autoimmune diseases, or even suicide, and she discusses the benefits of dietary supplements such as probiotics. This book is a fascinating primer for anyone interested in how our ideas about the gut are changing in the light of cutting-edge scientific research. In the words of the author, “We live in an era in which we are just beginning to understand just how complex the connections are between us, our food, our pets and the microscopic world in, on, and around us. We are gradually decoding processes that we used to believe were part of our inescapable destiny.”",Science-Geography
