,text,label
0,"For readers of The Glass Castle and Wild, a stunning new memoir about family, loss and the struggle for a better future #1 International Bestseller Tara Westover was seventeen when she first set foot in a classroom. Instead of traditional lessons, she grew up learning how to stew herbs into medicine, scavenging in the family scrap yard and helping her family prepare for the apocalypse. She had no birth certificate and no medical records and had never been enrolled in school. Westover’s mother proved a marvel at concocting folk remedies for many ailments. As Tara developed her own coping mechanisms, little by little, she started to realize that what her family was offering didn’t have to be her only education. Her first day of university was her first day in school—ever—and she would eventually win an esteemed fellowship from Cambridge and graduate with a PhD in intellectual history and political thought.",Teaching-Resources-Education
1,"World-renowned Stanford University psychologist Carol Dweck, in decades of research on achievement and success, has discovered a truly groundbreaking idea-the power of our mindset. Dweck explains why it's not just our abilities and talent that bring us success-but whether we approach them with a fixed or growth mindset. She makes clear why praising intelligence and ability doesn't foster self-esteem and lead to accomplishment, but may actually jeopardize success. With the right mindset, we can motivate our kids and help them to raise their grades, as well as reach our own goals-personal and professional. Dweck reveals what all great parents, teachers, CEOs, and athletes already know: how a simple idea about the brain can create a love of learning and a resilience that is the basis of great accomplishment in every area.",Teaching-Resources-Education
2,Toe by Toe,Teaching-Resources-Education
3,"A MEMOIR BY THE YOUNGEST RECIPIENT OF THE NOBEL PEACE PRIZE As seen on Netflix with David Letterman ""I come from a country that was created at midnight. When I almost died it was just after midday."" When the Taliban took control of the Swat Valley in Pakistan, one girl spoke out. Malala Yousafzai refused to be silenced and fought for her right to an education. On Tuesday, October 9, 2012, when she was fifteen, she almost paid the ultimate price. She was shot in the head at point-blank range while riding the bus home from school, and few expected her to survive. Instead, Malala's miraculous recovery has taken her on an extraordinary journey from a remote valley in northern Pakistan to the halls of the United Nations in New York. At sixteen, she became a global symbol of peaceful protest and the youngest nominee ever for the Nobel Peace Prize. I AM MALALA is the remarkable tale of a family uprooted by global terrorism, of the fight for girls' education, of a father who, himself a school owner, championed and encouraged his daughter to write and attend school, and of brave parents who have a fierce love for their daughter in a society that prizes sons. I AM MALALA will make you believe in the power of one person's voice to inspire change in the world.",Teaching-Resources-Education
4,"A guide to raising a baby from birth to age one by applying the wisdom of Montessori, from the bestselling author of The Montessori Toddler and a coauthor with expertise in infant care and education. The Montessori Baby guides new parents in how to interact with babies in ways that assist their development and foster a respectful relationship between parent and child.",Teaching-Resources-Education
5,"In this pioneering, practical book for parents, neuroscientist Daniel J. Siegel and parenting expert Tina Payne Bryson explain the new science of how a child's brain is wired and how it matures. Different parts of a child's brain develop at different speeds and understanding these differences can help you turn any outburst, argument, or fear into a chance to integrate your child's brain and raise calmer, happier children. Featuring clear explanations, age-appropriate strategies and illustrations that will help you explain these concepts to your child, The Whole-Brain Child will help your children to lead balanced, meaningful, and connected lives using twelve key strategies, including: Name It to Tame It: Corral raging right-brain behavior through left-brain storytelling, appealing to the left brain's affinity for words and reasoning to calm emotional storms and bodily tension. Engage, Don't Enrage: Keep your child thinking and listening, instead of purely reacting. Move It or Lose It: Use physical activities to shift your child's emotional state. Let the Clouds of Emotion Roll By: Guide your children when they are stuck on a negative emotion, and help them understand that feelings come and go. SIFT: Help children pay attention to the Sensations, Images, Feelings, and Thoughts within them so that they can make better decisions and be more flexible. Connect Through Conflict: Use discord to encourage empathy and greater social success.",Teaching-Resources-Education
6,"In November 2008, John Hattie’s ground-breaking book Visible Learning synthesised the results of more than fifteen years research involving millions of students and represented the biggest ever collection of evidence-based research into what actually works in schools to improve learning. Visible Learning for Teachers takes the next step and brings those ground breaking concepts to a completely new audience. Written for students, pre-service and in-service teachers, it explains how to apply the principles of Visible Learning to any classroom anywhere in the world. The author offers concise and user-friendly summaries of the most successful interventions and offers practical step-by-step guidance to the successful implementation of visible learning and visible teaching in the classroom. This book: links the biggest ever research project on teaching strategies to practical classroom implementation champions both teacher and student perspectives and contains step by step guidance including lesson preparation, interpreting learning and feedback during the lesson and post lesson follow up offers checklists, exercises, case studies and best practice scenarios to assist in raising achievement includes whole school checklists and advice for school leaders on facilitating visible learning in their institution now includes additional meta-analyses bringing the total cited within the research to over 900 comprehensively covers numerous areas of learning activity including pupil motivation, curriculum, meta-cognitive strategies, behaviour, teaching strategies, and classroom management. Visible Learning for Teachers is a must read for any student or teacher who wants an evidence based answer to the question; ‘how do we maximise achievement in our schools?’",Teaching-Resources-Education
7,"Do you feel stuck in life, not knowing how to make it more successful? Do you wish to become more popular? Are you craving to earn more? Do you wish to expand your horizon, earn new clients and win people over with your ideas? How to Win Friends and Influence People is a well-researched and comprehensive guide that will help you through these everyday problems and make success look easier. You can learn to expand your social circle, polish your skill set, find ways to put forward your thoughts more clearly, and build mental strength to counter all hurdles that you may come across on the path to success. Having helped millions of readers from the world over achieve their goals, the clearly listed techniques and principles will be the answers to all your questions.",Teaching-Resources-Education
8,"A guide to Asperger's syndrome describes what it is and how it is diagnosed, along with information on such topics as bullying, emotions, language, movement, cognitive ability, and long-term relationships.",Teaching-Resources-Education
9,"Teachers are learners too, and for the past ten years, Gail Boushey and Allison Behne work with hundreds of teachers and students nationwide, gaining insight into best practices for reading instruction. Using those insights, they developed The CAFE Book, Expanded Second Edition: Engaging All Students in Daily Literacy Assessment and Instruction to help teachers apply what their research has shown--that reading instruction is not about the setting, the basal, or the book level. Rather, effective reading instruction is based on what that student needs in that moment. With the release of The CAFE Book in 2009, the CAFE system has been implemented in classrooms all over the world. It has changed the way teachers assess, teach, and track student information, and positively impacted the way students learn, practice, and talk about reading. The CAFE Book, Expanded Second Edition builds on the same research-based, student-centered foundations, but now includes A new process of planning data-driven instruction using the Seven Steps from Assessment to Instruction; The Instruction Protocol - a framework to guide your instruction and planning; Significant resources to help with lesson planning, assessment, goal setting, and parent involvement; A revised CAFE menu and a checklist of skills for emerging readers; New and improved forms for both the online conferring notebook and a pencil/paper notebook to support more effective conferring with students; The addition of CAFE's Essential Elements, a resource to guide your understanding of student-focused instruction; And new and revised Ready Reference Guides that include when to teach the strategy, options differentiating instruction, and partner strategies. The CAFE Book, Expanded Second Edition gives you a variety of tools to structure your literacy block and create an environment where your students are engaged readers and writers with resources that set them up for success. This CAFE system is all you need to support, guide, and coach your students toward the strategies that will move them forward.",Teaching-Resources-Education
10,The Red Beast,Teaching-Resources-Education
11,"A #1 bestseller on Amazon for early childhood education with more than half a million copies in print, Teach Your Child to Read in 100 Easy Lessons will give your child the reading skills needed now for a better chance at tomorrow, while bringing you and your child closer together. Is your child halfway through first grade and still unable to read? Is your preschooler bored with coloring and ready for reading? Do you want to help your child read, but are afraid you'll do something wrong? Teach Your Child to Read in 100 Easy Lessons is a complete, step-by-step program that shows patents simply and clearly how to teach their children to read. Twenty minutes a day is all you need, and within 100 teaching days your child will be reading on a solid second-grade reading level. It's a sensible, easy-to-follow, and enjoyable way to help your child gain the essential skills of reading. Everything you need is here—no paste, no scissors, no flash cards, no complicated directions—just you and your child learning together. One hundred lessons, fully illustrated and color-coded for clarity, give your child the basic and more advanced skills needed to become a good reader.",Teaching-Resources-Education
12,"As You Like It is a popular text for study by secondary students the world over. This edition includes illustrations, preliminary notes, reading lists (including websites) and classroom notes.",Teaching-Resources-Education
13,Macbeth (No Fear Shakespeare),Teaching-Resources-Education
