,text,label
0,"International Bestseller From the author of the international bestseller Sapiens: A Brief History of Humankind comes an extraordinary new book that explores the future of the human species. Yuval Noah Harari, author of the bestselling Sapiens: A Brief History of Humankind, envisions a not-too-distant world in which we face a new set of challenges. In Homo Deus, he examines our future with his trademark blend of science, history, philosophy and every discipline in between. Homo Deus explores the projects, dreams and nightmares that will shape the twenty-first century – from overcoming death to creating artificial life. It asks the fundamental questions: Where do we go from here? And how will we protect this fragile world from our own destructive powers? This is the next stage of evolution. This is Homo Deus. War is obsolete You are more likely to commit suicide than be killed in conflict Famine is disappearing You are at more risk of obesity than starvation Death is just a technical problem Equality is out – but immortality is in What does our future hold?",Technology-Engineering
1,The Art of War,Technology-Engineering
2,"This notebook contains 120 blank, lined pages that can be used as a notebook or as a journal at home, at work or at school. The cover phrase ""Technoking"" refers to the job title Elon Musk gave himself. It's a cool-sounding job title. Great for yourself or as a gift for family and friends, for anyone who is interested in science, STEM, technology, pop culture, Elon Musk, Tesla, electronics, computers, coding and more.",Technology-Engineering
3,"NATIONAL BESTSELLER • The gripping story of Elizabeth Holmes and Theranos—one of the biggest corporate frauds in history—a tale of ambition and hubris set amid the bold promises of Silicon Valley, rigorously reported by the prize-winning journalist. With a new Afterword. “Chilling ... Reads like a thriller ... Carreyrou tells [the Theranos story] virtually to perfection.” —The New York Times Book Review In 2014, Theranos founder and CEO Elizabeth Holmes was widely seen as the next Steve Jobs: a brilliant Stanford dropout whose startup “unicorn” promised to revolutionize the medical industry with its breakthrough device, which performed the whole range of laboratory tests from a single drop of blood. Backed by investors such as Larry Ellison and Tim Draper, Theranos sold shares in a fundraising round that valued the company at more than $9 billion, putting Holmes’s worth at an estimated $4.5 billion. There was just one problem: The technology didn’t work. Erroneous results put patients in danger, leading to misdiagnoses and unnecessary treatments. All the while, Holmes and her partner, Sunny Balwani, worked to silence anyone who voiced misgivings—from journalists to their own employees.",Technology-Engineering
4,"Neil deGrasse Tyson’s #1 New York Times best-selling guide to the cosmos, adapted for young readers. From the basics of physics to big questions about the nature of space and time, celebrated astrophysicist and science communicator Neil deGrasse Tyson breaks down the mysteries of the cosmos into bite-sized pieces. Astrophysics for Young People in a Hurry describes the fundamental rules and unknowns of our universe clearly—and with Tyson’s characteristic wit, there’s a lot of fun thrown in, too. This adaptation by Gregory Mone includes full-color photos, infographics, and extra explanations to make even the trickiest concepts accessible. Building on the wonder inspired by outer space, Astrophysics for Young People in a Hurry introduces an exciting field and the principles of scientific inquiry to young readers.",Technology-Engineering
5,"The New York Times bestselling author of Plenty joins up with the Ottolenghi Test Kitchen's Ixta Belfrage to reveal how flavor is amplified in more than 100 innovative, super-delicious plant-based recipes. Yotam Ottolenghi--the beloved chef and influencer who has captured the hearts of home cooks looking for inspiration and great-tasting vegetable cooking--is back. In Ottolenghi Flavor, Yotam collaborates with longtime colleague Ixta Belfrage to identify the principles behind his stylish, innovative brand of cooking with a new collection of revolutionary plant-based recipes. Yotam and Ixta build on the vegetarian cooking that made Plenty and Plenty More phenomenal bestsellers, this time adding Italian and Mexican influences and revealing how to understand, build, and amplify flavor through more than 100 vegetarian recipes (half are also vegan). In essence, Yotam and Ixta show how to evolve creatively, be intuitive in the kitchen, and become ever-better cooks through the ""three P's"": * Process: Key reactions that happen when vegetables or supporting ingredients are cooked. * Pairing: Matching vegetables with flavorings to accentuate their qualities. * Produce: Identifying key ingredients that make vegetables shine. With surefire hits, such as Stuffed Eggplant in Curry and Coconut Dal, Spicy Mushroom Lasagna, and Vegetable Schnitzel, plus stunning photographs of nearly every recipe, Ottolenghi Flavor is the exciting, next-level approach to vegetable cooking that Yotam's fans, home cooks of all levels, and vegetable lovers everywhere have been craving.",Technology-Engineering
6,"New York Times Bestseller A New York Times Best Cookbook of Fall 2018​ “An indispensable manual for home cooks and pro chefs.” —Wired At Noma—four times named the world’s best restaurant—every dish includes some form of fermentation, whether it’s a bright hit of vinegar, a deeply savory miso, an electrifying drop of garum, or the sweet intensity of black garlic. Fermentation is one of the foundations behind Noma’s extraordinary flavor profiles. Now René Redzepi, chef and co-owner of Noma, and David Zilber, the chef who runs the restaurant’s acclaimed fermentation lab, share never-before-revealed techniques to creating Noma’s extensive pantry of ferments. And they do so with a book conceived specifically to share their knowledge and techniques with home cooks. With more than 500 step-by-step photographs and illustrations, and with every recipe approachably written and meticulously tested, The Noma Guide to Fermentation takes readers far beyond the typical kimchi and sauerkraut to include koji, kombuchas, shoyus, misos, lacto-ferments, vinegars, garums, and black fruits and vegetables. And—perhaps even more important—it shows how to use these game-changing pantry ingredients in more than 100 original recipes. Fermentation is already building as the most significant new direction in food (and health). With The Noma Guide to Fermentation, it’s about to be taken to a whole new level.",Technology-Engineering
7,"See below for English description. Utilisez les briques LEGO pour créer des réactions en chaîne! Une équipe d'experts, d'enseignants et d'enfants de 11 ans se sont réunis afin de créer des machines qui oscillent, sautent et virevoltent comme seules les briques LEGO peuvent le faire. Les enfants apprendront des techniques de physique et de construction, tout en s'amusant. Chaque machine représente une étape d'une réaction en chaîne personnalisable. De simples tâches, comme jouer à pile ou face ou allumer une lampe, peuvent être accomplies grâce à ces créations. Contient : un manuel d'instructions de 78 pages, 33 pièces LEGO, les instructions pour 10 modules, 6 balles de plastique, 8 rampes en papier et plus encore. A team of experts, educators, and 11-year-olds came together to invent machines that swing, bounce, and spring in ways that only LEGO bricks can. Kids will learn solid building techniques and the physics behind the fun. Each machine forms one step in a customizable chain reaction. One thing leads to another, until ordinary tasks like turning on the light or flipping a coin are accomplished in extraordinary ways! Comes with: 78-page book of instructions, 33 LEGO pieces, instructions for 10 modules, 6 plastic balls, string, 8 paper ramps and other components. Original title: Klutz: LEGO Chain Reactions: Make Amazing Moving Machines",Technology-Engineering
8,"*Longlisted for the CBCA 2020 Eve Pownall Award for Information Books* *Winner of the Booksellers' Choice 2020 Children's Book of the Year Award* *Shortlisted for the 2020 NSW Premier’s Literary Awards Patricia Wrightson Prize for Children's Literature* *Shortlisted for the ABIA Book of the Year for Younger Children (ages 7-12)* *Shortlisted for the Indie Book Awards 2020: Children's* Age range 10+. The highly-anticipated junior version of Bruce Pascoe’s multi award-winning book. Bruce Pascoe has collected a swathe of literary awards for Dark Emu and now he has brought together the research and compelling first person accounts in a book for younger readers. Using the accounts of early European explorers, colonists and farmers, Bruce Pascoe compellingly argues for a reconsideration of the hunter-gatherer label for pre-colonial Aboriginal Australians. He allows the reader to see Australia as it was before Europeans arrived — a land of cultivated farming areas, productive fisheries, permanent homes, and an understanding of the environment and its natural resources that supported thriving villages across the continent. Young Dark Emu — A Truer History asks young readers to consider a different version of Australia’s history pre-European colonisation. 'Adapted for a younger readership from Pascoe's best-selling Dark Emu, this exquisitely illustrated picture book will transform how we see Australian history. Bruce uses the diaries of early explorers and colonists to show us the Australia where Aboriginal people built houses, dams and wells and farmed the land.' — Fiona Stager, The Courier Mail",Technology-Engineering
9,"Winner of the 2013 James Beard Foundation Book Award for Reference and Scholarship, and a New York Times bestseller, The Art of Fermentation is the most comprehensive guide to do-it-yourself home fermentation ever published. Sandor Katz presents the concepts and processes behind fermentation in ways that are simple enough to guide a reader through their first experience making sauerkraut or yogurt, and in-depth enough to provide greater understanding and insight for experienced practitioners. While Katz expertly contextualizes fermentation in terms of biological and cultural evolution, health and nutrition, and even economics, this is primarily a compendium of practical information--how the processes work; parameters for safety; techniques for effective preservation; troubleshooting; and more. With two-color illustrations and extended resources, this book provides essential wisdom for cooks, homesteaders, farmers, gleaners, foragers, and food lovers of any kind who want to develop a deeper understanding and appreciation for arguably the oldest form of food preservation, and part of the roots of culture itself. Readers will find detailed information on fermenting vegetables; sugars into alcohol (meads, wines, and ciders); sour tonic beverages; milk; grains and starchy tubers; beers (and other grain-based alcoholic beverages); beans; seeds; nuts; fish; meat; and eggs, as well as growing mold cultures, using fermentation in agriculture, art, and energy production, and considerations for commercial enterprises. Sandor Katz has introduced what will undoubtedly remain a classic in food literature, and is the first--and only--of its kind.",Technology-Engineering
