,text,label
0,The Little Prince,Teen-Young-Adult
1,"""Thorndike Press large print the literacy bridge.""",Teen-Young-Adult
2,"""Now a major motion picture! Includes full-color movie photos and exclusive content!""--Dust jacket.",Teen-Young-Adult
3,"Roald Dahl's Marvellous Joke Book is a perfect joke book for young children. Full of jokes, limericks, riddles, Knock knock and Doctor, doctor all the jokes are specially themed around Roald Dahl's best-loved characters such as Charlie, George, The BFG, Matilda, James and many others. Roald Dahl was always full of fun and mischief and loved all kinds of jokes - the sillier the better! From chocolate-covered chickens to grizzly grouchy grandmas to the disgusting Twits this marvellous collection has over 400 jokes, and includes Roald Dahl's very own, extremely silly 'Knock, knock' jokes - guaranteed to keep his fans amused for hours. Illustrations by Quentin Blake.",Teen-Young-Adult
4,"A new title in the hugely successful Clever Kids series, this book is packed with memory, word and number games for you to solve.",Teen-Young-Adult
5,"Rescued from the outrageous neglect of his aunt and uncle, a young boy with a great destiny proves his worth while attending Hogwarts School for Witchcraft and Wizardry.",Teen-Young-Adult
6,The essential film companion for Newt Scamander! Relive the magic of Newt's world with this hardback guidebook featuring your favourite scenes and quotes from Fantastic Beasts and Where to Find Them.,Teen-Young-Adult
7,The Hunger Games,Teen-Young-Adult
8,"A hilarious and moving story of old age, adventure, stolen jewels and swimming the Thames, from David Walliams, number one bestseller and fastest growing children’s author in the country.",Teen-Young-Adult
9,"Nominated for the Cilip Carnegie & Kate Greenaway Children's Book Awards 2018. Kate Pankhurst, descendent of Emmeline Pankhurst, has created this wildly wonderful and accessible book about women who really changed the world. Discover fascinating facts about some of the most amazing women who changed the world we live in. Fly through the sky with the incredible explorer Amelia Earhart, and read all about the Wonderful Adventures of Mary Seacole with the number one best-selling children's non-fiction title in the UK market this year. Bursting full of beautiful illustrations and astounding facts, Fantastically Great Women Who Changed the World is the perfect introduction to just a few of the most incredible women who helped shaped the world we live in. List of women featured: Jane Austen, Gertrude Ederle, Coco Chanel, Frida Kahlo, Marie Curie, Mary Anning, Mary Seacole, Amelia Earhart, Agent Fifi, Sacagawa, Emmeline Pankhurst, Rosa Parks, Anne Frank",Teen-Young-Adult
