,text,label
0,"A facsimile edition of Bradshaw's fascinating guide to Europe's rail network. Bradshaw's descriptive railway handbook of Europe was originally published in 1913 and was the inspiration behind Michael Portillo's BBC television series 'Great Continental Railway Journeys'. It is divided into three sections: timetables for services covering the continent; short guides to the best places to see and to stay in each city; and a wealth of advertisements and ephemeral materials concerning hotels, restaurants and services that might be required by the early twentieth century rail traveller. This beautifully illustrated facsimile edition offers a fascinating glimpse of Europe and of a transport network that was shortly devastated by the greatest war the world had ever seen.",Transport
1,"Hard to put down ... truthful and opinionated, often funny but never predictable ... the finest travelling companion.' – Michael Portillo on Bradshaw Unavailable for many years and much sought after, this classic guide book is now faithfully reissued for a new generation. Bradshaw's Railway Handbook was originally published in 1866 under the title Bradshaw's Handbook for Tourists in Great Britain and Ireland. It appeared in four volumes as a comprehensive handbook for domestic tourists, offering a detailed view of English life in the Victorian age. Now available to a new generation of readers, it will appeal to railway, steam and transport enthusiasts, local historians, and anyone with an interest in British heritage, the Victorian period, or the nation's industrial past.",Transport
2,"With this book ,kids can learn how to create a buzzing robot, move a ship with steam, and more. Each workshop project includes easy-to-read, step-by-step instructions paired with photographs. Budding craftspeople and engineers will love learning how to use the tools of the trade to make one-of-a-kind creations.",Transport
3,"Hard to put down ... truthful and opinionated, often funny but never predictable ... the finest travelling companion.' – Michael Portillo on Bradshaw Unavailable for many years and much sought after, this classic guide book is now faithfully reissued for a new generation. Bradshaw's Railway Handbook was originally published in 1866 under the title Bradshaw's Handbook for Tourists in Great Britain and Ireland. It appeared in four volumes as a comprehensive handbook for domestic tourists, offering a detailed view of English life in the Victorian age. Now available to a new generation of readers, it will appeal to railway, steam and transport enthusiasts, local historians, and anyone with an interest in British heritage, the Victorian period, or the nation's industrial past.",Transport
4,"Jupiter's Travels -Ted Simon's astonishing 4 year motorbike journey around the world The book that inspired Ewan McGregor's Long Way Round In the late 1970s Ted Simon set off on a Triumph and rode 63,000 miles over four years through fifty-four countries in a journey that took him around the world. Through breakdowns, prison, war, revolutions, disasters and a Californian commune, he travelled into the depths of fear and reached the heights of euphoria. He met astonishing people and was treated as a spy, a welcome stranger and even a god. For Simon the trip became a journey into his own soul, and for many others - including bikers Charley Boorman and Ewan McGrergor - it provides an inspiration they will never forget. This classic text, which has informed a whole genre of travel writing in the thirty years since it was first published, will never be bettered for sheer adventure, passion, humour and honesty. Brought up in England by a German mother and a Romanian father, Ted Simon found himself impelled by an insatiable desire to explore the world. It led him to abandon an early scientific career in favour of journalism, and he has worked for several newspapers and magazines on Fleet Street and elsewhere. Ted Simon is also the author of Riding Home and The Gypsy in Me.",Transport
5,Rescue vehicles race to help during a variety of emergencies.,Transport
6,"In 1710 an obscure Devon ironmonger Thomas Newcomen invented a machine with a pump driven by coal, used to extract water from mines. Over the next two hundred years the steam engine would be at the heart of the industrial revolution that changed the fortunes of nations. Passionately written and insightful, A Brief History of the Age of Steam reveals not just the lives of the great inventors such as Watts, Stephenson and Brunel but also tells a narrative that reaches from the US to the expansion of China, India, and South America and shows how the steam engine changed the world.",Transport
7,A catalog of lithographs of American and Canadian cities.,Transport
8,"From ""America's nerviest journalist"" (Newsweek)--a breath-taking epic, a magnificent adventure story, and an investigation into the true heroism and courage of the first Americans to conquer space. ""Tom Wolfe at his very best"" (The New York Times Book Review) Millions of words have poured forth about man's trip to the moon, but until now few people have had a sense of the most engrossing side of the adventure; namely, what went on in the minds of the astronauts themselves - in space, on the moon, and even during certain odysseys on earth. It is this, the inner life of the astronauts, that Tom Wolfe describes with his almost uncanny empathetic powers, that made The Right Stuff a classic.",Transport
9,"In 1945 Britain was the world's leading designer and builder of aircraft - a world-class achievement that was not mere rhetoric. And what aircraft they were. The sleek Comet, the first jet airliner. The awesome delta-winged Vulcan, an intercontinental bomber that could be thrown about the sky like a fighter. The Hawker Hunter, the most beautiful fighter-jet ever built and the Lightning, which could zoom ten miles above the clouds in a couple of minutes and whose pilots rated flying it as better than sex. How did Britain so lose the plot that today there is not a single aircraft manufacturer of any significance in the country? What became of the great industry of de Havilland or Handley Page? And what was it like to be alive in that marvellous post-war moment when innovative new British aircraft made their debut, and pilots were the rock stars of the age? James Hamilton-Paterson captures that season of glory in a compelling book that fuses his own memories of being a schoolboy plane spotter with a ruefully realistic history of British decline - its loss of self confidence and power. It is the story of great and charismatic machines and the men who flew them: heroes such as Bill Waterton, Neville Duke, John Derry and Bill Beaumont who took inconceivable risks, so that we could fly without a second thought.",Transport
10,"A tribute to the favorite ""Star Wars"" ship provides layer-by-layer analyses of the Millennium Falcon's features, from laser cannons and cockpit controls to smuggling bays and Han Solo's speed modifications. On board pages.",Transport
11,"The classic first analysis of the art of flying is back, now in a special 50th anniversary limited edition with a foreword by Cliff Robertson. leatherette binding, and gold foil stamp. Langewiesche shows precisely what the pilot does when he or she flies, just how it's done, and why.",Transport
12,"The bestselling author of The Architecture of Happiness and The Art of Travel spends a week at an airport in a wittily intriguing meditation on the ""non-place"" that he believes is the centre of our civilization. In the summer of 2009, Alain de Botton was invited by the owners of Heathrow airport to become their first ever writer-in-residence. Given unprecedented, unrestricted access to wander around one of the world's busiest airports, he met travellers from all over the globe, and spoke with everyone from baggage handlers to pilots, and senior executives to the airport chaplain. Based on these conversations he has produced this extraordinary meditation on the nature of travel, work, relationships, and our daily lives. Working with the renowned documentary photographer Richard Baker, he explores the magical and the mundane, and the interactions of travellers and workers all over this familiar but mysterious ""non-place,"" which by definition we are eager to leave. Taking the reader through departures, ""air-side,"" and the arrivals hall, de Botton shows with his usual combination of wit and wisdom that spending time in an airport can be more revealing than we might think. From the Trade Paperback edition.",Transport
13,"This beautiful and informative guide to 60 of the world's greatest train journeys includes classic long-distance trips like Western Canada's Rocky Mountaineer and Darwin to Adelaide's The Ghan, to little-known gems on regular commuting lines, plus planning advice to make each journey a reality.- Includes practical information like ticket options, timetables and stops- Full of inspiring photos and illustrated, colour route maps throughout- Combines route details with tips on what to pack and how to get there",Transport
14,* A comprehensive study guide providing pilots the answers they need to excel on their technical interview * Features nearly 1000 potential questions (and answers) that may be asked during the technical interview for pilot positions * Wide scope--ranges from light aircraft through heavy jet operations * Culled from interviewing practices of leading airlines worldwide * Includes interviewing tips and techniques,Transport
15,"The Publication Of The World According To Clarkson Launched A Publishing Phenomenon. Now, With Combined Sales Of Nearly 2.5 Million Copies, That Book And Its Bestselling Successor, And Another Thing, Are Joined By A Third Title That Brings The Clarkson Story Up-To-Date. Exasperated, Amused, Baffled And Enthusiastic, Clarkson'S Reflections On The Way Of The World Have Become Indispensable Reading To His Growing Legion Of Fans.",Transport
16,Highest Duty,Transport
17,"The harrowing tale of British explorer Ernest Shackleton's 1914 attempt to reach the South Pole, one of the greatest adventure stories of the modern age. In August 1914, polar explorer Ernest Shackleton boarded the Endurance and set sail for Antarctica, where he planned to cross the last uncharted continent on foot. In January 1915, after battling its way through a thousand miles of pack ice and only a day's sail short of its destination, the Endurance became locked in an island of ice. Thus began the legendary ordeal of Shackleton and his crew of twenty-seven men. When their ship was finally crushed between two ice floes, they attempted a near-impossible journey over 850 miles of the South Atlantic's heaviest seas to the closest outpost of civilization. In Endurance, the definitive account of Ernest Shackleton's fateful trip, Alfred Lansing brilliantly narrates the harrowing and miraculous voyage that has defined heroism for the modern age.",Transport
18,"Since its original landmark publication in 1980, A People's History of the United States has been chronicling American history from the bottom up, throwing out the official version of history taught in schools -- with its emphasis on great men in high places -- to focus on the street, the home, and the, workplace. Known for its lively, clear prose as well as its scholarly research, A People's History is the only volume to tell America's story from the point of view of -- and in the words of -- America's women, factory workers, African-Americans, Native Americans, the working poor, and immigrant laborers. As historian Howard Zinn shows, many of our country's greatest battles -- the fights for a fair wage, an eight-hour workday, child-labor laws, health and safety standards, universal suffrage, women's rights, racial equality -- were carried out at the grassroots level, against bloody resistance. Covering Christopher Columbus's arrival through President Clinton's first term, A People's History of the United States, which was nominated for the American Book Award in 1981, features insightful analysis of the most important events in our history. Revised, updated, and featuring a new after, word by the author, this special twentieth anniversary edition continues Zinn's important contribution to a complete and balanced understanding of American history.",Transport
